EE0.No,EE0.Yes,variable
No,Yes,flag_two
 6563.044,38772.956,Total.area
  0.0000,842.7542,Total.SURVEY_LC1_1A
1960.031,4202.579,Total.SURVEY_LC1_1B
 4592.452,20638.963,Total.SURVEY_LC1_1C
   0.000,1230.149,Total.SURVEY_LC1_1D
  10.56158,7292.45711,Total.SURVEY_LC1_1E
  0.00,560.69,Total.SURVEY_LC1_1F
   0.000,2283.674,Total.SURVEY_LC1_1G
   0.000,1721.689,Total.SURVEY_LC1_1H
 6335.002,32072.637,Total.SURVEY_LU1_1U1
 0.00000,84.90633,Total.SURVEY_LU1_1U2
  67.13983,2602.65812,Total.SURVEY_LU1_1U3
 160.9025,4012.7546,Total.SURVEY_LU1_1U4
  0.0000,100.0795,Total.SURVEY_LC1_2A1
  0.000,697.408,Total.SURVEY_LC1_2A2
 0.00000,45.26671,Total.SURVEY_LC1_2A3
   0.000,2522.696,Total.SURVEY_LC1_2B1
 0.00000,50.85428,Total.SURVEY_LC1_2B2
  0.0000,580.2673,Total.SURVEY_LC1_2B3
  0.0000,370.1615,Total.SURVEY_LC1_2B4
  0.0000,644.0199,Total.SURVEY_LC1_2B5
 0.00000,34.58065,Total.SURVEY_LC1_2B7
1960.031,   0.000,Total.SURVEY_LC1_2Bx
   0.000,6073.305,Total.SURVEY_LC1_2C1
1032.959,7281.081,Total.SURVEY_LC1_2C2
3559.493,7284.577,Total.SURVEY_LC1_2C3
  0.0000,798.4673,Total.SURVEY_LC1_2D1
  0.0000,431.6821,Total.SURVEY_LC1_2D2
  0.0000,835.8446,Total.SURVEY_LC1_2E1
   0.000,5182.126,Total.SURVEY_LC1_2E2
   0.000,1274.487,Total.SURVEY_LC1_2E3
10.56158, 0.00000,Total.SURVEY_LC1_2Ex
 0.00000,16.01272,Total.SURVEY_LC1_2F1
 0.00000,40.26054,Total.SURVEY_LC1_2F2
  0.0000,504.4168,Total.SURVEY_LC1_2F4
   0.000,2152.691,Total.SURVEY_LC1_2G1
  0.0000,130.9826,Total.SURVEY_LC1_2G2
   0.000,1584.095,Total.SURVEY_LC1_2H1
  0.0000,137.5938,Total.SURVEY_LC1_2H2
1970.592,9586.478,Total.SURVEY_LU1_2U11
 4364.409,20640.750,Total.SURVEY_LU1_2U12
   0.000,1483.464,Total.SURVEY_LU1_2U13
  0.0000,361.9446,Total.SURVEY_LU1_2U14
 0.00000,25.73472,Total.SURVEY_LU1_2U21
 0.00000,59.17161,Total.SURVEY_LU1_2U22
 19.5155,777.9097,Total.SURVEY_LU1_2U31
0.000000,9.722006,Total.SURVEY_LU1_2U32
 0.00000,22.18816,Total.SURVEY_LU1_2U33
 0.00000,43.46308,Total.SURVEY_LU1_2U35
 47.62433,942.38119,Total.SURVEY_LU1_2U36
  0.000,806.994,Total.SURVEY_LU1_2U37
 10.89237,124.17338,Total.SURVEY_LU1_2U41
 150.0101,3888.5812,Total.SURVEY_LU1_2U42
 0.00000,92.07311,Total.SURVEY_LC1_3A11
0.000000,8.006358,Total.SURVEY_LC1_3A12
  0.0000,158.6792,Total.SURVEY_LC1_3A21
  0.0000,538.7289,Total.SURVEY_LC1_3A22
 0.00000,45.26671,Total.SURVEY_LC1_3A30
   0.000,1239.644,Total.SURVEY_LC1_3B11
  0.0000,805.4175,Total.SURVEY_LC1_3B13
  0.0000,131.7161,Total.SURVEY_LC1_3B14
  0.0000,154.4015,Total.SURVEY_LC1_3B15
  0.000,152.224,Total.SURVEY_LC1_3B16
0.000000,8.806993,Total.SURVEY_LC1_3B18
 0.00000,30.48575,Total.SURVEY_LC1_3B19
 0.00000,27.43437,Total.SURVEY_LC1_3B21
 0.00000,10.17863,Total.SURVEY_LC1_3B22
 0.00000,13.24128,Total.SURVEY_LC1_3B23
  0.0000,556.3597,Total.SURVEY_LC1_3B32
 0.00000,23.90765,Total.SURVEY_LC1_3B35
  0.0000,370.1615,Total.SURVEY_LC1_3B41
  0.0000,142.3853,Total.SURVEY_LC1_3B51
 0.00000,40.66437,Total.SURVEY_LC1_3B52
  0.0000,255.5383,Total.SURVEY_LC1_3B53
  0.0000,205.4319,Total.SURVEY_LC1_3B55
 0.00000,16.01272,Total.SURVEY_LC1_3B71
0.000000,4.003179,Total.SURVEY_LC1_3B72
 0.00000,14.56476,Total.SURVEY_LC1_3B75
1883.081,   0.000,Total.SURVEY_LC1_3Bx1
76.94999, 0.00000,Total.SURVEY_LC1_3Bx2
   0.000,6073.305,Total.SURVEY_LC1_3C10
   0.000,2406.042,Total.SURVEY_LC1_3C21
   0.000,3899.361,Total.SURVEY_LC1_3C22
  0.0000,975.6781,Total.SURVEY_LC1_3C23
1032.959,   0.000,Total.SURVEY_LC1_3C2x
   0.000,4709.104,Total.SURVEY_LC1_3C31
   0.000,1412.605,Total.SURVEY_LC1_3C32
   0.000,1162.868,Total.SURVEY_LC1_3C33
3559.493,   0.000,Total.SURVEY_LC1_3C3x
  0.0000,798.4673,Total.SURVEY_LC1_3D10
  0.0000,431.6821,Total.SURVEY_LC1_3D20
  0.0000,835.8446,Total.SURVEY_LC1_3E10
   0.000,5182.126,Total.SURVEY_LC1_3E20
   0.000,1274.487,Total.SURVEY_LC1_3E30
10.56158, 0.00000,Total.SURVEY_LC1_3Exx
 0.00000,16.01272,Total.SURVEY_LC1_3F10
 0.00000,40.26054,Total.SURVEY_LC1_3F20
  0.0000,504.4168,Total.SURVEY_LC1_3F40
   0.000,2148.116,Total.SURVEY_LC1_3G11
0.000000,4.575061,Total.SURVEY_LC1_3G12
  0.0000,130.9826,Total.SURVEY_LC1_3G21
  0.0000,873.0921,Total.SURVEY_LC1_3H11
  0.0000,711.0028,Total.SURVEY_LC1_3H12
  0.0000,137.5938,Total.SURVEY_LC1_3H21
1897.646,9391.463,Total.SURVEY_LU1_3U111
  0.000,153.944,Total.SURVEY_LU1_3U112
72.94681,41.07157,Total.SURVEY_LU1_3U113
 4364.409,20640.750,Total.SURVEY_LU1_3U120
   0.000,1483.464,Total.SURVEY_LU1_3U130
  0.0000,361.9446,Total.SURVEY_LU1_3U140
 0.00000,25.73472,Total.SURVEY_LU1_3U210
0.000000,4.003179,Total.SURVEY_LU1_3U223
 0.00000,16.01272,Total.SURVEY_LU1_3U224
 0.00000,20.58778,Total.SURVEY_LU1_3U226
 0.00000,18.56794,Total.SURVEY_LU1_3U227
 0.00000,43.48655,Total.SURVEY_LU1_3U311
  0.0000,610.9903,Total.SURVEY_LU1_3U312
0.000000,8.006358,Total.SURVEY_LU1_3U314
0.000000,4.003179,Total.SURVEY_LU1_3U316
 0.00000,16.01272,Total.SURVEY_LU1_3U317
19.515497, 4.003179,Total.SURVEY_LU1_3U318
 0.00000,91.40738,Total.SURVEY_LU1_3U319
0.000000,9.722006,Total.SURVEY_LU1_3U322
 0.00000,22.18816,Total.SURVEY_LU1_3U330
 0.00000,43.46308,Total.SURVEY_LU1_3U350
 47.62433,874.92953,Total.SURVEY_LU1_3U361
 0.00000,67.45166,Total.SURVEY_LU1_3U362
  0.000,806.994,Total.SURVEY_LU1_3U370
 4.003179,50.355776,Total.SURVEY_LU1_3U411
0.000000,8.006358,Total.SURVEY_LU1_3U414
 6.889191,65.811244,Total.SURVEY_LU1_3U415
 150.0101,3888.5812,Total.SURVEY_LU1_3U420
 6543.529,36915.714,Total.settlement0
  19.5155,1857.2418,Total.settlement1
0.01428781,1.35973609,Total.settl_pc
 1978.599,16392.361,Total.fao_class_name0
 4536.821,20577.938,Total.fao_class_name1
   0.000,1650.692,Total.fao_class_name2
 47.62433,151.96497,Total.fao_class_name3
 6515.42,36980.12,Total.lue0
  47.62433,1792.83830,Total.lue1
 6543.529,37516.285,Total.lud0
  19.5155,1256.6707,Total.lud1
398.1611,398.1611,SE.Total.area
 0.00000,77.17216,SE.Total.SURVEY_LC1_1A
138.1512,158.5474,SE.Total.SURVEY_LC1_1B
373.4207,467.8256,SE.Total.SURVEY_LC1_1C
  0.0000,193.3342,SE.Total.SURVEY_LC1_1D
  8.322683,283.099578,SE.Total.SURVEY_LC1_1E
 0.00000,84.07363,SE.Total.SURVEY_LC1_1F
 0.00000,45.91231,SE.Total.SURVEY_LC1_1G
 0.00000,82.90481,SE.Total.SURVEY_LC1_1H
392.8537,562.6435,SE.Total.SURVEY_LU1_1U1
 0.00000,21.77009,SE.Total.SURVEY_LU1_1U2
 42.59776,377.73111,SE.Total.SURVEY_LU1_1U3
 71.34993,215.03977,SE.Total.SURVEY_LU1_1U4
 0.00000,29.14919,SE.Total.SURVEY_LC1_2A1
 0.00000,81.75693,SE.Total.SURVEY_LC1_2A2
 0.00000,11.06003,SE.Total.SURVEY_LC1_2A3
  0.0000,117.9881,SE.Total.SURVEY_LC1_2B1
 0.00000,19.23273,SE.Total.SURVEY_LC1_2B2
 0.00000,64.57182,SE.Total.SURVEY_LC1_2B3
  0.0000,100.0964,SE.Total.SURVEY_LC1_2B4
 0.00000,67.55196,SE.Total.SURVEY_LC1_2B5
0.000000,8.322683,SE.Total.SURVEY_LC1_2B7
138.1512,  0.0000,SE.Total.SURVEY_LC1_2Bx
  0.0000,426.0088,SE.Total.SURVEY_LC1_2C1
186.8851,433.1736,SE.Total.SURVEY_LC1_2C2
339.1841,461.4759,SE.Total.SURVEY_LC1_2C3
  0.0000,163.6391,SE.Total.SURVEY_LC1_2D1
  0.0000,105.1187,SE.Total.SURVEY_LC1_2D2
  0.0000,149.3313,SE.Total.SURVEY_LC1_2E1
  0.0000,208.7246,SE.Total.SURVEY_LC1_2E2
  0.0000,185.6878,SE.Total.SURVEY_LC1_2E3
8.322683,0.000000,SE.Total.SURVEY_LC1_2Ex
0,0,SE.Total.SURVEY_LC1_2F1
0.000000,5.120187,SE.Total.SURVEY_LC1_2F2
 0.00000,83.99831,SE.Total.SURVEY_LC1_2F4
 0.00000,20.86346,SE.Total.SURVEY_LC1_2G1
 0.00000,42.11128,SE.Total.SURVEY_LC1_2G2
 0.00000,84.75457,SE.Total.SURVEY_LC1_2H1
 0.000,33.964,SE.Total.SURVEY_LC1_2H2
138.3254,243.9169,SE.Total.SURVEY_LU1_2U11
367.7565,436.2848,SE.Total.SURVEY_LU1_2U12
  0.0000,321.5181,SE.Total.SURVEY_LU1_2U13
 0.00000,76.81184,SE.Total.SURVEY_LU1_2U14
0.00000,3.13233,SE.Total.SURVEY_LU1_2U21
 0.00000,21.54356,SE.Total.SURVEY_LU1_2U22
  9.294468,102.937464,SE.Total.SURVEY_LU1_2U31
0.00000,3.13233,SE.Total.SURVEY_LU1_2U32
0.000000,7.928276,SE.Total.SURVEY_LU1_2U33
 0.00000,18.89811,SE.Total.SURVEY_LU1_2U35
 41.57141,331.33935,SE.Total.SURVEY_LU1_2U36
  0.0000,161.6294,SE.Total.SURVEY_LU1_2U37
 4.458957,47.382120,SE.Total.SURVEY_LU1_2U41
 71.22032,210.93428,SE.Total.SURVEY_LU1_2U42
 0.00000,29.14919,SE.Total.SURVEY_LC1_3A11
0,0,SE.Total.SURVEY_LC1_3A12
 0.00000,31.35354,SE.Total.SURVEY_LC1_3A21
 0.00000,83.56391,SE.Total.SURVEY_LC1_3A22
 0.00000,11.06003,SE.Total.SURVEY_LC1_3A30
 0.00000,92.39929,SE.Total.SURVEY_LC1_3B11
 0.00000,75.29104,SE.Total.SURVEY_LC1_3B13
 0.00000,30.75918,SE.Total.SURVEY_LC1_3B14
 0.00000,30.82592,SE.Total.SURVEY_LC1_3B15
 0.00000,33.24951,SE.Total.SURVEY_LC1_3B16
0.000000,1.961149,SE.Total.SURVEY_LC1_3B18
 0.00000,15.62044,SE.Total.SURVEY_LC1_3B19
 0.00000,13.61494,SE.Total.SURVEY_LC1_3B21
0.000000,7.928276,SE.Total.SURVEY_LC1_3B22
 0.00000,11.06003,SE.Total.SURVEY_LC1_3B23
 0.0000,63.2203,SE.Total.SURVEY_LC1_3B32
 0.0000,13.9067,SE.Total.SURVEY_LC1_3B35
  0.0000,100.0964,SE.Total.SURVEY_LC1_3B41
 0.00000,33.29478,SE.Total.SURVEY_LC1_3B51
 0.0000,17.5173,SE.Total.SURVEY_LC1_3B52
 0.00000,43.43308,SE.Total.SURVEY_LC1_3B53
 0.00000,38.78741,SE.Total.SURVEY_LC1_3B55
0,0,SE.Total.SURVEY_LC1_3B71
0,0,SE.Total.SURVEY_LC1_3B72
0.000000,8.322683,SE.Total.SURVEY_LC1_3B75
126.6496,  0.0000,SE.Total.SURVEY_LC1_3Bx1
55.18718, 0.00000,SE.Total.SURVEY_LC1_3Bx2
  0.0000,426.0088,SE.Total.SURVEY_LC1_3C10
  0.0000,288.6159,SE.Total.SURVEY_LC1_3C21
  0.0000,330.2616,SE.Total.SURVEY_LC1_3C22
  0.0000,190.3201,SE.Total.SURVEY_LC1_3C23
186.8851,  0.0000,SE.Total.SURVEY_LC1_3C2x
  0.0000,396.9688,SE.Total.SURVEY_LC1_3C31
  0.0000,230.7278,SE.Total.SURVEY_LC1_3C32
  0.000,203.172,SE.Total.SURVEY_LC1_3C33
339.1841,  0.0000,SE.Total.SURVEY_LC1_3C3x
  0.0000,163.6391,SE.Total.SURVEY_LC1_3D10
  0.0000,105.1187,SE.Total.SURVEY_LC1_3D20
  0.0000,149.3313,SE.Total.SURVEY_LC1_3E10
  0.0000,208.7246,SE.Total.SURVEY_LC1_3E20
  0.0000,185.6878,SE.Total.SURVEY_LC1_3E30
8.322683,0.000000,SE.Total.SURVEY_LC1_3Exx
0,0,SE.Total.SURVEY_LC1_3F10
0.000000,5.120187,SE.Total.SURVEY_LC1_3F20
 0.00000,83.99831,SE.Total.SURVEY_LC1_3F40
 0.00000,20.82162,SE.Total.SURVEY_LC1_3G11
0.000000,1.617529,SE.Total.SURVEY_LC1_3G12
 0.00000,42.11128,SE.Total.SURVEY_LC1_3G21
 0.00000,93.10467,SE.Total.SURVEY_LC1_3H11
 0.00000,72.81858,SE.Total.SURVEY_LC1_3H12
 0.000,33.964,SE.Total.SURVEY_LC1_3H21
126.8397,244.9105,SE.Total.SURVEY_LU1_3U111
 0.00000,31.53772,SE.Total.SURVEY_LU1_3U112
55.18718,10.27418,SE.Total.SURVEY_LU1_3U113
367.7565,436.2848,SE.Total.SURVEY_LU1_3U120
  0.0000,321.5181,SE.Total.SURVEY_LU1_3U130
 0.00000,76.81184,SE.Total.SURVEY_LU1_3U140
0.00000,3.13233,SE.Total.SURVEY_LU1_3U210
0,0,SE.Total.SURVEY_LU1_3U223
0.000000,7.308771,SE.Total.SURVEY_LU1_3U224
 0.0000,18.4781,SE.Total.SURVEY_LU1_3U226
0.000000,8.322683,SE.Total.SURVEY_LU1_3U227
 0.00000,15.52216,SE.Total.SURVEY_LU1_3U311
 0.00000,99.53168,SE.Total.SURVEY_LU1_3U312
0.00000,5.66135,SE.Total.SURVEY_LU1_3U314
0,0,SE.Total.SURVEY_LU1_3U316
0.00000,5.66135,SE.Total.SURVEY_LU1_3U317
9.294468,0.000000,SE.Total.SURVEY_LU1_3U318
 0.00000,22.40754,SE.Total.SURVEY_LU1_3U319
0.00000,3.13233,SE.Total.SURVEY_LU1_3U322
0.000000,7.928276,SE.Total.SURVEY_LU1_3U330
 0.00000,18.89811,SE.Total.SURVEY_LU1_3U350
 41.57141,328.47021,SE.Total.SURVEY_LU1_3U361
 0.00000,44.79844,SE.Total.SURVEY_LU1_3U362
  0.0000,161.6294,SE.Total.SURVEY_LU1_3U370
 0.00000,44.30582,SE.Total.SURVEY_LU1_3U411
0,0,SE.Total.SURVEY_LU1_3U414
 4.458957,16.794636,SE.Total.SURVEY_LU1_3U415
 71.22032,210.93428,SE.Total.SURVEY_LU1_3U420
398.0526,432.5523,SE.Total.settlement0
  9.294468,188.420269,SE.Total.settlement1
0.006804727,0.137947490,SE.Total.settl_pc
138.3254,267.5244,SE.Total.fao_class_name0
371.8853,452.9125,SE.Total.fao_class_name1
  0.0000,218.3865,SE.Total.fao_class_name2
41.57141,61.15261,SE.Total.fao_class_name3
396.7214,536.4852,SE.Total.lue0
 41.57141,367.82248,SE.Total.lue1
398.0526,416.4621,SE.Total.lud0
  9.294468,128.740802,SE.Total.lud1
 5782.663,37992.574,CI.l(95%).Total.area
  0.0000,691.4996,CI.l(95%).Total.SURVEY_LC1_1A
1689.260,3891.832,CI.l(95%).Total.SURVEY_LC1_1B
 3860.561,19722.042,CI.l(95%).Total.SURVEY_LC1_1C
  0.0000,851.2214,CI.l(95%).Total.SURVEY_LC1_1D
  -5.75058,6737.59213,CI.l(95%).Total.SURVEY_LC1_1E
  0.0000,395.9088,CI.l(95%).Total.SURVEY_LC1_1F
   0.000,2193.687,CI.l(95%).Total.SURVEY_LC1_1G
   0.000,1559.198,CI.l(95%).Total.SURVEY_LC1_1H
 5565.023,30969.876,CI.l(95%).Total.SURVEY_LU1_1U1
 0.00000,42.23774,CI.l(95%).Total.SURVEY_LU1_1U2
 -16.35024,1862.31875,CI.l(95%).Total.SURVEY_LU1_1U3
  21.0592,3591.2844,CI.l(95%).Total.SURVEY_LU1_1U4
 0.0000,42.9481,CI.l(95%).Total.SURVEY_LC1_2A1
  0.0000,537.1674,CI.l(95%).Total.SURVEY_LC1_2A2
 0.00000,23.58944,CI.l(95%).Total.SURVEY_LC1_2A3
   0.000,2291.443,CI.l(95%).Total.SURVEY_LC1_2B1
 0.00000,13.15883,CI.l(95%).Total.SURVEY_LC1_2B2
  0.0000,453.7089,CI.l(95%).Total.SURVEY_LC1_2B3
  0.0000,173.9761,CI.l(95%).Total.SURVEY_LC1_2B4
  0.0000,511.6205,CI.l(95%).Total.SURVEY_LC1_2B5
 0.00000,18.26849,CI.l(95%).Total.SURVEY_LC1_2B7
1689.26,   0.00,CI.l(95%).Total.SURVEY_LC1_2Bx
   0.000,5238.343,CI.l(95%).Total.SURVEY_LC1_2C1
 666.6711,6432.0767,CI.l(95%).Total.SURVEY_LC1_2C2
2894.704,6380.101,CI.l(95%).Total.SURVEY_LC1_2C3
  0.0000,477.7406,CI.l(95%).Total.SURVEY_LC1_2D1
  0.0000,225.6533,CI.l(95%).Total.SURVEY_LC1_2D2
  0.0000,543.1606,CI.l(95%).Total.SURVEY_LC1_2E1
   0.000,4773.033,CI.l(95%).Total.SURVEY_LC1_2E2
  0.0000,910.5454,CI.l(95%).Total.SURVEY_LC1_2E3
-5.75058, 0.00000,CI.l(95%).Total.SURVEY_LC1_2Ex
 0.00000,16.01272,CI.l(95%).Total.SURVEY_LC1_2F1
 0.00000,30.22516,CI.l(95%).Total.SURVEY_LC1_2F2
  0.0000,339.7831,CI.l(95%).Total.SURVEY_LC1_2F4
   0.0,2111.8,CI.l(95%).Total.SURVEY_LC1_2G1
 0.00000,48.44603,CI.l(95%).Total.SURVEY_LC1_2G2
   0.000,1417.979,CI.l(95%).Total.SURVEY_LC1_2H1
 0.00000,71.02563,CI.l(95%).Total.SURVEY_LC1_2H2
1699.48,9108.41,CI.l(95%).Total.SURVEY_LU1_2U11
 3643.62,19785.65,CI.l(95%).Total.SURVEY_LU1_2U12
  0.0000,853.2997,CI.l(95%).Total.SURVEY_LU1_2U13
  0.0000,211.3961,CI.l(95%).Total.SURVEY_LU1_2U14
 0.00000,19.59547,CI.l(95%).Total.SURVEY_LU1_2U21
 0.000,16.947,CI.l(95%).Total.SURVEY_LU1_2U22
  1.298674,576.155929,CI.l(95%).Total.SURVEY_LU1_2U31
0.000000,3.582751,CI.l(95%).Total.SURVEY_LU1_2U32
0.000000,6.649027,CI.l(95%).Total.SURVEY_LU1_2U33
0.000000,6.423478,CI.l(95%).Total.SURVEY_LU1_2U35
