EL3.No,EL4.No,EL5.No,EL6.No,EL3.Yes,EL4.Yes,EL5.Yes,EL6.Yes,variable
No,No,No,No,Yes,Yes,Yes,Yes,flag_two
   34.4449,  213.6143, 2214.9206,  829.5885, 3782.5551,17287.3308,49419.0806,57904.4115,Total.area
   0.0000,   0.0000,   0.0000,   0.0000, 702.1565, 868.4485,1866.8013,2082.9708,Total.SURVEY_LC1_1A
   34.4449,  213.6143, 2208.7914,  813.8632,  456.4320, 3403.2730, 7402.9657,11634.8179,Total.SURVEY_LC1_1B
    0.000,    0.000,    0.000,    0.000, 1044.097, 3585.399,24405.818,22063.279,Total.SURVEY_LC1_1C
    0.000000,    0.000000,    0.000000,    4.156584, 1070.173412, 7658.468481, 5490.424910,13689.218453,Total.SURVEY_LC1_1D
   0.000000,   0.000000,   6.129275,  11.568748, 442.268905,1304.389879,7454.049307,6185.476313,Total.SURVEY_LC1_1E
   0.00000,   0.00000,   0.00000,   0.00000,  59.52715, 331.01039,1511.12549,1210.92942,Total.SURVEY_LC1_1F
  0.000000,  0.000000,  0.000000,  0.000000,  4.049141, 89.188240,807.113672,694.830860,Total.SURVEY_LC1_1G
  0.000000,  0.000000,  0.000000,  0.000000,  3.851431, 47.152860,480.781911,342.889037,Total.SURVEY_LC1_1H
   34.4449,  209.3811, 2197.4453,  809.7830, 1041.1026, 7714.3627,31878.2927,33881.3321,Total.SURVEY_LU1_1U1
  0.000000,  0.000000,  0.000000,  0.000000,  4.376681, 31.723408,199.904431,159.869481,Total.SURVEY_LU1_1U2
   0.000000,   4.233289,   0.000000,   0.000000, 887.095090,1153.591352,2395.472413,2608.790477,Total.SURVEY_LU1_1U3
    0.00000,    0.00000,   17.47531,   19.80553, 1849.98078, 8387.65336,14945.41115,21254.41950,Total.SURVEY_LU1_1U4
  0.0000,  0.0000,  0.0000,  0.0000,253.8697,217.8452,346.4479,423.2103,Total.SURVEY_LC1_2A1
   0.0000,   0.0000,   0.0000,   0.0000, 439.8654, 642.6861,1427.6249,1592.6038,Total.SURVEY_LC1_2A2
 0.000000, 0.000000, 0.000000, 0.000000, 8.421425, 7.917235,92.728513,67.156800,Total.SURVEY_LC1_2A3
   0.00000,   0.00000,   0.00000,   0.00000,  23.31632, 122.63056,2241.75257,1916.58050,Total.SURVEY_LC1_2B1
 0.000000, 0.000000, 0.000000, 0.000000, 3.858179, 8.036335,42.772985,58.436869,Total.SURVEY_LC1_2B2
   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,1592.110,1153.666,Total.SURVEY_LC1_2B3
  0.000000,  0.000000,  0.000000,  0.000000,  7.738293, 38.176022,122.332439,259.548529,Total.SURVEY_LC1_2B4
  0.000000,  0.000000,  0.000000,  0.000000,  3.880114, 37.577047,822.707768,876.559293,Total.SURVEY_LC1_2B5
   0.00000,   0.00000,   0.00000,   0.00000,  70.79399, 134.02901,1318.28060,1054.21843,Total.SURVEY_LC1_2B7
   0.0000,   0.0000,   0.0000,   0.0000, 346.8451,3062.8240,1263.0091,6315.8080,Total.SURVEY_LC1_2B8
  34.4449, 213.6143,2208.7914, 813.8632,   0.0000,   0.0000,   0.0000,   0.0000,Total.SURVEY_LC1_2Bx
    0.0000,    0.0000,    0.0000,    0.0000,  164.2499, 1552.3665,18641.6937,12403.9146,Total.SURVEY_LC1_2C1
   0.0000,   0.0000,   0.0000,   0.0000, 796.0689,1726.8674,2902.6977,7528.3137,Total.SURVEY_LC1_2C2
   0.00000,   0.00000,   0.00000,   0.00000,  83.77779, 306.16558,2861.42702,2131.05043,Total.SURVEY_LC1_2C3
   0.0000,   0.0000,   0.0000,   0.0000, 481.7115,1886.6590,3557.2190,6926.2053,Total.SURVEY_LC1_2D1
   0.000000,   0.000000,   0.000000,   4.156584, 588.461904,5771.809453,1933.205957,6763.013116,Total.SURVEY_LC1_2D2
   0.0000,   0.0000,   0.0000,   0.0000, 127.1024, 357.0479,1962.6880,1903.8032,Total.SURVEY_LC1_2E1
   0.000000,   0.000000,   6.129275,  11.568748, 196.512872, 669.753350,2794.077663,2481.584657,Total.SURVEY_LC1_2E2
   0.0000,   0.0000,   0.0000,   0.0000, 118.6537, 277.5886,2697.2837,1800.0884,Total.SURVEY_LC1_2E3
