EL30.No,EL41.No,EL42.No,EL43.No,EL51.No,EL52.No,EL53.No,EL54.No,EL61.No,EL63.No,EL64.No,EL65.No,EL30.Yes,EL41.Yes,EL42.Yes,EL43.Yes,EL51.Yes,EL52.Yes,EL53.Yes,EL54.Yes,EL61.Yes,EL62.Yes,EL63.Yes,EL64.Yes,EL65.Yes,variable
No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,flag_two
   34.44490,   69.90560,   72.04506,   71.66369,  922.43879, 1093.01039,  163.56940,   35.90205,  354.84240,  103.82876,  198.98444,  171.93288, 3782.55510, 3778.09440, 5234.90012, 8274.33631,13259.56249,17744.98961, 9298.43060, 9116.09795,13695.15760, 2301.00000,11210.17124,15361.01556,15337.06712,Total.area
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,702.1565,191.1967,275.8419,401.4099,469.5274,944.3167,239.3299,213.6273,466.6963,119.5795,435.3257,531.5225,529.8468,Total.SURVEY_LC1_1A
  34.44490,  69.90560,  72.04506,  71.66369, 922.43879,1086.88112, 163.56940,  35.90205, 354.84240,  99.67218, 187.41569, 171.93288, 456.43201, 737.94577, 336.84308,2328.48418,1982.44585,3871.30727, 945.27720, 603.93534,3207.97364, 513.02506,2113.24057,2397.25759,3403.32102,Total.SURVEY_LC1_1B
   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,1044.0966,1151.0891, 878.7914,1555.5189,7529.9294,7580.4518,4357.7523,4937.6849,5555.1754, 978.4471,4280.0154,6038.9449,5210.6960,Total.SURVEY_LC1_1C
   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   4.156584,   0.000000,   0.000000,1070.173412,1279.431749,2942.023316,3437.013416,1123.356100,1621.981553, 779.531538,1965.555719,1772.929550, 506.783956,2589.861167,3943.559939,4876.083841,Total.SURVEY_LC1_1D
   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   6.129275,   0.000000,   0.000000,   0.000000,   0.000000,  11.568748,   0.000000, 442.268905, 317.889807, 611.132998, 375.367074,1624.205627,2521.784818,2240.295601,1067.763260,1936.050523, 152.293556,1144.664172,1852.473657,1099.994404,Total.SURVEY_LC1_1E
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 59.52715, 64.80557,126.21772,139.98710,271.54361,650.95786,466.05009,122.57393,504.24820, 15.13318,162.44106,373.92289,155.18409,Total.SURVEY_LC1_1F
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  4.049141, 12.226294, 52.401274, 24.560672,112.645455,312.229178,262.100183,120.138856,186.218423,  7.876427,300.443613,171.375380, 28.917017,Total.SURVEY_LC1_1G
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  3.851431, 23.509356, 11.648471, 11.995034,145.909111,241.960377,  8.093793, 84.818631, 65.865588,  7.861194,184.179577, 51.958687, 33.023990,Total.SURVEY_LC1_1H
   34.44490,   69.90560,   72.04506,   67.43040,  922.43879, 1082.90351,  163.56940,   28.53362,  354.84240,   99.67218,  187.41569,  167.85269, 1041.10256, 1838.89877, 1367.22890, 4508.23504, 8261.31597,11921.18586, 6870.69405, 4825.09678, 9860.62681, 1101.34144, 6051.63450, 8087.87488, 8779.85442,Total.SURVEY_LU1_1U1
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 4.376681, 7.756794, 6.556059,17.410555,41.851910,81.102549,60.119935,16.830037,51.989855, 3.875542,46.859136,44.105660,13.039288,Total.SURVEY_LU1_1U2
   0.000000,   0.000000,   0.000000,   4.233289,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000, 887.095090, 239.562173, 419.073614, 494.955565, 595.780097,1199.659278, 299.241671, 300.791367, 630.497377, 204.207416, 524.657049, 631.491195, 617.937441,Total.SURVEY_LU1_1U3
   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,  10.106889,   0.000000,   7.368426,   0.000000,   4.156584,  11.568748,   4.080195,1849.980777,1691.876665,3442.041545,3253.735151,4360.614515,4543.041920,2068.374941,3973.379771,3152.043557, 991.575596,4587.020553,6597.543822,5926.235972,Total.SURVEY_LU1_1U4
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,253.86965, 42.37086, 56.68793,118.78641, 68.28087,218.13447, 24.47547, 35.55708, 69.00594, 22.83797,104.16306, 85.81319,141.39011,Total.SURVEY_LC1_2A1
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,439.86539,144.94746,219.15395,278.58466,369.35149,710.24344,174.20845,173.82149,368.91027, 96.74156,311.16469,427.33056,388.45667,Total.SURVEY_LC1_2A2
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 8.421425, 3.878397, 0.000000, 4.038838,31.894989,15.938812,40.645932, 4.248779,28.780082, 0.000000,19.997939,18.378778, 0.000000,Total.SURVEY_LC1_2A3
   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,  23.316324,  36.327032,  27.563222,  58.740309, 665.466992,1176.986845, 342.540110,  56.758619,1265.278318,   3.876682, 177.272197, 388.844492,  81.308813,Total.SURVEY_LC1_2B1
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.858179, 0.000000, 3.910389, 4.125947,37.847239, 4.925746, 0.000000, 0.000000, 0.000000, 0.000000,13.207211,20.590389,24.639269,Total.SURVEY_LC1_2B2
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,706.088295,806.363038, 79.658867,  0.000000,799.225138,  0.000000, 10.871007,339.255344,  4.314762,Total.SURVEY_LC1_2B3
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  7.738293,  0.000000, 11.879007, 26.297015,  0.000000, 73.609706, 41.169003,  7.553729,104.832223,  3.920119, 73.900904, 44.055968, 32.839316,Total.SURVEY_LC1_2B4
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  3.880114,  9.584831, 11.827399, 16.164817,100.273381,360.042299,252.752984,109.639104,433.093647,  3.890401,227.766455,174.776763, 37.032026,Total.SURVEY_LC1_2B5
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 70.79399, 31.87096, 27.31801, 74.84004,139.02994,876.41532,155.98693,146.84842,257.53066, 12.44416,177.16002,212.66654,394.41706,Total.SURVEY_LC1_2B7
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000, 346.84511, 660.16294, 254.34505,2148.31605, 333.74001, 572.96431,  73.16931, 283.13547, 348.01365, 488.89370,1433.06278,1217.06810,2828.76978,Total.SURVEY_LC1_2B8
  34.44490,  69.90560,  72.04506,  71.66369, 922.43879,1086.88112, 163.56940,  35.90205, 354.84240,  99.67218, 187.41569, 171.93288,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,Total.SURVEY_LC1_2Bx
   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000, 164.2499, 495.7838, 164.5941, 891.9886,5657.0158,6256.0703,3450.8793,3277.7282,3653.8285, 462.9753,2943.3220,2285.4123,3058.3765,Total.SURVEY_LC1_2C1
   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000, 796.0689, 491.4717, 665.0138, 570.3818, 552.4380, 956.1952, 569.4176, 824.6469,1190.5996, 349.2630, 909.7813,3244.3568,1834.3128,Total.SURVEY_LC1_2C2
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  83.77779, 163.83362,  49.18345,  93.14851,1320.47553, 368.18637, 337.45539, 835.30974, 710.74720, 166.20875, 426.91209, 509.17570, 318.00668,Total.SURVEY_LC1_2C3
   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000, 481.7115, 379.9599, 547.8669, 958.8322, 773.5540, 927.8666, 513.2930,1342.5054,1183.6237, 269.5803,1303.7138,1834.7603,2334.5273,Total.SURVEY_LC1_2D1
   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   4.156584,   0.000000,   0.000000, 588.461904, 899.471816,2394.156379,2478.181257, 349.802054, 694.114992, 266.238546, 623.050365, 589.305884, 237.203702,1286.147326,2108.799634,2541.556571,Total.SURVEY_LC1_2D2
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,127.10236, 94.62783,117.80104,144.61902,409.26434,507.88051,740.71014,304.83301,620.80008, 43.39745,212.91941,608.91871,417.76759,Total.SURVEY_LC1_2E1
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  6.129275,  0.000000,  0.000000,  0.000000,  0.000000, 11.568748,  0.000000,196.512872,115.234867,413.882490,140.635992,669.067161,745.319906,810.898760,568.791837,691.700288, 54.690587,506.056504,822.847293,406.289986,Total.SURVEY_LC1_2E2
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000, 118.65368, 108.02711,  79.44946,  90.11206, 545.87413,1268.58440, 688.68670, 194.13842, 623.55015,  54.20552, 425.68826, 420.70765, 275.93683,Total.SURVEY_LC1_2E3
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,23.498096,27.622539,61.146946,69.987463,36.056105, 7.970446,28.048529,75.807323,20.141011, 7.367233,37.963856,59.098105,31.843461,Total.SURVEY_LC1_2F1
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 7.851447,11.829354, 8.057404, 7.997436, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 8.416153, 8.184118,Total.SURVEY_LC1_2F2
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, 36.029050, 29.331586, 53.241424, 61.942229,227.490072,642.987410,438.001562, 46.766605,484.107192,  7.765943,124.477207,306.408629,115.156510,Total.SURVEY_LC1_2F4
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, 11.982096,  8.115888,  7.965818,230.394309,229.304855, 67.825605, 75.940719,  3.843151,221.686209,100.280405,  0.000000,Total.SURVEY_LC1_2G1
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  4.079219,  7.980617,  8.088375,100.533032, 73.913660, 32.795328, 40.115740,110.277704,  0.000000, 78.757404, 66.932600, 28.917017,Total.SURVEY_LC1_2G2
