No,Yes,variable
 22373.01,476111.65,Total.area
   91.7211,19690.5575,Total.SURVEY_LC1_1A
 21226.21,112794.25,Total.SURVEY_LC1_1B
   719.0218,174266.2660,Total.SURVEY_LC1_1C
  157.344,72136.600,Total.SURVEY_LC1_1D
  149.8821,59777.5042,Total.SURVEY_LC1_1E
   14.93241,30999.12567,Total.SURVEY_LC1_1F
  13.89447,5588.51366,Total.SURVEY_LC1_1G
  0.0000,858.8288,Total.SURVEY_LC1_1H
 21765.8,312100.8,Total.SURVEY_LU1_1U1
  4.016586,840.056836,Total.SURVEY_LU1_1U2
  104.6858,23197.3184,Total.SURVEY_LU1_1U3
   498.5044,139973.4412,Total.SURVEY_LU1_1U4
  71.57671,4431.35454,Total.SURVEY_LC1_2A1
    0.00,13815.36,Total.SURVEY_LC1_2A2
   0.000,1443.842,Total.SURVEY_LC1_2A3
20.14439, 0.00000,Total.SURVEY_LC1_2Ax
    0.00,44466.53,Total.SURVEY_LC1_2B1
   0.000,1002.517,Total.SURVEY_LC1_2B2
   0.000,9273.221,Total.SURVEY_LC1_2B3
   0.000,2528.678,Total.SURVEY_LC1_2B4
   0.000,5143.185,Total.SURVEY_LC1_2B5
    0.00,14766.37,Total.SURVEY_LC1_2B7
    0.00,35613.75,Total.SURVEY_LC1_2B8
21226.21,    0.00,Total.SURVEY_LC1_2Bx
   196.6466,101875.4012,Total.SURVEY_LC1_2C1
  338.946,60847.998,Total.SURVEY_LC1_2C2
  183.4291,11542.8672,Total.SURVEY_LC1_2C3
   45.21635,16801.49407,Total.SURVEY_LC1_2D1
  112.1276,55335.1062,Total.SURVEY_LC1_2D2
   14.63409,10616.09950,Total.SURVEY_LC1_2E1
   94.50933,38421.07114,Total.SURVEY_LC1_2E2
   40.73873,10740.33361,Total.SURVEY_LC1_2E3
   0.000,3499.027,Total.SURVEY_LC1_2F1
  0.0000,142.9977,Total.SURVEY_LC1_2F2
   14.93241,27357.10089,Total.SURVEY_LC1_2F4
   0.000,3254.028,Total.SURVEY_LC1_2G1
   0.000,2318.524,Total.SURVEY_LC1_2G2
 0.0000,11.9611,Total.SURVEY_LC1_2G4
0.000000,4.000838,Total.SURVEY_LC1_2G5
13.89447, 0.00000,Total.SURVEY_LC1_2Gx
  0.0000,333.4592,Total.SURVEY_LC1_2H1
