ES1.No,ES2.No,ES3.No,ES4.No,ES5.No,ES6.No,ES1.Yes,ES2.Yes,ES3.Yes,ES4.Yes,ES5.Yes,ES6.Yes,variable
No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,flag_two
   248.2541,   644.3569,   411.8976, 13690.9027,  1247.2314,  6130.3669, 45249.7459, 69742.6431,  7619.1024,201626.0973, 59099.3022, 92774.7580,Total.area
   0.000000,   5.821570,   0.000000,   7.758532,   4.016586,  74.124414,2256.216543,2272.321126, 931.893197,5795.408021,3838.378463,4596.340164,Total.SURVEY_LC1_1A
  106.2047,  597.7635,  404.6451,13357.1577, 1042.0738, 5718.3689, 2524.3281,13893.0755,  828.4111,56509.5884,12529.5114,26509.3383,Total.SURVEY_LC1_1B
  102.76514,   13.32565,    0.00000,  235.03313,  192.08483,  175.81302,21401.74004,24827.29695, 2571.05784,68648.01893,25157.35563,31660.79658,Total.SURVEY_LC1_1C
    0.000000,    9.682310,    4.276262,   41.982115,    0.000000,  101.403284, 7764.535042,12876.863913, 1028.759285,26968.685878, 8653.227143,14844.529025,Total.SURVEY_LC1_1D
   39.284290,   17.763823,    2.976192,   43.095044,    0.000000,   46.762794,10111.841571, 7327.289423, 1418.553525,29396.164973, 5226.502094, 6297.152662,Total.SURVEY_LC1_1E
    0.000000,    0.000000,    0.000000,    5.876169,    9.056242,    0.000000,  819.913509, 7937.541258,  732.672549,11903.714133, 2815.550643, 6789.733582,Total.SURVEY_LC1_1F
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  13.89447, 311.78516, 573.94666, 103.65171,2357.58848, 695.95851,1545.58315,Total.SURVEY_LC1_1G
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, 59.385915, 34.308288,  4.103268, 46.928475,182.818336,531.284520,Total.SURVEY_LC1_1H
   185.1906,   600.6456,   407.6213, 13633.3533,  1009.5655,  5929.4265, 29771.3632, 41714.1640,  3845.2121,144629.5407, 27792.9121, 64347.6405,Total.SURVEY_LU1_1U1
  0.000000,  0.000000,  0.000000,  0.000000,  4.016586,  0.000000, 81.922224,172.759956,  6.414393,298.464653,163.050542,117.445067,Total.SURVEY_LU1_1U2
   0.000000,  15.943129,   4.276262,   7.758532,   0.000000,  76.707907,2910.707655,2562.268902,1298.531038,6715.788029,4830.300172,4879.722581,Total.SURVEY_LU1_1U3
   63.06354,   27.76818,    0.00000,   49.79090,  233.64929,  124.23254,12485.75280,25293.45031, 2468.94492,49982.30388,26313.03945,23429.94985,Total.SURVEY_LU1_1U4
   0.000000,   5.821570,   0.000000,   0.000000,   4.016586,  61.738553, 661.503760, 468.871711,  52.728554,1190.094831, 748.245313,1309.910368,Total.SURVEY_LC1_2A1
   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,1445.6935,1583.5078, 836.5024,4043.9174,2855.7915,3049.9486,Total.SURVEY_LC1_2A2
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,149.01925,219.94165, 42.66223,561.39580,234.34164,236.48123,Total.SURVEY_LC1_2A3
 0.000000, 0.000000, 0.000000, 7.758532, 0.000000,12.385861, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,Total.SURVEY_LC1_2Ax
    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,  933.732, 8285.763,  385.081,29218.444, 3232.843, 2410.670,Total.SURVEY_LC1_2B1
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,102.860179,102.145497,  7.703622,611.228769, 71.135067,107.444222,Total.SURVEY_LC1_2B2
