ES11.No,ES12.No,ES13.No,ES21.No,ES22.No,ES23.No,ES24.No,ES30.No,ES41.No,ES42.No,ES43.No,ES51.No,ES52.No,ES53.No,ES61.No,ES62.No,ES11.Yes,ES12.Yes,ES13.Yes,ES21.Yes,ES22.Yes,ES23.Yes,ES24.Yes,ES30.Yes,ES41.Yes,ES42.Yes,ES43.Yes,ES51.Yes,ES52.Yes,ES53.Yes,ES61.Yes,ES62.Yes,variable
No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,flag_two
  124.74677,   95.89676,   27.61060,   82.62307,   17.89647,   45.04003,  498.79729,  411.89757, 1179.90576, 9409.35142, 3101.64552,  302.39558,  845.30333,   99.53251, 5657.19980,  473.16713,29446.25323,10505.10324, 5298.38940, 7146.37693,10373.10353, 4999.95997,47223.20271, 7619.10243,93045.09424,70048.64858,38532.35448,31807.60442,22401.23032, 4890.46749,81933.92510,10840.83287,Total.area
   0.000000,   0.000000,   0.000000,   5.821570,   0.000000,   0.000000,   0.000000,   0.000000,   7.758532,   0.000000,   0.000000,   4.016586,   0.000000,   0.000000,  57.702639,  16.421774,1490.165395, 544.911330, 221.139818, 474.740450, 375.137659, 189.962007,1232.481010, 931.893197,2569.240375,2229.361487, 996.806159,1903.629654,1614.631104, 320.117706,3762.738826, 833.601338,Total.SURVEY_LC1_1A
   85.251294,   16.910878,    4.042532,   56.345993,   12.426403,   40.407790,  488.583322,  404.645116,  992.470732, 9279.376021, 3085.310962,  194.360579,  752.315128,   95.398051, 5286.643184,  431.725766, 2110.033430,  273.329565,  140.965086,  648.741793, 1929.525709, 1340.178647, 9974.629369,  828.411063,30501.136978,21046.518235, 4961.933188, 6185.703770, 5207.718866, 1136.088783,24121.104994, 2388.233288,Total.SURVEY_LC1_1B
    4.319229,   74.877846,   23.568064,    8.693416,    0.000000,    4.632236,    0.000000,    0.000000,  179.676499,   55.356635,    0.000000,   94.962175,   92.988200,    4.134457,  164.147669,   11.665348,14529.758862, 4540.253135, 2331.728047, 4072.109494, 4236.656156, 1586.281034,14932.250265, 2571.057838,27104.183271,25373.595492,16170.240172,15365.007745, 7807.142853, 1985.205027,28884.607807, 2776.188776,Total.SURVEY_LC1_1C
    0.000000,    0.000000,    0.000000,    4.212240,    5.470070,    0.000000,    0.000000,    4.276262,    0.000000,   41.982115,    0.000000,    0.000000,    0.000000,    0.000000,  101.403284,    0.000000, 4816.015051, 2210.930720,  737.589271,  765.802063, 1343.134031, 1295.661536, 9472.266283, 1028.759285,12689.544361, 8569.717794, 5709.423723, 2836.065150, 5413.462568,  403.699425,12349.545029, 2494.983995,Total.SURVEY_LC1_1D
   35.176250,    4.108040,    0.000000,    7.549856,    0.000000,    0.000000,   10.213968,    2.976192,    0.000000,   26.760482,   16.334562,    0.000000,    0.000000,    0.000000,   33.408548,   13.354246, 5750.970498, 2690.179443, 1670.691631, 1019.509254, 1073.080725,  417.080712, 4817.618732, 1418.553525,14703.386068, 6779.015563, 7913.763341, 2967.087542, 1523.187837,  736.226715, 5395.945258,  901.207404,Total.SURVEY_LC1_1E
   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   5.876169,   0.000000,   9.056242,   0.000000,   0.000000,   0.000000,   0.000000, 522.495197, 190.815278, 106.603034, 106.478804,1358.251213, 150.723195,6322.088046, 732.672549,4693.787743,5397.173813,1812.752577,2084.357718, 458.531213, 272.661712,5404.708973,1385.024609,Total.SURVEY_LC1_1F
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  13.89447,   0.00000, 203.50921,  47.43186,  60.84409,  58.99507,  48.70008,  20.07284, 446.17867, 103.65171, 779.45673, 610.69643, 967.43532, 408.13778, 275.86006,  11.96067,1500.51145,  45.07169,Total.SURVEY_LC1_1G
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, 23.305585,  7.251908, 28.828422,  0.000000,  8.617953,  0.000000, 25.690335,  4.103268,  4.358711, 42.569764,  0.000000, 57.615059,100.695827, 24.507451,514.762757, 16.521763,Total.SURVEY_LC1_1H
