No,Yes,variable
 19608.91,318754.09,Total.area
   0.000,7278.509,Total.SURVEY_LC1_1A
 2108.513,11189.177,Total.SURVEY_LC1_1B
 17229.92,205994.89,Total.SURVEY_LC1_1C
  247.3671,17232.3048,Total.SURVEY_LC1_1D
    0.00,18191.92,Total.SURVEY_LC1_1E
  16.76969,6591.80369,Total.SURVEY_LC1_1F
    0.00,34513.71,Total.SURVEY_LC1_1G
    6.337883,17761.778367,Total.SURVEY_LC1_1H
 15683.55,226074.88,Total.SURVEY_LU1_1U1
  0.000,209.287,Total.SURVEY_LU1_1U2
   51.7505,39448.3113,Total.SURVEY_LU1_1U3
 3873.609,53021.618,Total.SURVEY_LU1_1U4
   0.00,1031.48,Total.SURVEY_LC1_2A1
   0.000,5758.268,Total.SURVEY_LC1_2A2
  0.0000,488.7607,Total.SURVEY_LC1_2A3
   0.000,5975.638,Total.SURVEY_LC1_2B1
  0.0000,299.0715,Total.SURVEY_LC1_2B2
  0.0000,482.6272,Total.SURVEY_LC1_2B3
  0.0000,238.6024,Total.SURVEY_LC1_2B4
   0.000,4058.932,Total.SURVEY_LC1_2B5
 0.00000,90.00372,Total.SURVEY_LC1_2B7
 0.00000,44.30296,Total.SURVEY_LC1_2B8
2108.513,   0.000,Total.SURVEY_LC1_2Bx
    0.00,17478.78,Total.SURVEY_LC1_2C1
 13951.33,106734.61,Total.SURVEY_LC1_2C2
 2998.532,81781.496,Total.SURVEY_LC1_2C3
280.0575,  0.0000,Total.SURVEY_LC1_2Cx
 243.1929,6015.8594,Total.SURVEY_LC1_2D1
    0.00,11216.45,Total.SURVEY_LC1_2D2
4.174207,0.000000,Total.SURVEY_LC1_2Dx
   0.000,2874.512,Total.SURVEY_LC1_2E1
    0.0,10201.9,Total.SURVEY_LC1_2E2
   0.000,5115.509,Total.SURVEY_LC1_2E3
  0.0000,985.3064,Total.SURVEY_LC1_2F1
  0.0000,234.3993,Total.SURVEY_LC1_2F2
   0.000,1082.665,Total.SURVEY_LC1_2F3
   0.000,4289.433,Total.SURVEY_LC1_2F4
16.76969, 0.00000,Total.SURVEY_LC1_2Fx
    0.00,33143.97,Total.SURVEY_LC1_2G1
   0.000,1357.203,Total.SURVEY_LC1_2G2
 0.00000,12.53757,Total.SURVEY_LC1_2G3
    0.00,17694.19,Total.SURVEY_LC1_2H1
 0.00000,67.58613,Total.SURVEY_LC1_2H2
6.337883,0.000000,Total.SURVEY_LC1_2Hx
 2108.513,22265.754,Total.SURVEY_LU1_2U11
 13566.2,201507.3,Total.SURVEY_LU1_2U12
  0.0000,443.0204,Total.SURVEY_LU1_2U13
   8.833857,1667.360098,Total.SURVEY_LU1_2U14
  0.0000,191.4333,Total.SURVEY_LU1_2U15
 0.00000,66.97853,Total.SURVEY_LU1_2U21
  0.0000,142.3085,Total.SURVEY_LU1_2U22
   4.174207,6359.123918,Total.SURVEY_LU1_2U31
 0.00000,47.66815,Total.SURVEY_LU1_2U32
  0.0000,243.8626,Total.SURVEY_LU1_2U33
  0.000,120.038,Total.SURVEY_LU1_2U34
  3.729983,552.134891,Total.SURVEY_LU1_2U35
    5.377265,27885.674525,Total.SURVEY_LU1_2U36
  38.46904,4239.80914,Total.SURVEY_LU1_2U37
  0.0000,881.9369,Total.SURVEY_LU1_2U41
 3873.609,52139.682,Total.SURVEY_LU1_2U42
  0.0000,928.4611,Total.SURVEY_LC1_3A11
 0.00000,98.84366,Total.SURVEY_LC1_3A12
0.000000,4.175516,Total.SURVEY_LC1_3A13
   0.000,1273.941,Total.SURVEY_LC1_3A21
   0.000,4484.327,Total.SURVEY_LC1_3A22
  0.0000,488.7607,Total.SURVEY_LC1_3A30
   0.000,1546.516,Total.SURVEY_LC1_3B11
 0.00000,60.29353,Total.SURVEY_LC1_3B12
   0.000,2371.444,Total.SURVEY_LC1_3B13
  0.0000,140.3655,Total.SURVEY_LC1_3B14
   0.000,1843.419,Total.SURVEY_LC1_3B15
 0.00000,13.59974,Total.SURVEY_LC1_3B18
 0.00000,44.27946,Total.SURVEY_LC1_3B21
  0.0000,133.2153,Total.SURVEY_LC1_3B22
  0.0000,121.5768,Total.SURVEY_LC1_3B23
0.000000,9.774982,Total.SURVEY_LC1_3B31
  0.0000,441.0252,Total.SURVEY_LC1_3B32
 0.00000,11.10852,Total.SURVEY_LC1_3B35
 0.0000,20.7185,Total.SURVEY_LC1_3B37
  0.0000,154.0816,Total.SURVEY_LC1_3B41
 0.00000,44.20061,Total.SURVEY_LC1_3B43
 0.00000,40.32017,Total.SURVEY_LC1_3B45
  0.0000,256.3577,Total.SURVEY_LC1_3B51
 0.00000,57.46146,Total.SURVEY_LC1_3B52
  0.0000,375.7802,Total.SURVEY_LC1_3B53
 0.00000,16.57982,Total.SURVEY_LC1_3B54
   0.000,3352.753,Total.SURVEY_LC1_3B55
 0.00000,53.37934,Total.SURVEY_LC1_3B71
0.000000,4.413947,Total.SURVEY_LC1_3B73
 0.00000,32.21043,Total.SURVEY_LC1_3B75
 0.00000,40.32017,Total.SURVEY_LC1_3B83
0.00000,3.98279,Total.SURVEY_LC1_3B84
2083.572,   0.000,Total.SURVEY_LC1_3Bx1
12.58741, 0.00000,Total.SURVEY_LC1_3Bx2
12.35321, 0.00000,Total.SURVEY_LC1_3Bxx
    0.00,17478.78,Total.SURVEY_LC1_3C10
    0.00,24941.15,Total.SURVEY_LC1_3C21
    0.00,63733.66,Total.SURVEY_LC1_3C22
    0.0,18059.8,Total.SURVEY_LC1_3C23
13951.33,    0.00,Total.SURVEY_LC1_3C2x
    0.00,25473.93,Total.SURVEY_LC1_3C31
    0.00,33775.44,Total.SURVEY_LC1_3C32
    0.00,22532.12,Total.SURVEY_LC1_3C33
2998.532,   0.000,Total.SURVEY_LC1_3C3x
280.0575,  0.0000,Total.SURVEY_LC1_3Cxx
   0.000,6015.859,Total.SURVEY_LC1_3D10
243.1929,  0.0000,Total.SURVEY_LC1_3D1x
    0.00,11216.45,Total.SURVEY_LC1_3D20
4.174207,0.000000,Total.SURVEY_LC1_3Dxx
   0.000,2874.512,Total.SURVEY_LC1_3E10
    0.0,10201.9,Total.SURVEY_LC1_3E20
   0.000,5115.509,Total.SURVEY_LC1_3E30
  0.0000,985.3064,Total.SURVEY_LC1_3F10
  0.0000,234.3993,Total.SURVEY_LC1_3F20
   0.000,1082.665,Total.SURVEY_LC1_3F30
   0.000,4289.433,Total.SURVEY_LC1_3F40
16.76969, 0.00000,Total.SURVEY_LC1_3Fxx
    0.00,33139.89,Total.SURVEY_LC1_3G11
0.000000,4.086674,Total.SURVEY_LC1_3G12
   0.000,1344.887,Total.SURVEY_LC1_3G21
 0.00000,12.31602,Total.SURVEY_LC1_3G22
 0.00000,12.53757,Total.SURVEY_LC1_3G30
   0.000,5099.232,Total.SURVEY_LC1_3H11
    0.00,12594.96,Total.SURVEY_LC1_3H12
 0.00000,67.58613,Total.SURVEY_LC1_3H21
6.337883,0.000000,Total.SURVEY_LC1_3Hxx
 2100.159,21480.621,Total.SURVEY_LU1_3U111
  0.0000,684.8781,Total.SURVEY_LU1_3U112
  8.353409,100.254860,Total.SURVEY_LU1_3U113
 13566.2,201507.3,Total.SURVEY_LU1_3U120
  0.0000,443.0204,Total.SURVEY_LU1_3U130
   8.833857,1667.360098,Total.SURVEY_LU1_3U140
  0.0000,191.4333,Total.SURVEY_LU1_3U150
 0.00000,66.97853,Total.SURVEY_LU1_3U210
 0.0000,24.8968,Total.SURVEY_LU1_3U223
0.000000,4.062944,Total.SURVEY_LU1_3U224
 0.0000,42.7866,Total.SURVEY_LU1_3U225
 0.00000,23.98425,Total.SURVEY_LU1_3U226
 0.0000,42.2637,Total.SURVEY_LU1_3U227
0.000000,4.314158,Total.SURVEY_LU1_3U228
  0.0000,137.8598,Total.SURVEY_LU1_3U311
   0.000,5132.821,Total.SURVEY_LU1_3U312
  0.0000,205.9759,Total.SURVEY_LU1_3U313
 0.00000,49.15066,Total.SURVEY_LU1_3U314
0.000000,8.669307,Total.SURVEY_LU1_3U316
  0.0000,154.0848,Total.SURVEY_LU1_3U317
  4.174207,670.562655,Total.SURVEY_LU1_3U319
0.000000,3.985451,Total.SURVEY_LU1_3U321
 0.0000,43.6827,Total.SURVEY_LU1_3U322
  0.0000,243.8626,Total.SURVEY_LU1_3U330
  0.000,120.038,Total.SURVEY_LU1_3U341
  3.729983,552.134891,Total.SURVEY_LU1_3U350
    5.377265,27611.068000,Total.SURVEY_LU1_3U361
  0.0000,274.6065,Total.SURVEY_LU1_3U362
  38.46904,4239.80914,Total.SURVEY_LU1_3U370
0.0000,4.1396,Total.SURVEY_LU1_3U411
 0.0000,49.8065,Total.SURVEY_LU1_3U413
 0.00000,85.40127,Total.SURVEY_LU1_3U414
  0.0000,742.5895,Total.SURVEY_LU1_3U415
 3873.609,52139.682,Total.SURVEY_LU1_3U420
 19562.53,306495.27,Total.settlement0
   46.37323,12258.82876,Total.settlement1
0.008334559,2.203252132,Total.settl_pc
  2509.685,106288.711,Total.fao_class_name0
 16835.19,205025.18,Total.fao_class_name1
 220.1855,5980.6757,Total.fao_class_name2
  43.84631,1459.52760,Total.fao_class_name3
 19561.33,285956.44,Total.lue0
   47.57629,32797.65660,Total.lue1
 19595.9,310226.8,Total.lud0
  13.00806,8527.30178,Total.lud1
1445.856,1450.170,SE.Total.area
  0.0000,509.9459,SE.Total.SURVEY_LC1_1A
244.3703,360.3635,SE.Total.SURVEY_LC1_1B
1404.492,1923.390,SE.Total.SURVEY_LC1_1C
241.1519,987.8043,SE.Total.SURVEY_LC1_1D
  0.0000,857.8081,SE.Total.SURVEY_LC1_1E
  4.6286,566.9232,SE.Total.SURVEY_LC1_1F
  0.0000,223.0118,SE.Total.SURVEY_LC1_1G
  3.85236,459.41863,SE.Total.SURVEY_LC1_1H
1319.751,1907.126,SE.Total.SURVEY_LU1_1U1
 0.00000,41.68954,SE.Total.SURVEY_LU1_1U2
 22.77758,834.58901,SE.Total.SURVEY_LU1_1U3
 636.328,1366.865,SE.Total.SURVEY_LU1_1U4
  0.0000,169.9709,SE.Total.SURVEY_LC1_2A1
  0.000,481.828,SE.Total.SURVEY_LC1_2A2
  0.0000,116.7993,SE.Total.SURVEY_LC1_2A3
  0.0000,347.0091,SE.Total.SURVEY_LC1_2B1
  0.0000,114.1438,SE.Total.SURVEY_LC1_2B2
  0.0000,122.6617,SE.Total.SURVEY_LC1_2B3
 0.00000,74.26739,SE.Total.SURVEY_LC1_2B4
  0.0000,267.8121,SE.Total.SURVEY_LC1_2B5
0,0,SE.Total.SURVEY_LC1_2B7
 0.00000,38.25864,SE.Total.SURVEY_LC1_2B8
244.3703,  0.0000,SE.Total.SURVEY_LC1_2Bx
   0.000,1376.785,SE.Total.SURVEY_LC1_2C1
1279.773,2912.558,SE.Total.SURVEY_LC1_2C2
 597.355,2788.940,SE.Total.SURVEY_LC1_2C3
195.5396,  0.0000,SE.Total.SURVEY_LC1_2Cx
241.1519,798.7564,SE.Total.SURVEY_LC1_2D1
  0.0000,593.0625,SE.Total.SURVEY_LC1_2D2
0,0,SE.Total.SURVEY_LC1_2Dx
  0.0000,404.1239,SE.Total.SURVEY_LC1_2E1
  0.0000,387.2918,SE.Total.SURVEY_LC1_2E2
  0.0000,664.6122,SE.Total.SURVEY_LC1_2E3
 0.00000,33.86351,SE.Total.SURVEY_LC1_2F1
 0.00000,44.13048,SE.Total.SURVEY_LC1_2F2
  0.0000,187.2568,SE.Total.SURVEY_LC1_2F3
  0.0000,532.5789,SE.Total.SURVEY_LC1_2F4
4.6286,0.0000,SE.Total.SURVEY_LC1_2Fx
  0.0000,302.9219,SE.Total.SURVEY_LC1_2G1
  0.0000,213.8567,SE.Total.SURVEY_LC1_2G2
0.000000,5.518232,SE.Total.SURVEY_LC1_2G3
  0.0000,459.4233,SE.Total.SURVEY_LC1_2H1
0.000000,5.974853,SE.Total.SURVEY_LC1_2H2
3.85236,0.00000,SE.Total.SURVEY_LC1_2Hx
244.3703,324.0914,SE.Total.SURVEY_LU1_2U11
1296.929,1899.096,SE.Total.SURVEY_LU1_2U12
  0.0000,158.1131,SE.Total.SURVEY_LU1_2U13
