FI1.No,FI2.No,FI1.Yes,FI2.Yes,variable
No,No,Yes,Yes,flag_two
 19577.7950,    31.1101,317204.2050,  1549.8899,Total.area
   0.00000,   0.00000,7243.21005,  35.29908,Total.SURVEY_LC1_1A
 2101.133937,    7.378644,11077.990971,  111.186405,Total.SURVEY_LC1_1B
 17206.18636,    23.73145,204884.34641,  1110.53923,Total.SURVEY_LC1_1C
  247.36715,    0.00000,17215.00259,   17.30223,Total.SURVEY_LC1_1D
    0.0000,    0.0000,18062.0943,  129.8271,Total.SURVEY_LC1_1E
  16.76969,   0.00000,6533.65557,  58.14812,Total.SURVEY_LC1_1F
    0.00000,    0.00000,34450.65642,   63.05805,Total.SURVEY_LC1_1G
    6.337883,    0.000000,17737.248664,   24.529703,Total.SURVEY_LC1_1H
 15661.74473,    21.80087,224975.01096,  1099.86718,Total.SURVEY_LU1_1U1
  0.000,  0.000,209.287,  0.000,Total.SURVEY_LU1_1U2
   51.7505,    0.0000,39296.5517,  151.7596,Total.SURVEY_LU1_1U3
 3864.299790,    9.309228,52723.355320,  298.263133,Total.SURVEY_LU1_1U4
   0.00,   0.00,1031.48,   0.00,Total.SURVEY_LC1_2A1
   0.00000,   0.00000,5722.96899,  35.29908,Total.SURVEY_LC1_2A2
  0.0000,  0.0000,488.7607,  0.0000,Total.SURVEY_LC1_2A3
   0.00000,   0.00000,5951.65361,  23.98411,Total.SURVEY_LC1_2B1
  0.00000,  0.00000,270.33586, 28.73567,Total.SURVEY_LC1_2B2
  0.0000,  0.0000,482.6272,  0.0000,Total.SURVEY_LC1_2B3
  0.0000,  0.0000,238.6024,  0.0000,Total.SURVEY_LC1_2B4
   0.0000,   0.0000,4005.4670,  53.4648,Total.SURVEY_LC1_2B5
 0.00000, 0.00000,85.00189, 5.00183,Total.SURVEY_LC1_2B7
 0.00000, 0.00000,44.30296, 0.00000,Total.SURVEY_LC1_2B8
2101.133937,   7.378644,   0.000000,   0.000000,Total.SURVEY_LC1_2Bx
    0.0000,    0.0000,17316.0646,  162.7146,Total.SURVEY_LC1_2C1
 13942.018839,     9.309228,106152.219155,   582.391498,Total.SURVEY_LC1_2C2
 2984.10999,   14.42223,81416.06263,  365.43317,Total.SURVEY_LC1_2C3
280.0575,  0.0000,  0.0000,  0.0000,Total.SURVEY_LC1_2Cx
 243.192943,   0.000000,6006.550201,   9.309228,Total.SURVEY_LC1_2D1
    0.000000,    0.000000,11208.452394,    7.993003,Total.SURVEY_LC1_2D2
4.174207,0.000000,0.000000,0.000000,Total.SURVEY_LC1_2Dx
   0.00000,   0.00000,2844.48685,  30.02524,Total.SURVEY_LC1_2E1
    0.00000,    0.00000,10112.10214,   89.79816,Total.SURVEY_LC1_2E2
   0.00000,   0.00000,5105.50531,  10.00366,Total.SURVEY_LC1_2E3
  0.00000,  0.00000,943.93504, 41.37131,Total.SURVEY_LC1_2F1
  0.0000,  0.0000,234.3993,  0.0000,Total.SURVEY_LC1_2F2
   0.000000,   0.000000,1078.074072,   4.591064,Total.SURVEY_LC1_2F3
   0.00000,   0.00000,4277.24718,  12.18575,Total.SURVEY_LC1_2F4
16.76969, 0.00000, 0.00000, 0.00000,Total.SURVEY_LC1_2Fx
    0.00000,    0.00000,33086.99546,   56.97878,Total.SURVEY_LC1_2G1
   0.000000,   0.000000,1351.123396,   6.079276,Total.SURVEY_LC1_2G2
 0.00000, 0.00000,12.53757, 0.00000,Total.SURVEY_LC1_2G3
    0.00000,    0.00000,17684.05876,   10.13348,Total.SURVEY_LC1_2H1
 0.00000, 0.00000,53.18990,14.39622,Total.SURVEY_LC1_2H2
6.337883,0.000000,0.000000,0.000000,Total.SURVEY_LC1_2Hx
 2101.133937,    7.378644,22077.040124,  188.714095,Total.SURVEY_LU1_2U11
 13551.77694,    14.42223,200596.15695,   911.15309,Total.SURVEY_LU1_2U12
  0.0000,  0.0000,443.0204,  0.0000,Total.SURVEY_LU1_2U13
   8.833857,   0.000000,1667.360098,   0.000000,Total.SURVEY_LU1_2U14
  0.0000,  0.0000,191.4333,  0.0000,Total.SURVEY_LU1_2U15
 0.00000, 0.00000,66.97853, 0.00000,Total.SURVEY_LU1_2U21
  0.0000,  0.0000,142.3085,  0.0000,Total.SURVEY_LU1_2U22
   4.174207,   0.000000,6338.733419,  20.390498,Total.SURVEY_LU1_2U31
 0.00000, 0.00000,47.66815, 0.00000,Total.SURVEY_LU1_2U32
  0.00000,  0.00000,228.95404, 14.90859,Total.SURVEY_LU1_2U33
  0.000,  0.000,120.038,  0.000,Total.SURVEY_LU1_2U34
  3.729983,  0.000000,552.134891,  0.000000,Total.SURVEY_LU1_2U35
    5.377265,    0.000000,27828.926619,   56.747906,Total.SURVEY_LU1_2U36
  38.46904,   0.00000,4180.09655,  59.71259,Total.SURVEY_LU1_2U37
  0.0000,  0.0000,881.9369,  0.0000,Total.SURVEY_LU1_2U41
 3864.299790,    9.309228,51841.418458,  298.263133,Total.SURVEY_LU1_2U42
  0.0000,  0.0000,928.4611,  0.0000,Total.SURVEY_LC1_3A11
 0.00000, 0.00000,98.84366, 0.00000,Total.SURVEY_LC1_3A12
0.000000,0.000000,4.175516,0.000000,Total.SURVEY_LC1_3A13
   0.00000,   0.00000,1259.03243,  14.90859,Total.SURVEY_LC1_3A21
   0.0000,   0.0000,4463.9366,  20.3905,Total.SURVEY_LC1_3A22
  0.0000,  0.0000,488.7607,  0.0000,Total.SURVEY_LC1_3A30
   0.000000,   0.000000,1537.324506,   9.191167,Total.SURVEY_LC1_3B11
 0.00000, 0.00000,60.29353, 0.00000,Total.SURVEY_LC1_3B12
   0.00000,   0.00000,2361.44055,  10.00366,Total.SURVEY_LC1_3B13
  0.0000,  0.0000,140.3655,  0.0000,Total.SURVEY_LC1_3B14
   0.000000,   0.000000,1838.629798,   4.789278,Total.SURVEY_LC1_3B15
 0.00000, 0.00000,13.59974, 0.00000,Total.SURVEY_LC1_3B18
 0.00000, 0.00000,27.51699,16.76247,Total.SURVEY_LC1_3B21
  0.0000,  0.0000,133.2153,  0.0000,Total.SURVEY_LC1_3B22
  0.00000,  0.00000,109.60362, 11.97319,Total.SURVEY_LC1_3B23
0.000000,0.000000,9.774982,0.000000,Total.SURVEY_LC1_3B31
  0.0000,  0.0000,441.0252,  0.0000,Total.SURVEY_LC1_3B32
 0.00000, 0.00000,11.10852, 0.00000,Total.SURVEY_LC1_3B35
 0.0000, 0.0000,20.7185, 0.0000,Total.SURVEY_LC1_3B37
  0.0000,  0.0000,154.0816,  0.0000,Total.SURVEY_LC1_3B41
 0.00000, 0.00000,44.20061, 0.00000,Total.SURVEY_LC1_3B43
 0.00000, 0.00000,40.32017, 0.00000,Total.SURVEY_LC1_3B45
  0.0000,  0.0000,256.3577,  0.0000,Total.SURVEY_LC1_3B51
 0.00000, 0.00000,57.46146, 0.00000,Total.SURVEY_LC1_3B52
  0.00000,  0.00000,368.61027,  7.16993,Total.SURVEY_LC1_3B53
 0.00000, 0.00000,16.57982, 0.00000,Total.SURVEY_LC1_3B54
   0.00000,   0.00000,3306.45777,  46.29487,Total.SURVEY_LC1_3B55
 0.00000, 0.00000,48.37751, 5.00183,Total.SURVEY_LC1_3B71
0.000000,0.000000,4.413947,0.000000,Total.SURVEY_LC1_3B73
 0.00000, 0.00000,32.21043, 0.00000,Total.SURVEY_LC1_3B75
 0.00000, 0.00000,40.32017, 0.00000,Total.SURVEY_LC1_3B83
0.00000,0.00000,3.98279,0.00000,Total.SURVEY_LC1_3B84
2076.193316,   7.378644,   0.000000,   0.000000,Total.SURVEY_LC1_3Bx1
12.58741, 0.00000, 0.00000, 0.00000,Total.SURVEY_LC1_3Bx2
12.35321, 0.00000, 0.00000, 0.00000,Total.SURVEY_LC1_3Bxx
    0.0000,    0.0000,17316.0646,  162.7146,Total.SURVEY_LC1_3C10
    0.00000,    0.00000,24877.38450,   63.76371,Total.SURVEY_LC1_3C21
    0.0000,    0.0000,63321.0002,  412.6639,Total.SURVEY_LC1_3C22
