FI19.No,FI1B.No,FI1C.No,FI1D.No,FI20.No,FI19.Yes,FI1B.Yes,FI1C.Yes,FI1D.Yes,FI20.Yes,variable
No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,flag_two
  1233.2969,   842.7128,  1235.7355, 16266.0498,    31.1101, 63491.7031,  8725.2872, 34134.2645,210852.9502,  1549.8899,Total.area
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,1920.03663, 633.01158,1211.35361,3478.80822,  35.29908,Total.SURVEY_LC1_1A
 686.513110, 479.014474, 502.941727, 432.664626,   7.378644,4206.903755, 459.816899,2922.734844,3488.535473, 111.186405,Total.SURVEY_LC1_1B
   303.59087,   363.69832,   728.61956, 15810.27761,    23.73145, 41986.69326,  5221.17423, 19676.45018,138000.02873,  1110.53923,Total.SURVEY_LC1_1C
  243.192943,    0.000000,    4.174207,    0.000000,    0.000000, 1893.151958,  187.363420, 1094.967762,14039.519454,   17.302231,Total.SURVEY_LC1_1D
   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,4059.1192,1332.0963,3264.7885,9406.0904, 129.8271,Total.SURVEY_LC1_1E
   0.00000,   0.00000,   0.00000,  16.76969,   0.00000,1646.48972, 391.85604,1547.05735,2948.25246,  58.14812,Total.SURVEY_LC1_1F
    0.00000,    0.00000,    0.00000,    0.00000,    0.00000, 6579.29714,  432.07753, 4026.13089,23413.15087,   63.05805,Total.SURVEY_LC1_1G
    0.000000,    0.000000,    0.000000,    6.337883,    0.000000, 1200.011456,   67.891243,  390.781415,16078.564549,   24.529703,Total.SURVEY_LC1_1H
  1034.87539,   838.72936,  1129.75432, 12658.38566,    21.80087, 50862.61335,  6265.67023, 26153.00789,141693.71949,  1099.86718,Total.SURVEY_LU1_1U1
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, 36.315105,  4.235135, 52.438598,116.298152,  0.000000,Total.SURVEY_LU1_1U2
    9.56003,    0.00000,   18.75341,   23.43706,    0.00000, 9217.43614, 1627.71376, 5624.57602,22826.82579,  151.75958,Total.SURVEY_LU1_1U3
  188.861504,    3.983432,   87.227761, 3584.227092,    9.309228, 3375.338488,  827.668079, 2304.242000,46216.106753,  298.263133,Total.SURVEY_LU1_1U4
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,369.3070,124.6446,262.4866,275.0421,  0.0000,Total.SURVEY_LC1_2A1
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,1470.28196, 487.56614, 858.20925,2906.91164,  35.29908,Total.SURVEY_LC1_2A2
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 80.44769, 20.80082, 90.65778,296.85444,  0.00000,Total.SURVEY_LC1_2A3
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,2703.54442, 260.34891,1649.39118,1338.36911,  23.98411,Total.SURVEY_LC1_2B1
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,93.503533,86.428167,84.658014, 5.746148,28.735667,Total.SURVEY_LC1_2B2
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,173.3574,  0.0000,188.7945,120.4754,  0.0000,Total.SURVEY_LC1_2B3
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  9.182542, 48.173983,181.245835,  0.000000,  0.000000,Total.SURVEY_LC1_2B4
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,1198.96963,  56.46846, 744.60738,2005.42158,  53.46480,Total.SURVEY_LC1_2B5
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,28.34628, 8.39738,33.71779,14.54044, 5.00183,Total.SURVEY_LC1_2B7
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,40.32017, 3.98279, 0.00000,Total.SURVEY_LC1_2B8
686.513110,479.014474,502.941727,432.664626,  7.378644,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,Total.SURVEY_LC1_2Bx
    0.0000,    0.0000,    0.0000,    0.0000,    0.0000, 3677.7799,  693.8286, 2002.1908,10942.2652,  162.7146,Total.SURVEY_LC1_2C1
  303.590870,  263.270759,  603.362636,12771.794573,    9.309228,23790.644781, 2405.661193,11096.456656,68859.456525,  582.391498,Total.SURVEY_LC1_2C2
