No,Yes,variable
 45148.68,503911.32,Total.area
   62.3911,31450.4687,Total.SURVEY_LC1_1A
 27921.91,122803.60,Total.SURVEY_LC1_1B
 16225.69,168692.47,Total.SURVEY_LC1_1C
   83.11591,15728.76521,Total.SURVEY_LC1_1D
   595.3759,129733.1611,Total.SURVEY_LC1_1E
  178.2845,27944.0993,Total.SURVEY_LC1_1F
  71.11341,6473.12656,Total.SURVEY_LC1_1G
  10.80583,1085.62946,Total.SURVEY_LC1_1H
 42880.24,400830.33,Total.SURVEY_LU1_1U1
  20.92949,1165.09615,Total.SURVEY_LU1_1U2
  838.2095,55643.7148,Total.SURVEY_LU1_1U3
 1409.30,46272.18,Total.SURVEY_LU1_1U4
  14.62575,8153.79971,Total.SURVEY_LC1_2A1
   23.25213,21744.95584,Total.SURVEY_LC1_2A2
   3.970313,1551.713122,Total.SURVEY_LC1_2A3
20.5429, 0.0000,Total.SURVEY_LC1_2Ax
    0.00,66783.48,Total.SURVEY_LC1_2B1
   0.000,4941.506,Total.SURVEY_LC1_2B2
    0.00,21370.57,Total.SURVEY_LC1_2B3
   0.0,2470.5,Total.SURVEY_LC1_2B4
    0,16284,Total.SURVEY_LC1_2B5
   0.000,2805.838,Total.SURVEY_LC1_2B7
   0.000,8147.704,Total.SURVEY_LC1_2B8
27921.91,    0.00,Total.SURVEY_LC1_2Bx
   356.7852,126053.5392,Total.SURVEY_LC1_2C1
 7975.54,20820.07,Total.SURVEY_LC1_2C2
 5492.481,21818.865,Total.SURVEY_LC1_2C3
2400.882,   0.000,Total.SURVEY_LC1_2Cx
   8.901627,6086.092069,Total.SURVEY_LC1_2D1
  19.61919,9642.67314,Total.SURVEY_LC1_2D2
54.59509, 0.00000,Total.SURVEY_LC1_2Dx
   84.80525,12640.88339,Total.SURVEY_LC1_2E1
   159.2363,105739.4143,Total.SURVEY_LC1_2E2
   39.29558,11352.86335,Total.SURVEY_LC1_2E3
312.0388,  0.0000,Total.SURVEY_LC1_2Ex
   0.000,5943.713,Total.SURVEY_LC1_2F1
  8.338296,246.540091,Total.SURVEY_LC1_2F2
0.000000,4.136693,Total.SURVEY_LC1_2F3
   55.57262,21749.70983,Total.SURVEY_LC1_2F4
114.3736,  0.0000,Total.SURVEY_LC1_2Fx
  55.16064,3709.09368,Total.SURVEY_LC1_2G1
  11.99496,2486.81069,Total.SURVEY_LC1_2G2
 0.00000,39.06011,Total.SURVEY_LC1_2G3
  0.0000,238.1621,Total.SURVEY_LC1_2G5
3.957817,0.000000,Total.SURVEY_LC1_2Gx
  0.0000,587.2935,Total.SURVEY_LC1_2H1
  0.0000,498.3359,Total.SURVEY_LC1_2H2
10.80583, 0.00000,Total.SURVEY_LC1_2Hx
 28441.09,257080.48,Total.SURVEY_LU1_2U11
 14297.66,141978.45,Total.SURVEY_LU1_2U12
  4.120802,742.739653,Total.SURVEY_LU1_2U13
121.8425,984.4904,Total.SURVEY_LU1_2U14
15.52084,44.17321,Total.SURVEY_LU1_2U15
 20.92949,483.03300,Total.SURVEY_LU1_2U21
  0.0000,682.0631,Total.SURVEY_LU1_2U22
   49.53805,20468.86850,Total.SURVEY_LU1_2U31
  4.605543,489.384520,Total.SURVEY_LU1_2U32
  4.00098,460.07175,Total.SURVEY_LU1_2U33
  11.66648,1252.15030,Total.SURVEY_LU1_2U34
 136.4183,3280.4228,Total.SURVEY_LU1_2U35
  35.52587,4730.29540,Total.SURVEY_LU1_2U36
  596.4543,24962.5216,Total.SURVEY_LU1_2U37
   8.50915,1254.72236,Total.SURVEY_LU1_2U41
 1400.791,45017.455,Total.SURVEY_LU1_2U42
   0.000,7436.224,Total.SURVEY_LC1_3A11
  0.0000,435.7635,Total.SURVEY_LC1_3A12
  0.0000,281.8123,Total.SURVEY_LC1_3A13
14.62575, 0.00000,Total.SURVEY_LC1_3A1x
   0.000,7632.612,Total.SURVEY_LC1_3A21
    0.00,14112.34,Total.SURVEY_LC1_3A22
23.25213, 0.00000,Total.SURVEY_LC1_3A2x
   0.000,1551.713,Total.SURVEY_LC1_3A30
3.970313,0.000000,Total.SURVEY_LC1_3A3x
