FR1.No,FRB.No,FRC.No,FRD.No,FRE.No,FRF.No,FRG.No,FRH.No,FRI.No,FRJ.No,FRK.No,FRL.No,FRM.No,FR1.Yes,FRB.Yes,FRC.Yes,FRD.Yes,FRE.Yes,FRF.Yes,FRG.Yes,FRH.Yes,FRI.Yes,FRJ.Yes,FRK.Yes,FRL.Yes,FRM.Yes,variable
No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,flag_two
 1166.6385, 4002.3360, 3027.6293, 2104.9484, 3229.2235, 4564.6016, 2618.2003, 2148.6702, 6423.1726, 4640.2067, 6445.9763, 4429.9411,  347.1361,10903.3615,35526.6640,45034.3707,28008.0516,28719.7765,53153.3984,29757.7997,25322.3298,78403.8274,68605.7933,64688.0237,27409.0589, 8378.8639,Total.area
   3.860907,   9.240106,   0.000000,  18.672596,   0.000000,  13.006105,   6.161550,   0.000000,   0.000000,   0.000000,  11.449835,   0.000000,   0.000000,1708.267200,1790.734268,1881.432042,1759.964635,2380.167577,3025.032292,2525.440230,2300.099109,4494.031483,3608.999539,3851.725470,1912.873068, 211.701758,Total.SURVEY_LC1_1A
  706.31071, 3628.21350, 1872.54677, 1851.58349, 3171.60003, 3749.90586, 2418.98268, 1753.13937, 4938.30313, 2004.11425, 1000.78984,  774.29084,   52.12567, 2727.02700,12896.59322, 8019.94913, 9668.17819,13935.33960,14855.64566,10242.08881, 8481.46253,16175.18883,14742.76277, 8607.33886, 2288.55285,  163.47112,Total.SURVEY_LC1_1B
  424.59276,  235.43278, 1112.50505,   92.15764,   48.85401,  714.46411,  104.69517,  387.45642, 1367.10420, 2559.08756, 5384.86725, 3515.69999,  278.77097, 3195.91278,11009.44691,17227.14030, 5328.81546, 5592.75950,19903.31038, 5523.36679, 5790.86363,29732.30383,26746.17618,22232.36782,12357.99747, 4052.00943,Total.SURVEY_LC1_1C
   0.000000,   7.847447,  12.638300,   3.973212,   0.000000,   0.000000,  29.042481,   0.000000,   0.000000,   4.820284,   0.000000,  24.794182,   0.000000, 137.105479, 363.736506, 593.986539, 366.868497, 278.044085, 519.188738, 243.945850, 433.540430,1703.849049,4028.472431,2032.535029,2584.481002,2443.011577,Total.SURVEY_LC1_1D
   27.867077,  109.400175,   21.382542,  111.651884,    8.769469,   29.442327,   59.318468,    0.000000,  105.904306,   59.057004,   48.869423,   13.713182,    0.000000, 1548.801814, 6471.405426,14252.632690, 9331.363672, 4913.629487,10551.907588, 9571.017697, 6902.087136,21481.728349,16009.294638,23195.811186, 4744.368148,  759.113232,Total.SURVEY_LC1_1E
   4.007037,   0.000000,   8.556692,  12.182109,   0.000000,  39.071556,   0.000000,   0.000000,   0.000000,   9.057368,   0.000000,  89.170293,  16.239484,1442.039403,2330.468367,2614.764030,1314.666503,1313.943069,3676.710418, 941.840102,1190.635377,3639.496725,2616.857094,3434.943115,2714.463465, 713.271608,Total.SURVEY_LC1_1F
   0.000000,  12.201993,   0.000000,   8.004659,   0.000000,  14.628529,   0.000000,   8.074419,  11.860935,   4.070232,   0.000000,  12.272644,   0.000000, 140.252797, 639.619423, 400.143529, 198.180541, 273.469972, 577.836421, 576.627914, 166.001055,1020.964321, 658.462837,1269.979596, 527.430886,  24.157271,Total.SURVEY_LC1_1G
  0.000000,  0.000000,  0.000000,  6.722768,  0.000000,  4.083066,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  3.955042, 24.659873, 44.322389, 40.014141, 32.423204, 43.766945,133.472254, 57.640529,156.264838,194.767805, 63.322579,278.891981, 12.127876,Total.SURVEY_LC1_1H
  973.6547, 3876.4099, 2976.8509, 1988.1458, 3225.0142, 4464.5362, 2533.6357, 2097.7571, 6330.7189, 4272.7570, 6072.7793, 3925.6500,  142.3317, 7520.7626,30789.5892,40573.9279,23843.4054,24173.7512,46529.0864,24132.6434,20318.1879,65390.0831,51993.5321,48623.0230,13476.1165, 3466.2222,Total.SURVEY_LU1_1U1
  0.000000,  5.212478,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, 11.673469,  4.043539,  0.000000, 70.290818,113.800517, 41.410667, 52.819821,113.739455, 91.802966, 67.974119, 92.527682,124.885355,110.263769,188.121957, 81.315243, 16.143782,Total.SURVEY_LU1_1U2
 185.022061,  90.115384,  34.035632, 100.086103,   4.209273,  71.547820,  65.310911,  38.468457,  65.987900,  57.817349,  36.804911,  71.830346,  16.973380,2950.460507,3301.285205,3105.151519,3355.743773,3731.005959,5344.099534,4300.097460,3707.770761,8507.622445,6214.561779,7006.803494,3707.814186, 411.298223,Total.SURVEY_LU1_1U3
    7.961744,   30.598270,   16.742767,   16.716450,    0.000000,   28.517485,   19.253706,   12.444698,   26.465785,  309.632376,  324.718692,  428.417212,  187.831058,  361.847583, 1321.989055, 1313.880535,  756.082631,  701.279829, 1188.409585, 1257.084688, 1203.843470, 4381.236529,10287.435659, 8870.075240,10143.812903, 4485.199661,Total.SURVEY_LU1_1U4
   0.00000,   0.00000,   0.00000,  14.62575,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000, 418.07191, 479.70102, 479.39998, 424.22708, 832.87839, 685.01066, 596.04764, 782.38976,1191.03764, 619.93008,1005.04581, 598.75840,  41.30135,Total.SURVEY_LC1_2A1
   0.000000,   4.027627,   0.000000,   4.046842,   0.000000,   9.016108,   6.161550,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,1220.103455,1258.734478,1306.931278,1197.711933,1429.861130,2042.887907,1861.539654,1437.536905,3084.683775,2863.526295,2609.496696,1265.673360, 166.268969,Total.SURVEY_LC1_2A2
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  3.970313,  0.000000,  0.000000, 70.091840, 52.298770, 95.100780,138.025618,117.428061,297.133730, 67.852931, 80.172440,218.310071,125.543168,237.182968, 48.441305,  4.131440,Total.SURVEY_LC1_2A3
3.860907,5.212478,0.000000,0.000000,0.000000,3.989998,0.000000,0.000000,0.000000,0.000000,7.479522,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_2Ax
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,1147.76329,8137.70672,4031.46123,6237.10859,8419.00807,8614.77985,6014.94752,6108.32130,7615.25321,5505.34814,4574.33294, 361.45353,  15.99271,Total.SURVEY_LC1_2B1
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000, 217.69476, 359.29483,  41.83754, 410.99543,2699.82578, 794.71596,  46.45421, 165.44381,  82.23547,  20.30677,  79.69481,  23.00621,   0.00000,Total.SURVEY_LC1_2B2
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000, 946.90749,3030.46947,1973.00404,1751.68785,1797.54390,2842.68769,1595.63313, 650.53852,3405.69874,2480.99245, 836.46312,  58.94425,   0.00000,Total.SURVEY_LC1_2B3
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 44.01283, 92.47923, 55.17868,135.02726,454.06142,248.80013,173.02886,330.37435,290.89565,388.10982,149.17921,109.35232,  0.00000,Total.SURVEY_LC1_2B4
   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000, 354.7716, 996.3142,1473.0830, 815.6894, 468.9861,1662.6171,1878.6351,1151.0057,2240.9614,2929.4686,1962.9153, 329.6013,  19.9542,Total.SURVEY_LC1_2B5
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 12.01010, 53.32002, 79.33682,309.63858, 71.32660,265.60763,165.33073, 71.76111,449.90724,570.63603,388.65021,339.44049, 28.87262,Total.SURVEY_LC1_2B7
   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   3.866963, 227.008714, 366.047847,   8.031094,  24.587751, 426.437353, 368.059230,   4.017736,2090.237115,2847.900930, 616.103278,1066.754746,  98.651593,Total.SURVEY_LC1_2B8
 706.31071,3628.21350,1872.54677,1851.58349,3171.60003,3749.90586,2418.98268,1753.13937,4938.30313,2004.11425,1000.78984, 774.29084,  52.12567,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,Total.SURVEY_LC1_2Bx
    0.000000,   35.250004,    8.016639,   18.246230,    4.040489,  234.826596,   17.570405,   11.075515,   23.867061,    0.000000,    3.892234,    0.000000,    0.000000, 2991.418929, 9621.387326,14026.870785, 4669.456420, 5245.444738,16606.878769, 3989.003164, 4752.860000,19530.213093,21767.499030,14522.122968, 5323.439359, 3006.944599,Total.SURVEY_LC1_2C1
  12.52433,  82.32339, 687.69766,  21.07807,  12.43936, 184.25100,  11.26835,  16.78804, 843.23574,1083.65812,3017.32983,1897.17021, 105.77596,  37.68838, 521.26520,1176.37846, 302.22473,  90.36370,1166.72592, 550.96560, 300.72434,7673.65348,2627.41274,3099.95460,2802.73507, 469.97423,Total.SURVEY_LC1_2C2
 207.34526,  37.99531, 349.03209,  15.54988,  16.11249, 137.46798,  37.70993, 322.23240, 369.03169, 754.68145,2070.48974,1072.87079, 101.96170, 166.80546, 866.79438,2023.89106, 357.13431, 256.95105,2129.70569, 983.39803, 737.27928,2528.43726,2351.26442,4610.29026,4231.82304, 575.09060,Total.SURVEY_LC1_2C3
204.72317, 79.86409, 67.75866, 37.28346, 16.26168,157.91853, 38.14649, 37.36046,130.96970,720.74799,293.15544,545.65899, 71.03332,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,Total.SURVEY_LC1_2Cx
   0.000000,   0.000000,   0.000000,   3.973212,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   4.928416,   0.000000,  67.637182, 153.087050, 157.012524, 204.255167,  70.123977, 176.638632,  66.536228, 163.646271, 777.477193,1671.854854, 695.103289,1148.476868, 734.242833,Total.SURVEY_LC1_2D1
   0.000000,   3.960389,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,  15.658797,   0.000000,  69.468297, 210.649455, 436.974015, 162.613330, 207.920108, 342.550106, 177.409623, 269.894158, 926.371856,2356.617577,1337.431740,1436.004134,1708.768744,Total.SURVEY_LC1_2D2
 0.000000, 3.887058,12.638300, 0.000000, 0.000000, 0.000000,29.042481, 0.000000, 0.000000, 4.820284, 0.000000, 4.206970, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,Total.SURVEY_LC1_2Dx
   0.000000,   0.000000,  13.431340,  67.284172,   0.000000,   4.089736,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000, 235.736209, 622.143135, 729.219290, 627.940651, 698.220076, 931.826361, 926.718038, 582.199652,1984.575296,1901.233219,2296.721846, 961.921893, 142.427722,Total.SURVEY_LC1_2E1
    0.000000,   40.861799,    0.000000,   39.815014,    4.762701,   17.162875,   17.304955,    0.000000,    3.980273,    4.059188,   21.619819,    9.669643,    0.000000,  862.940929, 5046.684913,12561.566673, 8336.008756, 3825.808305, 8940.056647, 7957.992025, 5753.146241,16559.080361,12769.073080,19380.714685, 3229.035437,  517.306277,Total.SURVEY_LC1_2E2
   0.000000,   0.000000,   0.000000,   4.552697,   0.000000,   4.154259,   4.400813,   0.000000,  26.187807,   0.000000,   0.000000,   0.000000,   0.000000, 450.124676, 802.577378, 961.846727, 367.414265, 389.601106, 680.024579, 686.307634, 566.741243,2938.072692,1338.988339,1518.374655, 553.410818,  99.379233,Total.SURVEY_LC1_2E3
27.867077,68.538376, 7.951202, 0.000000, 4.006767, 4.035456,37.612701, 0.000000,75.736226,54.997816,27.249604, 4.043539, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,Total.SURVEY_LC1_2Ex
   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   4.007037,   8.186511,  46.132795,  12.247848,  16.624923,  28.652754,   8.281746,  20.331142, 136.411418, 849.010421,2029.505914,2164.651444, 619.668710,Total.SURVEY_LC1_2F1
 0.000000, 0.000000, 0.000000, 4.159093, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 4.179203, 0.000000, 0.000000, 4.152455,16.509759, 4.159093, 8.310444,20.708037,16.464532, 4.135926,45.259039,15.602893,20.756194,86.424752, 4.056966,Total.SURVEY_LC1_2F2
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.136693,0.000000,0.000000,0.000000,Total.SURVEY_LC1_2F3
   0.000000,   0.000000,   8.556692,   3.985316,   0.000000,  39.071556,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   3.959057,   0.000000,1438.032366,2318.129401,2552.121476,1298.259562,1289.007701,3627.349626, 917.093825,1166.168309,3457.826268,1748.107088,1384.681006, 463.387268,  89.545932,Total.SURVEY_LC1_2F4
 4.007037, 0.000000, 0.000000, 4.037701, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 9.057368, 0.000000,81.032033,16.239484, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,Total.SURVEY_LC1_2Fx
  0.000000, 12.201993,  0.000000,  4.046842,  0.000000, 14.628529,  0.000000,  0.000000,  7.940399,  4.070232,  0.000000, 12.272644,  0.000000, 54.605068,496.803516,251.914942, 75.169368,171.169553,355.832449,369.233259,114.088784,662.594282,343.962709,601.430197,192.122752, 20.166798,Total.SURVEY_LC1_2G1
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  8.074419,  3.920536,  0.000000,  0.000000,  0.000000,  0.000000, 85.647729,142.815907,148.228587,123.011173,102.300419,222.003972,207.394655, 51.912270,346.306202,302.844216,497.309934,253.045151,  3.990473,Total.SURVEY_LC1_2G2
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,12.063838, 7.603496, 0.000000,19.392781, 0.000000,Total.SURVEY_LC1_2G3
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  4.052416,171.239466, 62.870202,  0.000000,Total.SURVEY_LC1_2G5
0.000000,0.000000,0.000000,3.957817,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_2Gx
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  3.955042, 24.659873, 44.322389, 16.201713, 28.315944, 43.766945,105.397948, 37.532375, 95.961962, 50.489799, 63.322579, 65.253114,  8.113864,Total.SURVEY_LC1_2H1
