FR10.No,FRB0.No,FRC1.No,FRC2.No,FRD1.No,FRD2.No,FRE1.No,FRE2.No,FRF1.No,FRF2.No,FRF3.No,FRG0.No,FRH0.No,FRI1.No,FRI2.No,FRI3.No,FRJ1.No,FRJ2.No,FRK1.No,FRK2.No,FRL0.No,FRM0.No,FR10.Yes,FRB0.Yes,FRC1.Yes,FRC2.Yes,FRD1.Yes,FRD2.Yes,FRE1.Yes,FRE2.Yes,FRF1.Yes,FRF2.Yes,FRF3.Yes,FRG0.Yes,FRH0.Yes,FRI1.Yes,FRI2.Yes,FRI3.Yes,FRJ1.Yes,FRJ2.Yes,FRK1.Yes,FRK2.Yes,FRL0.Yes,FRM0.Yes,variable
No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,flag_two
 1166.6385, 4002.3360, 1961.0286, 1066.6008, 1343.0452,  761.9032,  942.0348, 2287.1887,  736.4291, 2214.0788, 1614.0936, 2618.2003, 2148.6702, 2662.7654,  958.1993, 2802.2079, 1864.4043, 2775.8024, 1742.1399, 4703.8365, 4429.9411,  347.1361,10903.3615,35526.6640,29792.9714,15241.3992,16414.9548,11593.0968,11501.9652,17217.8113, 7592.5709,23505.9212,22054.9064,29757.7997,25322.3298,39141.2346,16097.8007,23164.7921,25778.5957,42827.1976,24429.8601,40258.1635,27409.0589, 8378.8639,Total.area
   3.860907,   9.240106,   0.000000,   0.000000,   0.000000,  18.672596,   0.000000,   0.000000,   0.000000,   3.989998,   9.016108,   6.161550,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   7.479522,   3.970313,   0.000000,   0.000000,1708.267200,1790.734268,1165.544162, 715.887880,1089.209017, 670.755618,1391.995895, 988.171683, 725.496324,1086.942701,1212.593267,2525.440230,2300.099109,2267.558595, 713.023145,1513.449743,1641.117024,1967.882515,1110.033227,2741.692243,1912.873068, 211.701758,Total.SURVEY_LC1_1A
  706.31071, 3628.21350, 1552.12427,  320.42250, 1229.55061,  622.03288,  925.24552, 2246.35451,  449.37080, 1839.96812, 1460.56695, 2418.98268, 1753.13937, 1598.43906,  588.81139, 2751.05268,  398.74831, 1605.36594,  418.08941,  582.70043,  774.29084,   52.12567, 2727.02700,12896.59322, 6060.98235, 1958.96678, 5118.23123, 4549.94696, 5488.35344, 8446.98616, 1895.74668, 7840.34161, 5119.55737,10242.08881, 8481.46253, 6221.96178, 1500.73493, 8452.49212, 4267.02060,10475.74217, 3248.42599, 5358.91287, 2288.55285,  163.47112,Total.SURVEY_LC1_1B
  424.592760,  235.432783,  392.270764,  720.234284,   57.209966,   34.947679,    8.019775,   40.834235,  274.530759,  365.966469,   73.966882,  104.695167,  387.456418,  995.345516,  335.105975,   36.652707, 1424.572572, 1134.514989, 1300.956910, 4083.910335, 3515.699992,  278.770972, 3195.912775,11009.446909,10219.219983, 7007.920320, 2744.198838, 2584.616621, 1626.030429, 3966.729067, 3288.526707, 7023.856983, 9590.926690, 5523.366791, 5790.863625,18434.625173, 6472.209632, 4825.469028,11630.675150,15115.501033, 7297.657648,14934.710174,12357.997468, 4052.009429,Total.SURVEY_LC1_1C
   0.000000,   7.847447,   8.714902,   3.923398,   0.000000,   3.973212,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,  29.042481,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   4.820284,   0.000000,   0.000000,  24.794182,   0.000000, 137.105479, 363.736506, 394.617147, 199.369392, 211.658048, 155.210450, 140.189778, 137.854307,  78.620356, 128.948088, 311.620294, 243.945850, 433.540430,1159.515188, 290.751748, 253.582112,3006.395180,1022.077251, 695.589208,1336.945821,2584.481002,2443.011577,Total.SURVEY_LC1_1D
   27.867077,  109.400175,    3.967504,   17.415039,   37.581021,   74.070863,    8.769469,    0.000000,   12.527549,    4.154259,   12.760519,   59.318468,    0.000000,   57.119859,   34.281938,   14.502509,   32.919402,   26.137602,   15.614029,   33.255393,   13.713182,    0.000000, 1548.801814, 6471.405426, 9349.217528, 4903.415162, 6609.335961, 2722.027712, 2528.534890, 2385.094597, 1332.332831, 4256.148643, 4963.426113, 9571.017697, 6902.087136, 9089.187800, 6653.517757, 5739.022792, 4291.293964,11718.000673,11014.334686,12181.476500, 4744.368148,  759.113232,Total.SURVEY_LC1_1E
   4.007037,   0.000000,   3.951149,   4.605543,   8.023016,   4.159093,   0.000000,   0.000000,   0.000000,   0.000000,  39.071556,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   4.093827,   4.963541,   0.000000,   0.000000,  89.170293,  16.239484,1442.039403,2330.468367,2316.341876, 298.422155, 533.996872, 780.669631, 211.967454,1101.975615, 139.298152,2927.775070, 609.637195, 941.840102,1190.635377,1407.366204, 166.119810,2066.010711, 505.491464,2111.365630, 885.781188,2549.161927,2714.463465, 713.271608,Total.SURVEY_LC1_1F
   0.000000,  12.201993,   0.000000,   0.000000,   3.957817,   4.046842,   0.000000,   0.000000,   0.000000,   0.000000,  14.628529,   0.000000,   8.074419,  11.860935,   0.000000,   0.000000,   4.070232,   0.000000,   0.000000,   0.000000,  12.272644,   0.000000, 140.252797, 639.619423, 278.873311, 121.270217,  88.632802, 109.547740, 110.846420, 162.623552, 124.673193, 241.908060, 211.255169, 576.627914, 166.001055, 508.988354, 273.562028, 238.413939, 241.834470, 416.628367, 146.470495,1123.509101, 527.430886,  24.157271,Total.SURVEY_LC1_1G
  0.000000,  0.000000,  0.000000,  0.000000,  6.722768,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  4.083066,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  3.955042, 24.659873,  8.175055, 36.147334, 19.692035, 20.322105,  4.046924, 28.376280,  7.876650,  0.000000, 35.890295,133.472254, 57.640529, 52.031530, 27.881648, 76.351660,194.767805,  0.000000, 31.567686, 31.754893,278.891981, 12.127876,Total.SURVEY_LC1_1H
