No,Yes,variable
 2768.359,53825.641,Total.area
   0.00,1735.32,Total.SURVEY_LC1_1A
1454.888,6689.633,Total.SURVEY_LC1_1B
 1309.195,25765.053,Total.SURVEY_LC1_1C
   4.275766,7165.328621,Total.SURVEY_LC1_1D
   0.000,9499.782,Total.SURVEY_LC1_1E
   0.000,2260.394,Total.SURVEY_LC1_1F
  0.0000,516.2304,Total.SURVEY_LC1_1G
  0.0000,193.9011,Total.SURVEY_LC1_1H
 2114.70,31154.41,Total.SURVEY_LU1_1U1
 0.00000,71.73753,Total.SURVEY_LU1_1U2
   4.354262,2989.316021,Total.SURVEY_LU1_1U3
  649.304,19610.176,Total.SURVEY_LU1_1U4
  0.0000,513.3704,Total.SURVEY_LC1_2A1
   0.000,1144.185,Total.SURVEY_LC1_2A2
 0.00000,77.76476,Total.SURVEY_LC1_2A3
   0.000,3692.845,Total.SURVEY_LC1_2B1
  0.000,158.711,Total.SURVEY_LC1_2B2
  0.0000,941.4342,Total.SURVEY_LC1_2B3
 0.00000,77.74216,Total.SURVEY_LC1_2B4
  0.0000,496.0383,Total.SURVEY_LC1_2B5
  0.0000,621.0109,Total.SURVEY_LC1_2B7
  0.0000,701.8509,Total.SURVEY_LC1_2B8
1454.888,   0.000,Total.SURVEY_LC1_2Bx
    0.00,21446.18,Total.SURVEY_LC1_2C1
 397.113,1775.123,Total.SURVEY_LC1_2C2
 912.0816,2543.7489,Total.SURVEY_LC1_2C3
   0.000,3406.612,Total.SURVEY_LC1_2D1
   0.000,3758.716,Total.SURVEY_LC1_2D2
4.275766,0.000000,Total.SURVEY_LC1_2Dx
   0.000,2517.623,Total.SURVEY_LC1_2E1
   0.000,5280.097,Total.SURVEY_LC1_2E2
   0.000,1702.061,Total.SURVEY_LC1_2E3
  0.0000,424.5476,Total.SURVEY_LC1_2F1
 0.00000,24.83411,Total.SURVEY_LC1_2F2
   0.000,1811.012,Total.SURVEY_LC1_2F4
  0.0000,203.1865,Total.SURVEY_LC1_2G1
  0.0000,296.8015,Total.SURVEY_LC1_2G2
0.000000,4.001862,Total.SURVEY_LC1_2G3
 0.00000,12.24051,Total.SURVEY_LC1_2G4
  0.000,172.437,Total.SURVEY_LC1_2H1
 0.0000,21.4641,Total.SURVEY_LC1_2H2
 1454.888,13705.243,Total.SURVEY_LU1_2U11
  659.8121,17301.3172,Total.SURVEY_LU1_2U12
  0.0000,116.2708,Total.SURVEY_LU1_2U13
 0.00000,20.43147,Total.SURVEY_LU1_2U14
 0.00000,11.14938,Total.SURVEY_LU1_2U15
 0.00000,23.43843,Total.SURVEY_LU1_2U21
 0.0000,48.2991,Total.SURVEY_LU1_2U22
   0.000,1143.298,Total.SURVEY_LU1_2U31
 0.00000,58.85454,Total.SURVEY_LU1_2U32
 0.00000,34.24067,Total.SURVEY_LU1_2U33
  0.0000,139.7876,Total.SURVEY_LU1_2U34
  4.354262,196.063010,Total.SURVEY_LU1_2U35
  0.0000,264.7602,Total.SURVEY_LU1_2U36
   0.000,1152.312,Total.SURVEY_LU1_2U37
  0.000,233.227,Total.SURVEY_LU1_2U41
  649.304,19376.949,Total.SURVEY_LU1_2U42
  0.0000,475.1813,Total.SURVEY_LC1_3A11
 0.00000,26.00725,Total.SURVEY_LC1_3A12
 0.00000,12.18191,Total.SURVEY_LC1_3A13
  0.0000,480.1139,Total.SURVEY_LC1_3A21
  0.0000,664.0708,Total.SURVEY_LC1_3A22
 0.00000,77.76476,Total.SURVEY_LC1_3A30
  0.0000,575.0287,Total.SURVEY_LC1_3B11
 0.00000,21.71418,Total.SURVEY_LC1_3B12
  0.0000,238.2372,Total.SURVEY_LC1_3B13
0.000000,5.001925,Total.SURVEY_LC1_3B14
 0.00000,88.08734,Total.SURVEY_LC1_3B15
   0.00,2702.86,Total.SURVEY_LC1_3B16
 0.00000,24.63974,Total.SURVEY_LC1_3B18
 0.00000,37.27596,Total.SURVEY_LC1_3B19
 0.00000,97.16054,Total.SURVEY_LC1_3B21
 0.00000,61.55045,Total.SURVEY_LC1_3B22
  0.0000,352.3594,Total.SURVEY_LC1_3B31
 0.0000,61.8079,Total.SURVEY_LC1_3B32
  0.0000,483.6562,Total.SURVEY_LC1_3B33
 0.00000,15.09733,Total.SURVEY_LC1_3B36
 0.00000,28.51331,Total.SURVEY_LC1_3B37
 0.00000,19.49591,Total.SURVEY_LC1_3B41
 0.00000,58.24625,Total.SURVEY_LC1_3B43
 0.00000,52.68493,Total.SURVEY_LC1_3B51
  0.000,103.147,Total.SURVEY_LC1_3B52
 0.00000,27.91128,Total.SURVEY_LC1_3B53
  0.0000,312.2951,Total.SURVEY_LC1_3B55
  0.0000,111.4575,Total.SURVEY_LC1_3B71
 0.00000,32.00085,Total.SURVEY_LC1_3B72
 0.00000,29.99939,Total.SURVEY_LC1_3B73
  0.0000,189.9934,Total.SURVEY_LC1_3B74
