HR02.No,HR03.No,HR06.No,HR02.Yes,HR03.Yes,HR05.Yes,HR06.Yes,variable
No,No,No,Yes,Yes,Yes,Yes,flag_two
 1570.26106, 1101.33124,   96.76622,21649.73894,23603.66876,  641.00000, 7931.23378,Total.area
  0.0000,  0.0000,  0.0000,569.2805,687.1812,108.6231,370.2351,Total.SURVEY_LC1_1A
1272.06462,  89.96897,  92.85456,3946.98471, 961.51390,  59.55815,1721.57619,Total.SURVEY_LC1_1B
  298.196436, 1007.086513,    3.911664,10829.874282,11196.429592,  280.224861, 3458.523940,Total.SURVEY_LC1_1C
   0.000000,   4.275766,   0.000000,1187.418218,5590.816284,  19.091757, 368.002362,Total.SURVEY_LC1_1D
   0.0000,   0.0000,   0.0000,3211.9393,4324.8028, 164.1099,1798.9296,Total.SURVEY_LC1_1E
   0.0000,   0.0000,   0.0000,1485.2685, 645.6586,   0.0000, 129.4670,Total.SURVEY_LC1_1F
  0.000000,  0.000000,  0.000000,320.491736,117.957519,  9.392226, 68.388951,Total.SURVEY_LC1_1G
 0.00000, 0.00000, 0.00000,98.48166,79.30885, 0.00000,16.11056,Total.SURVEY_LC1_1H
 1460.73193,  561.11379,   92.85456,16615.03932, 7957.09253,  431.65093, 6150.62921,Total.SURVEY_LU1_1U1
 0.00000, 0.00000, 0.00000,19.88598,12.16844, 0.00000,39.68312,Total.SURVEY_LU1_1U2
   4.354262,   0.000000,   0.000000,1134.784295,1084.470802, 158.645345, 611.415579,Total.SURVEY_LU1_1U3
  105.174858,  540.217450,    3.911664, 3880.029355,14549.936989,   50.703723, 1129.505867,Total.SURVEY_LU1_1U4
  0.00000,  0.00000,  0.00000,200.27166,166.14628, 53.61125, 93.34126,Total.SURVEY_LC1_2A1
  0.00000,  0.00000,  0.00000,365.04969,480.64074, 46.03639,252.45786,Total.SURVEY_LC1_2A2
 0.000000, 0.000000, 0.000000, 3.959172,40.394152, 8.975445,24.435994,Total.SURVEY_LC1_2A3
   0.00000,   0.00000,   0.00000,2499.90323,  33.26754,  14.12412,1145.55061,Total.SURVEY_LC1_2B1
 0.00000, 0.00000, 0.00000,82.66198,24.14370, 0.00000,51.90531,Total.SURVEY_LC1_2B2
  0.000000,  0.000000,  0.000000,787.191840,  5.775415,  0.000000,148.466911,Total.SURVEY_LC1_2B3
 0.00000, 0.00000, 0.00000,21.21340,31.83269, 0.00000,24.69607,Total.SURVEY_LC1_2B4
  0.00000,  0.00000,  0.00000,224.45877,127.58956, 30.70502,113.28498,Total.SURVEY_LC1_2B5
  0.00000,  0.00000,  0.00000,254.86648,173.72565, 14.72902,177.68973,Total.SURVEY_LC1_2B7
  0.00000,  0.00000,  0.00000, 76.68901,565.17934,  0.00000, 59.98258,Total.SURVEY_LC1_2B8
1272.06462,  89.96897,  92.85456,   0.00000,   0.00000,   0.00000,   0.00000,Total.SURVEY_LC1_2Bx
    0.0000,    0.0000,    0.0000,10310.4504, 7503.0321,  280.2249, 3352.4737,Total.SURVEY_LC1_2C1
  56.709739, 336.491574,   3.911664, 111.272074,1654.469650,   0.000000,   9.380985,Total.SURVEY_LC1_2C2
 241.48670, 670.59494,   0.00000, 408.15179,2038.92785,   0.00000,  96.66922,Total.SURVEY_LC1_2C3
   0.00000,   0.00000,   0.00000, 654.90805,2569.09339,  10.50824, 172.10271,Total.SURVEY_LC1_2D1
   0.000000,   0.000000,   0.000000, 532.510171,3021.722891,   8.583517, 195.899649,Total.SURVEY_LC1_2D2
0.000000,4.275766,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_2Dx
   0.0000,   0.0000,   0.0000, 368.3072,1919.1689,  20.6394, 209.5079,Total.SURVEY_LC1_2E1
   0.0000,   0.0000,   0.0000,1797.3842,2133.1779, 134.9056,1214.6298,Total.SURVEY_LC1_2E2
   0.00000,   0.00000,   0.00000,1046.24789, 272.45602,   8.56493, 374.79191,Total.SURVEY_LC1_2E3
  0.000000,  0.000000,  0.000000,  0.000000,416.843032,  0.000000,  7.704591,Total.SURVEY_LC1_2F1
 0.000000, 0.000000, 0.000000, 0.000000,20.647144, 0.000000, 4.186961,Total.SURVEY_LC1_2F2
   0.0000,   0.0000,   0.0000,1485.2685, 208.1684,   0.0000, 117.5755,Total.SURVEY_LC1_2F4
  0.00000,  0.00000,  0.00000,105.59521, 65.75226,  0.00000, 31.83905,Total.SURVEY_LC1_2G1
  0.000000,  0.000000,  0.000000,214.896525, 35.962891,  9.392226, 36.549901,Total.SURVEY_LC1_2G2
0.000000,0.000000,0.000000,0.000000,4.001862,0.000000,0.000000,Total.SURVEY_LC1_2G3
 0.00000, 0.00000, 0.00000, 0.00000,12.24051, 0.00000, 0.00000,Total.SURVEY_LC1_2G4
 0.00000, 0.00000, 0.00000,98.48166,57.84475, 0.00000,16.11056,Total.SURVEY_LC1_2H1
 0.0000, 0.0000, 0.0000, 0.0000,21.4641, 0.0000, 0.0000,Total.SURVEY_LC1_2H2
1272.06462,  89.96897,  92.85456,7514.73450,3070.73024, 179.50056,2940.27785,Total.SURVEY_LU1_2U11
 188.6673, 471.1448,   0.0000,9013.8300,4850.2981, 252.1504,3185.0387,Total.SURVEY_LU1_2U12
 0.00000, 0.00000, 0.00000,81.06768,15.63273, 0.00000,19.57043,Total.SURVEY_LU1_2U13
 0.00000, 0.00000, 0.00000, 0.00000,20.43147, 0.00000, 0.00000,Total.SURVEY_LU1_2U14
0.000000,0.000000,0.000000,5.407168,0.000000,0.000000,5.742209,Total.SURVEY_LU1_2U15
0.000000,0.000000,0.000000,9.797090,3.984560,0.000000,9.656783,Total.SURVEY_LU1_2U21
 0.000000, 0.000000, 0.000000,10.088887, 8.183877, 0.000000,30.026336,Total.SURVEY_LU1_2U22
  0.00000,  0.00000,  0.00000,458.95386,376.31289, 45.67065,262.36050,Total.SURVEY_LU1_2U31
 0.000000, 0.000000, 0.000000, 5.733481,41.528032, 4.634246, 6.958779,Total.SURVEY_LU1_2U32
 0.00000, 0.00000, 0.00000,13.62114,20.61953, 0.00000, 0.00000,Total.SURVEY_LU1_2U33
 0.000000, 0.000000, 0.000000,54.238144,76.312623, 0.000000, 9.236865,Total.SURVEY_LU1_2U34
 4.354262, 0.000000, 0.000000,88.089723,99.349763, 4.341199, 4.282326,Total.SURVEY_LU1_2U35
  0.00000,  0.00000,  0.00000,116.56802, 76.70614, 37.94307, 33.54292,Total.SURVEY_LU1_2U36
  0.00000,  0.00000,  0.00000,397.57993,393.64183, 66.05618,295.03419,Total.SURVEY_LU1_2U37
  0.000000,  0.000000,  0.000000, 68.412292,155.613196,  0.000000,  9.201555,Total.SURVEY_LU1_2U41
  105.174858,  540.217450,    3.911664, 3811.617063,14394.323793,   50.703723, 1120.304312,Total.SURVEY_LU1_2U42
  0.00000,  0.00000,  0.00000,188.08975,140.13903, 53.61125, 93.34126,Total.SURVEY_LC1_3A11
 0.00000, 0.00000, 0.00000, 0.00000,26.00725, 0.00000, 0.00000,Total.SURVEY_LC1_3A12
 0.00000, 0.00000, 0.00000,12.18191, 0.00000, 0.00000, 0.00000,Total.SURVEY_LC1_3A13
  0.00000,  0.00000,  0.00000,161.18807,231.13832, 19.15411, 68.63336,Total.SURVEY_LC1_3A21
  0.00000,  0.00000,  0.00000,203.86162,249.50242, 26.88228,183.82450,Total.SURVEY_LC1_3A22
 0.000000, 0.000000, 0.000000, 3.959172,40.394152, 8.975445,24.435994,Total.SURVEY_LC1_3A30
  0.00000,  0.00000,  0.00000,508.48832,  0.00000,  0.00000, 66.54041,Total.SURVEY_LC1_3B11
 0.000000, 0.000000, 0.000000, 4.590627, 0.000000, 0.000000,17.123557,Total.SURVEY_LC1_3B12
  0.00000,  0.00000,  0.00000,135.88382, 10.19551,  0.00000, 92.15787,Total.SURVEY_LC1_3B13
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.001925,Total.SURVEY_LC1_3B14
 0.00000, 0.00000, 0.00000,59.79301, 0.00000, 0.00000,28.29433,Total.SURVEY_LC1_3B15
   0.00000,   0.00000,   0.00000,1746.56561,  23.07202,  14.12412, 919.09865,Total.SURVEY_LC1_3B16
 0.00000, 0.00000, 0.00000,11.58819, 0.00000, 0.00000,13.05155,Total.SURVEY_LC1_3B18
 0.000000, 0.000000, 0.000000,32.993637, 0.000000, 0.000000, 4.282326,Total.SURVEY_LC1_3B19
