No,Yes,variable
11329.26,81682.74,Total.area
   0.000,3718.352,Total.SURVEY_LC1_1A
11318.06,27953.08,Total.SURVEY_LC1_1B
    7.330234,25358.988693,Total.SURVEY_LC1_1C
   3.861248,1563.687996,Total.SURVEY_LC1_1D
    0.00,16139.69,Total.SURVEY_LC1_1E
   0.00,4091.14,Total.SURVEY_LC1_1F
   0.000,1813.891,Total.SURVEY_LC1_1G
   0.000,1043.912,Total.SURVEY_LC1_1H
11317.05,67076.61,Total.SURVEY_LU1_1U1
  0.0000,253.2113,Total.SURVEY_LU1_1U2
   0.000,8270.595,Total.SURVEY_LU1_1U3
  12.20161,6082.32283,Total.SURVEY_LU1_1U4
   0.000,1197.207,Total.SURVEY_LC1_2A1
   0.000,2369.513,Total.SURVEY_LC1_2A2
  0.0000,151.6318,Total.SURVEY_LC1_2A3
    0.00,18501.54,Total.SURVEY_LC1_2B1
  0.0000,137.7422,Total.SURVEY_LC1_2B2
   0.000,6273.405,Total.SURVEY_LC1_2B3
  0.000,193.719,Total.SURVEY_LC1_2B4
   0.000,1234.837,Total.SURVEY_LC1_2B5
  0.0000,950.1422,Total.SURVEY_LC1_2B7
  0.0000,661.7013,Total.SURVEY_LC1_2B8
11318.06,    0.00,Total.SURVEY_LC1_2Bx
    0.00,22889.07,Total.SURVEY_LC1_2C1
   7.330234,1070.434245,Total.SURVEY_LC1_2C2
   0.000,1399.484,Total.SURVEY_LC1_2C3
  0.000,895.432,Total.SURVEY_LC1_2D1
  0.000,668.256,Total.SURVEY_LC1_2D2
3.861248,0.000000,Total.SURVEY_LC1_2Dx
   0.000,1557.104,Total.SURVEY_LC1_2E1
    0.00,11888.96,Total.SURVEY_LC1_2E2
   0.000,2693.625,Total.SURVEY_LC1_2E3
 0.0000,16.4555,Total.SURVEY_LC1_2F2
   0.000,4074.685,Total.SURVEY_LC1_2F4
   0.000,1327.663,Total.SURVEY_LC1_2G1
  0.0000,486.2281,Total.SURVEY_LC1_2G2
   0.000,1043.912,Total.SURVEY_LC1_2H1
11309.72,44682.88,Total.SURVEY_LU1_2U11
    7.330234,21856.809774,Total.SURVEY_LU1_2U12
  0.0000,407.2639,Total.SURVEY_LU1_2U13
  0.000,114.238,Total.SURVEY_LU1_2U14
 0.00000,15.42003,Total.SURVEY_LU1_2U15
 0.00000,66.04714,Total.SURVEY_LU1_2U21
  0.0000,187.1642,Total.SURVEY_LU1_2U22
   0.000,2784.099,Total.SURVEY_LU1_2U31
  0.0000,259.0532,Total.SURVEY_LU1_2U32
 0.00000,93.35292,Total.SURVEY_LU1_2U33
  0.000,101.348,Total.SURVEY_LU1_2U34
  0.0000,343.9511,Total.SURVEY_LU1_2U35
   0.000,1307.555,Total.SURVEY_LU1_2U36
   0.000,3381.237,Total.SURVEY_LU1_2U37
   8.340365,1042.825890,Total.SURVEY_LU1_2U41
   3.861248,5039.496941,Total.SURVEY_LU1_2U42
   0.000,1115.211,Total.SURVEY_LC1_3A11
 0.00000,67.34645,Total.SURVEY_LC1_3A12
 0.00000,14.64944,Total.SURVEY_LC1_3A13
  0.0000,716.2058,Total.SURVEY_LC1_3A21
   0.000,1653.307,Total.SURVEY_LC1_3A22
