HU1.No,HU2.No,HU3.No,HU1.Yes,HU2.Yes,HU3.Yes,variable
No,No,No,Yes,Yes,Yes,flag_two
  487.1016, 3429.3089, 7412.8454, 6428.8984,33181.6911,42072.1546,Total.area
   0.0000,   0.0000,   0.0000, 636.5521,1354.3969,1727.4029,Total.SURVEY_LC1_1A
  487.1016, 3426.2205, 7404.7423, 1650.6431,11345.1708,14957.2689,Total.SURVEY_LC1_1B
    0.000000,    3.088408,    4.241827, 2409.230958,11731.974530,11217.783205,Total.SURVEY_LC1_1C
  0.000000,  0.000000,  3.861248,128.539381,486.736785,948.411830,Total.SURVEY_LC1_1D
    0.000,    0.000,    0.000, 1240.636, 4824.459,10074.594,Total.SURVEY_LC1_1E
   0.0000,   0.0000,   0.0000, 144.1957,1986.5436,1960.4012,Total.SURVEY_LC1_1F
   0.0000,   0.0000,   0.0000, 161.8850,1057.3280, 594.6779,Total.SURVEY_LC1_1G
  0.00000,  0.00000,  0.00000, 57.21595,395.08112,591.61483,Total.SURVEY_LC1_1H
  483.1891, 3429.3089, 7404.5562, 4580.3570,27295.4380,35200.8196,Total.SURVEY_LU1_1U1
  0.00000,  0.00000,  0.00000, 57.82260,109.83004, 85.55868,Total.SURVEY_LU1_1U2
   0.000,   0.000,   0.000,1302.512,3383.788,3584.296,Total.SURVEY_LU1_1U3
   3.912483,   0.000000,   8.289130, 488.207137,2392.635139,3201.480556,Total.SURVEY_LU1_1U4
  0.0000,  0.0000,  0.0000,278.6494,402.1556,516.4024,Total.SURVEY_LC1_2A1
   0.0000,   0.0000,   0.0000, 348.3317, 893.8939,1127.2872,Total.SURVEY_LC1_2A2
 0.000000, 0.000000, 0.000000, 9.570967,58.347476,83.713358,Total.SURVEY_LC1_2A3
   0.0000,   0.0000,   0.0000, 872.9215,7638.9977,9989.6169,Total.SURVEY_LC1_2B1
  0.000000,  0.000000,  0.000000,  0.000000,  8.654465,129.087725,Total.SURVEY_LC1_2B2
   0.0000,   0.0000,   0.0000, 607.2558,2441.0693,3225.0796,Total.SURVEY_LC1_2B3
  0.00000,  0.00000,  0.00000,  0.00000, 21.82108,171.89789,Total.SURVEY_LC1_2B4
  0.00000,  0.00000,  0.00000, 43.04803,562.33174,629.45748,Total.SURVEY_LC1_2B5
  0.00000,  0.00000,  0.00000, 93.28718,358.65545,498.19959,Total.SURVEY_LC1_2B7
  0.00000,  0.00000,  0.00000, 34.13062,313.64094,313.92976,Total.SURVEY_LC1_2B8
