HU11.No,HU12.No,HU21.No,HU22.No,HU23.No,HU31.No,HU32.No,HU33.No,HU11.Yes,HU12.Yes,HU21.Yes,HU22.Yes,HU23.Yes,HU31.Yes,HU32.Yes,HU33.Yes,variable
No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,flag_two
   11.97217,  475.12945, 1728.38011,  721.74708,  979.18168, 1018.33544, 2798.65882, 3595.85110,  513.02783, 5915.87055, 9357.61989,10606.25292,13217.81832,12407.66456,14924.34118,14740.14890,Total.area
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,192.6513,443.9008,520.4797,415.5118,418.4055,403.7696,715.2687,608.3646,Total.SURVEY_LC1_1A
  11.97217, 475.12945,1728.38011, 718.65867, 979.18168,1014.47419,2794.41699,3595.85110,  34.48462,1616.15845,2661.89755,4245.54615,4437.72705,3295.31298,6241.86083,5420.09506,Total.SURVEY_LC1_1B
   0.000000,   0.000000,   0.000000,   3.088408,   0.000000,   0.000000,   4.241827,   0.000000, 138.483502,2270.747456,3165.894767,3942.054842,4624.024922,4727.017151,3226.563295,3264.202759,Total.SURVEY_LC1_1C
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  3.861248,  0.000000,  0.000000, 31.804748, 96.734633,172.703855,119.703680,194.329250,579.552086,202.042351,166.817393,Total.SURVEY_LC1_1D
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  87.87139,1152.76489,1759.35658,1485.21435,1579.88843,2560.81276,3631.99695,3881.78427,Total.SURVEY_LC1_1E
   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   8.472196, 135.723456, 546.426450,  39.416988,1400.700195, 569.936267, 432.195916, 958.268993,Total.SURVEY_LC1_1F
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000, 19.2601,142.6249,418.7945,174.5899,463.9436,135.1695,228.6895,230.8188,Total.SURVEY_LC1_1G
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 57.21595,112.06647,184.21528, 98.79938,136.09412,245.72371,209.79700,Total.SURVEY_LC1_1H
   11.97217,  471.21696, 1728.38011,  721.74708,  979.18168, 1014.47419, 2798.65882, 3591.42322,   98.72904, 4481.62793, 7121.06416, 8890.30735,11284.06651, 9993.01870,12625.13121,12582.66971,Total.SURVEY_LU1_1U1
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,18.09894,39.72366,54.55228,37.97334,17.30441,30.45891,26.29064,28.80913,Total.SURVEY_LU1_1U2
   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000, 340.5438, 961.9679,1253.6031,1005.7766,1124.4083,1147.8365,1194.1694,1242.2899,Total.SURVEY_LU1_1U3
   0.000000,   3.912483,   0.000000,   0.000000,   0.000000,   3.861248,   0.000000,   4.427882,  55.656064, 432.551073, 928.400396, 672.195610, 792.039132,1236.350409,1078.749944, 886.380203,Total.SURVEY_LU1_1U4
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 74.96144,203.68795,158.11171,119.59983,124.44401,113.11447,171.71688,231.57103,Total.SURVEY_LC1_2A1
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,112.0314,236.3004,349.7133,266.4159,277.7646,277.0164,485.6071,364.6637,Total.SURVEY_LC1_2A2
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 5.658483, 3.912483,12.654638,29.496011,16.196827,13.638819,57.944706,12.129833,Total.SURVEY_LC1_2A3
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  14.96851, 857.95296,1785.99384,3101.70222,2751.30166,2189.03788,4245.95401,3554.62498,Total.SURVEY_LC1_2B1
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  4.444795,  4.209670, 17.933377,111.154347,  0.000000,Total.SURVEY_LC1_2B2
   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   3.742127, 603.513635, 522.024414, 792.647270,1126.397654, 694.760527,1148.856403,1381.462629,Total.SURVEY_LC1_2B3
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  8.461611, 13.359469,  0.000000, 33.341563,117.523369, 21.032961,Total.SURVEY_LC1_2B4
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 43.04803,114.40245,147.71827,300.21102, 51.98971,357.57571,219.89206,Total.SURVEY_LC1_2B5
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  8.352311, 84.934871,117.939244,118.949838,121.766373,163.930396,231.686433,102.582757,Total.SURVEY_LC1_2B7
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  7.421669, 26.708956,113.075989, 66.724288,133.840669,144.319532, 29.110556,140.499671,Total.SURVEY_LC1_2B8
  11.97217, 475.12945,1728.38011, 718.65867, 979.18168,1014.47419,2794.41699,3595.85110,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,Total.SURVEY_LC1_2Bx
   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000, 134.9998,2038.7674,3017.0824,2795.0319,4266.4237,4698.0970,3129.8635,2808.8044,Total.SURVEY_LC1_2C1
  0.000000,  0.000000,  0.000000,  3.088408,  0.000000,  0.000000,  4.241827,  0.000000,  0.000000,156.235843, 11.979820,433.008973, 41.953461, 21.040135, 67.504920,338.711094,Total.SURVEY_LC1_2C2
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  3.483676, 75.744225,136.832498,714.013971,315.647759,  7.879973, 29.194894,116.687230,Total.SURVEY_LC1_2C3
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 15.54072, 57.56812,123.94496, 63.80382,114.45214,347.18867, 92.73348, 80.20012,Total.SURVEY_LC1_2D1
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 16.26403, 39.16651, 48.75889, 55.89986, 79.87711,232.36342,109.30887, 86.61727,Total.SURVEY_LC1_2D2
0.000000,0.000000,0.000000,0.000000,0.000000,3.861248,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_2Dx
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 23.98264, 88.94607,257.89204,103.86275,195.69213,340.32363,253.59395,292.81075,Total.SURVEY_LC1_2E1
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  59.92607, 743.33159,1096.67673,1145.63204,1019.26733,1817.32362,2921.57346,3085.22959,Total.SURVEY_LC1_2E2
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  3.962686,320.487231,404.787800,235.719562,364.928967,403.165505,456.829540,503.743925,Total.SURVEY_LC1_2E3
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.896254,0.000000,0.000000,3.913089,0.000000,0.000000,8.646157,Total.SURVEY_LC1_2F2
