No,Yes,variable
 1005.857,68941.143,Total.area
   0.000,3258.255,Total.SURVEY_LC1_1A
 691.1206,2913.2263,Total.SURVEY_LC1_1B
 257.5617,8770.7427,Total.SURVEY_LC1_1C
  14.01629,8286.60385,Total.SURVEY_LC1_1D
   43.15799,41648.29396,Total.SURVEY_LC1_1E
  0.00,772.72,Total.SURVEY_LC1_1F
   0.000,1600.654,Total.SURVEY_LC1_1G
   0.000,1690.648,Total.SURVEY_LC1_1H
  968.9665,48164.9793,Total.SURVEY_LU1_1U1
 0.00000,68.08025,Total.SURVEY_LU1_1U2
  11.57123,5299.85583,Total.SURVEY_LU1_1U3
   25.31878,15408.22811,Total.SURVEY_LU1_1U4
  0.0000,797.7357,Total.SURVEY_LC1_2A1
   0.00,2419.87,Total.SURVEY_LC1_2A2
 0.00000,40.64932,Total.SURVEY_LC1_2A3
   0.000,1963.493,Total.SURVEY_LC1_2B1
  0.0000,163.2921,Total.SURVEY_LC1_2B2
  0.0000,127.8518,Total.SURVEY_LC1_2B3
 0.00000,93.99469,Total.SURVEY_LC1_2B4
  0.0000,528.4293,Total.SURVEY_LC1_2B5
 0.00000,16.14118,Total.SURVEY_LC1_2B7
 0.00000,20.02413,Total.SURVEY_LC1_2B8
691.1206,  0.0000,Total.SURVEY_LC1_2Bx
  15.09784,4146.87549,Total.SURVEY_LC1_2C1
 184.2169,4071.0103,Total.SURVEY_LC1_2C2
 46.27256,552.85691,Total.SURVEY_LC1_2C3
11.97437, 0.00000,Total.SURVEY_LC1_2Cx
  3.955119,538.154483,Total.SURVEY_LC1_2D1
  10.06117,7748.44936,Total.SURVEY_LC1_2D2
  0.0000,872.4991,Total.SURVEY_LC1_2E1
   43.15799,40410.61959,Total.SURVEY_LC1_2E2
  0.0000,365.1752,Total.SURVEY_LC1_2E3
  0.000,235.343,Total.SURVEY_LC1_2F1
 0.0000,15.5452,Total.SURVEY_LC1_2F2
  0.0000,521.8319,Total.SURVEY_LC1_2F4
   0.000,1338.729,Total.SURVEY_LC1_2G1
  0.0000,247.8511,Total.SURVEY_LC1_2G2
0.00000,8.06859,Total.SURVEY_LC1_2G3
0.000000,6.005867,Total.SURVEY_LC1_2G4
   0.000,1639.842,Total.SURVEY_LC1_2H1
 0.00000,50.80537,Total.SURVEY_LC1_2H2
  734.2786,41822.7222,Total.SURVEY_LU1_2U11
 234.688,5915.280,Total.SURVEY_LU1_2U12
0.000000,7.169051,Total.SURVEY_LU1_2U13
  0.0000,411.2587,Total.SURVEY_LU1_2U14
0.000000,8.549335,Total.SURVEY_LU1_2U15
 0.00000,16.78188,Total.SURVEY_LU1_2U21
 0.00000,51.29837,Total.SURVEY_LU1_2U22
   0.000,1585.121,Total.SURVEY_LU1_2U31
 0.00000,60.32357,Total.SURVEY_LU1_2U32
  0.0000,107.0236,Total.SURVEY_LU1_2U33
  0.000,143.222,Total.SURVEY_LU1_2U34
 0.00000,86.51513,Total.SURVEY_LU1_2U35
  11.57123,1419.39766,Total.SURVEY_LU1_2U36
   0.000,1898.253,Total.SURVEY_LU1_2U37
   0.000,1902.206,Total.SURVEY_LU1_2U41
   25.31878,13506.02195,Total.SURVEY_LU1_2U42
  0.0000,788.5205,Total.SURVEY_LC1_3A11
0.000000,4.621425,Total.SURVEY_LC1_3A12
0.000000,4.593787,Total.SURVEY_LC1_3A13
  0.000,814.984,Total.SURVEY_LC1_3A21
   0.000,1604.886,Total.SURVEY_LC1_3A22
 0.00000,40.64932,Total.SURVEY_LC1_3A30
  0.0000,432.1389,Total.SURVEY_LC1_3B11
 0.00000,21.44932,Total.SURVEY_LC1_3B12
   0.000,1214.282,Total.SURVEY_LC1_3B13
0.000000,8.410043,Total.SURVEY_LC1_3B14
  0.0000,175.1643,Total.SURVEY_LC1_3B15
  0.0000,112.0485,Total.SURVEY_LC1_3B16
 0.00000,64.64577,Total.SURVEY_LC1_3B21
 0.00000,13.95195,Total.SURVEY_LC1_3B22
 0.00000,84.69441,Total.SURVEY_LC1_3B23
  0.0000,120.1605,Total.SURVEY_LC1_3B32
0.000000,7.691345,Total.SURVEY_LC1_3B37
 0.00000,76.17488,Total.SURVEY_LC1_3B41
 0.00000,17.81981,Total.SURVEY_LC1_3B43
0.000000,8.906434,Total.SURVEY_LC1_3B51
0.000000,4.543428,Total.SURVEY_LC1_3B52
0.000000,9.097715,Total.SURVEY_LC1_3B53
0.000000,4.250623,Total.SURVEY_LC1_3B54
  0.0000,501.6311,Total.SURVEY_LC1_3B55
 0.00000,16.14118,Total.SURVEY_LC1_3B71
0.00000,3.80138,Total.SURVEY_LC1_3B83
 0.00000,16.22275,Total.SURVEY_LC1_3B84
686.4192,  0.0000,Total.SURVEY_LC1_3Bx1
4.701413,0.000000,Total.SURVEY_LC1_3Bxx
   0.000,4146.875,Total.SURVEY_LC1_3C10
15.09784, 0.00000,Total.SURVEY_LC1_3C1x
   0.000,3775.625,Total.SURVEY_LC1_3C21
