IE04.No,IE05.No,IE06.No,IE04.Yes,IE05.Yes,IE06.Yes,variable
No,No,No,Yes,Yes,Yes,flag_two
   42.62373,  418.13911,  545.09371,25753.37627,29266.86089,13920.90629,Total.area
   0.0000,   0.0000,   0.0000, 699.3407,1537.4365,1021.4776,Total.SURVEY_LC1_1A
  16.71552, 265.92663, 408.47842,  67.70665,1660.61957,1184.90009,Total.SURVEY_LC1_1B
   4.096601, 152.212486, 101.252618,3133.614132,3998.547572,1638.581047,Total.SURVEY_LC1_1C
  10.061173,   0.000000,   3.955119,4483.909518,2995.991666, 806.702664,Total.SURVEY_LC1_1D
   11.75044,    0.00000,   31.40755,15163.30721,18074.33409, 8410.65267,Total.SURVEY_LC1_1E
  0.0000,  0.0000,  0.0000,106.1880,508.3663,158.1657,Total.SURVEY_LC1_1F
   0.0000,   0.0000,   0.0000,1038.5733, 289.5767, 272.5040,Total.SURVEY_LC1_1G
   0.0000,   0.0000,   0.0000,1060.7368, 201.9884, 427.9225,Total.SURVEY_LC1_1H
   32.56255,  418.13911,  518.26488,16132.34618,21667.28256,10365.35052,Total.SURVEY_LU1_1U1
 0.00000, 0.00000, 0.00000,11.15916,20.40712,36.51398,Total.SURVEY_LU1_1U2
   0.00000,   0.00000,  11.57123,1561.85607,2075.67853,1662.32122,Total.SURVEY_LU1_1U3
  10.06117,   0.00000,  15.25761,8048.01486,5503.49268,1856.72057,Total.SURVEY_LU1_1U4
  0.0000,  0.0000,  0.0000,133.3537,366.1559,298.2261,Total.SURVEY_LC1_2A1
   0.0000,   0.0000,   0.0000, 551.5749,1153.5145, 714.7803,Total.SURVEY_LC1_2A2
 0.000000, 0.000000, 0.000000,14.412049,17.766014, 8.471256,Total.SURVEY_LC1_2A3
   0.00000,   0.00000,   0.00000,  39.72622,1094.01986, 829.74698,Total.SURVEY_LC1_2B1
 0.000000, 0.000000, 0.000000, 8.154384,82.475097,72.662653,Total.SURVEY_LC1_2B2
 0.00000, 0.00000, 0.00000, 0.00000,66.32106,61.53077,Total.SURVEY_LC1_2B3
 0.00000, 0.00000, 0.00000, 0.00000,40.26723,53.72746,Total.SURVEY_LC1_2B4
  0.00000,  0.00000,  0.00000, 16.02466,357.74391,154.66071,Total.SURVEY_LC1_2B5
 0.00000, 0.00000, 0.00000, 0.00000,12.05032, 4.09086,Total.SURVEY_LC1_2B7
0.000000,0.000000,0.000000,3.801380,7.742090,8.480664,Total.SURVEY_LC1_2B8
 16.71552,265.92663,408.47842,  0.00000,  0.00000,  0.00000,Total.SURVEY_LC1_2Bx
   0.00000,   0.00000,  15.09784,1386.85100,1897.73060, 862.29389,Total.SURVEY_LC1_2C1
   0.00000, 114.25312,  69.96381,1630.59860,1791.70345, 648.70829,Total.SURVEY_LC1_2C2
  0.00000, 34.03671, 12.23585,116.16453,309.11353,127.57886,Total.SURVEY_LC1_2C3
4.096601,3.922651,3.955119,0.000000,0.000000,0.000000,Total.SURVEY_LC1_2Cx
  0.000000,  0.000000,  3.955119,291.821265,155.393232, 90.939986,Total.SURVEY_LC1_2D1
  10.06117,   0.00000,   0.00000,4192.08825,2840.59843, 715.76268,Total.SURVEY_LC1_2D2
  0.0000,  0.0000,  0.0000,244.8887,427.1257,200.4847,Total.SURVEY_LC1_2E1
   11.75044,    0.00000,   31.40755,14863.22226,17522.18587, 8025.21146,Total.SURVEY_LC1_2E2
  0.00000,  0.00000,  0.00000, 55.19627,125.02248,184.95648,Total.SURVEY_LC1_2E3
  0.00000,  0.00000,  0.00000, 60.67555,158.55221, 16.11524,Total.SURVEY_LC1_2F1
0.000000,0.000000,0.000000,3.719483,4.083126,7.742593,Total.SURVEY_LC1_2F2
  0.00000,  0.00000,  0.00000, 41.79297,345.73099,134.30789,Total.SURVEY_LC1_2F4
  0.0000,  0.0000,  0.0000,929.3047,212.0859,197.3380,Total.SURVEY_LC1_2G1
  0.00000,  0.00000,  0.00000,105.22779, 67.45727, 75.16603,Total.SURVEY_LC1_2G2
0.000000,0.000000,0.000000,4.040862,4.027728,0.000000,Total.SURVEY_LC1_2G3
0.000000,0.000000,0.000000,0.000000,6.005867,0.000000,Total.SURVEY_LC1_2G4
   0.0000,   0.0000,   0.0000,1041.7589, 174.2188, 423.8646,Total.SURVEY_LC1_2H1
 0.000000, 0.000000, 0.000000,18.977890,27.769602, 4.057874,Total.SURVEY_LC1_2H2
   28.46595,  265.92663,  439.88598,13627.45175,19095.31442, 9099.95602,Total.SURVEY_LU1_2U11
   4.096601, 152.212486,  78.378903,2276.757947,2503.696423,1134.825581,Total.SURVEY_LU1_2U12
0.000000,0.000000,0.000000,7.169051,0.000000,0.000000,Total.SURVEY_LU1_2U13
  0.00000,  0.00000,  0.00000,220.96743, 64.26875,126.02255,Total.SURVEY_LU1_2U14
0.000000,0.000000,0.000000,0.000000,4.002968,4.546367,Total.SURVEY_LU1_2U15
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,16.78188,Total.SURVEY_LU1_2U21
 0.00000, 0.00000, 0.00000,11.15916,20.40712,19.73209,Total.SURVEY_LU1_2U22
  0.0000,  0.0000,  0.0000,395.4751,748.5564,441.0895,Total.SURVEY_LU1_2U31
