No,Yes,variable
 10636.26,291436.74,Total.area
  109.4985,19710.9015,Total.SURVEY_LC1_1A
 9978.409,75331.324,Total.SURVEY_LC1_1B
   450.6936,107523.1867,Total.SURVEY_LC1_1C
   18.15891,18764.51570,Total.SURVEY_LC1_1D
   70.26282,50705.22378,Total.SURVEY_LC1_1E
    5.174404,14155.943712,Total.SURVEY_LC1_1F
   4.063797,4749.736283,Total.SURVEY_LC1_1G
  0.0000,495.9068,Total.SURVEY_LC1_1H
 10307.94,179495.00,Total.SURVEY_LU1_1U1
  15.88052,1355.81529,Total.SURVEY_LU1_1U2
  126.881,26780.726,Total.SURVEY_LU1_1U3
  185.5596,83805.1993,Total.SURVEY_LU1_1U4
  51.21048,6818.18011,Total.SURVEY_LC1_2A1
   54.13901,12316.09538,Total.SURVEY_LC1_2A2
  4.148976,576.625989,Total.SURVEY_LC1_2A3
    0.00,27059.19,Total.SURVEY_LC1_2B1
  0.0000,773.4212,Total.SURVEY_LC1_2B2
   0.000,3768.785,Total.SURVEY_LC1_2B3
   0.000,2212.502,Total.SURVEY_LC1_2B4
    0.00,12437.36,Total.SURVEY_LC1_2B5
   0.000,5805.116,Total.SURVEY_LC1_2B7
    0.00,23274.95,Total.SURVEY_LC1_2B8
9978.409,   0.000,Total.SURVEY_LC1_2Bx
   75.87076,83130.58557,Total.SURVEY_LC1_2C1
  159.5081,14683.4202,Total.SURVEY_LC1_2C2
 167.2954,9709.1809,Total.SURVEY_LC1_2C3
48.01943, 0.00000,Total.SURVEY_LC1_2Cx
   3.984187,7873.958437,Total.SURVEY_LC1_2D1
    4.257515,10890.557266,Total.SURVEY_LC1_2D2
9.917211,0.000000,Total.SURVEY_LC1_2Dx
  25.94872,9325.21422,Total.SURVEY_LC1_2E1
   12.1088,31660.7119,Total.SURVEY_LC1_2E2
   4.21245,9719.29770,Total.SURVEY_LC1_2E3
27.99285, 0.00000,Total.SURVEY_LC1_2Ex
   0.000,6322.822,Total.SURVEY_LC1_2F1
  0.0000,200.7698,Total.SURVEY_LC1_2F2
 0.00000,12.56757,Total.SURVEY_LC1_2F3
   5.174404,7619.784252,Total.SURVEY_LC1_2F4
   0.000,2317.781,Total.SURVEY_LC1_2G1
