ITC.No,ITF.No,ITG.No,ITH.No,ITI.No,ITC.Yes,ITF.Yes,ITG.Yes,ITH.Yes,ITI.Yes,variable
No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,flag_two
 1010.700, 3247.853, 1780.470,  989.660, 3607.579,56917.300,70552.147,48158.530,61392.340,54416.421,Total.area
  51.049892,  38.299538,  12.824778,   7.324258,   0.000000,4257.520682,4617.452974,2706.668152,4543.280520,3585.979145,Total.SURVEY_LC1_1A
  833.8232, 3138.1770, 1722.8157,  727.5365, 3556.0568,12781.2838,21423.4705,10147.3537,18363.2077,12616.0085,Total.SURVEY_LC1_1B
  121.77622,   43.45972,   16.70066,  229.22111,   39.53591,21918.32867,23728.03582,12938.41981,22564.98357,26373.41881,Total.SURVEY_LC1_1C
   0.000000,   0.000000,  14.174726,   3.984187,   0.000000,2160.133985,5024.610269,7632.315357,2021.855997,1925.600095,Total.SURVEY_LC1_1D
    4.050841,   27.916578,   13.953657,   12.355726,   11.986015, 9862.094528,11392.631715,11788.534806, 9819.913939, 7842.048794,Total.SURVEY_LC1_1E
   0.000000,   0.000000,   0.000000,   5.174404,   0.000000,4192.617406,3686.987135,2352.769416,2613.733946,1309.835810,Total.SURVEY_LC1_1F
   0.000000,   0.000000,   0.000000,   4.063797,   0.000000,1713.443069, 521.213467, 469.581432,1367.722613, 677.775701,Total.SURVEY_LC1_1G
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 31.87772,157.74532,122.88778, 97.64167, 85.75435,Total.SURVEY_LC1_1H
  907.5316, 3168.6867, 1735.5809,  917.4438, 3578.6970,30057.8741,44990.7026,27172.9082,38957.9721,38315.5405,Total.SURVEY_LU1_1U1
  0.00000, 15.88052,  0.00000,  0.00000,  0.00000,456.38637,237.17486,159.71741,283.43470,219.10195,Total.SURVEY_LU1_1U2
  49.83655,  25.80430,  17.83678,  12.49866,  20.90472,6471.13473,5176.51084,3032.82101,6847.68701,5252.57287,Total.SURVEY_LU1_1U3
   53.331953,   37.481321,   27.051854,   59.717501,    7.977017,19931.904616,20147.758819,17793.083764,15303.246232,10629.205858,Total.SURVEY_LU1_1U4
