ITC1.No,ITC3.No,ITC4.No,ITF1.No,ITF2.No,ITF3.No,ITF4.No,ITF5.No,ITF6.No,ITG1.No,ITG2.No,ITH1.No,ITH2.No,ITH3.No,ITH4.No,ITH5.No,ITI1.No,ITI2.No,ITI3.No,ITI4.No,ITC1.Yes,ITC2.Yes,ITC3.Yes,ITC4.Yes,ITF1.Yes,ITF2.Yes,ITF3.Yes,ITF4.Yes,ITF5.Yes,ITF6.Yes,ITG1.Yes,ITG2.Yes,ITH1.Yes,ITH2.Yes,ITH3.Yes,ITH4.Yes,ITH5.Yes,ITI1.Yes,ITI2.Yes,ITI3.Yes,ITI4.Yes,variable
No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,flag_two
  324.70271,   48.11968,  637.87776,  320.67725,   35.12395,  651.69015, 1323.24191,  211.86886,  705.25072, 1494.83683,  285.63273,   90.51031,   98.68963,  325.02059,   36.61899,  438.82048, 1450.28599,  100.19275,  566.91221, 1490.18783,25062.29729, 3261.00000, 5367.88032,23226.12224,10512.32275, 4425.87605,13018.30985,18217.75809, 9861.13114,14516.74928,24338.16317,23820.36727, 7307.48969, 6108.31037,18081.97941, 7825.38101,22069.17952,21537.71401, 8363.80725, 8773.08779,15741.81217,Total.area
  44.106047,   0.000000,   6.943845,   0.000000,   0.000000,   4.225827,  34.073711,   0.000000,   0.000000,  12.824778,   0.000000,   0.000000,   0.000000,   7.324258,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,1484.877296,  71.078983, 375.736943,2325.827460, 554.811866, 143.612781,1548.738349,1295.919979, 373.652742, 700.717259,1700.157775,1006.510377, 163.223522, 156.854982,1972.450990, 516.027180,1734.723847,1289.316504, 431.805986, 568.037432,1296.819224,Total.SURVEY_LC1_1A
 252.619948,  48.119680, 533.083566, 320.677253,  35.123949, 639.585471,1265.333431, 192.199265, 685.257628,1450.870814, 271.944929,  17.411811,   7.902217, 285.779863,  28.449660, 387.992971,1431.403717,  96.230431, 562.903209,1465.519491,6039.983026,   3.748363, 244.488855,6493.063552,1969.174790,1362.700539,3810.217566,9543.366879,1757.603948,2980.406739,7055.610406,3091.743280, 297.261341, 284.245570,6752.082720,1906.899295,9122.718815,4060.614195,2167.240539,2901.182205,3486.971580,Total.SURVEY_LC1_1B
   27.976711,    0.000000,   93.799504,    0.000000,    0.000000,    7.878850,   19.738321,    0.000000,   15.842553,    7.307151,    9.393509,   68.973265,   90.787414,   27.704023,    8.169334,   33.587071,   18.882271,    3.962314,    0.000000,   16.691324, 9883.054987, 1072.681574, 4022.403479, 6940.188633, 4521.594593, 1660.229610, 5132.557192, 1911.036090, 3503.723761, 6998.894570, 4075.517134, 8862.902677, 3290.572083, 3703.866839, 4959.327440, 3651.394397, 6959.822814,12029.289045, 4037.279316, 3473.856285, 6832.994167,Total.SURVEY_LC1_1C
   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,  14.174726,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   3.984187,   0.000000,   0.000000,   0.000000,   0.000000,1078.115620, 176.189762, 315.819702, 590.008901, 821.969709, 193.944509, 829.120521, 581.003439,1089.474556,1509.097535,2506.985434,5125.329923, 477.506176, 307.163355, 431.280325, 291.574878, 514.331262, 779.299763, 206.656204, 248.887548, 690.756580,Total.SURVEY_LC1_1D
   0.000000,   0.000000,   4.050841,   0.000000,   0.000000,   0.000000,   4.096444,  19.669599,   4.150536,   9.659360,   4.294297,   4.125230,   0.000000,   4.212450,   0.000000,   4.018047,   0.000000,   0.000000,   4.008998,   7.977017,4550.892334, 893.001584, 324.274328,4093.926281,2282.659792, 866.410317,1441.630738,2928.720847,2039.022335,1834.187687,6818.267874,4970.266932,2070.329448, 917.298942,2839.338676,1084.209605,2908.737268,2655.781314,1151.457576,1188.409425,2846.400479,Total.SURVEY_LC1_1E
   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   5.174404,   0.000000,   0.000000,   0.000000,   0.000000,1560.355756, 875.338834,  37.108793,1719.814023, 287.729223, 157.684403, 144.284364,1785.771812,1024.498575, 287.018758,1833.117648, 519.651768, 883.999229, 635.106564, 528.012322, 191.841585, 374.774245, 500.253580, 177.506507, 352.484978, 279.590745,Total.SURVEY_LC1_1F
   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   4.063797,   0.000000,   0.000000,   0.000000,   0.000000, 460.933068, 164.906196,  48.048220,1039.555585,  70.076116,  37.121410,  93.714934,  82.446389,  65.038354, 172.816265, 289.976218, 179.605214, 120.681148, 103.774118, 570.399333, 171.312466, 401.555548, 183.124121, 191.861126,  36.146959, 266.643495,Total.SURVEY_LC1_1G
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 4.085207, 4.054704, 0.000000,23.737810, 4.306659, 4.172482,18.046188,89.492659, 8.116866,33.610470,58.530683,64.357095, 3.916747, 0.000000,29.087598,12.121600,52.515724,40.035490, 0.000000, 4.082963,41.635898,Total.SURVEY_LC1_1H
