LT0.No,LT0.Yes,variable
No,Yes,flag_two
 4291.173,60992.827,Total.area
   0.000,1415.613,Total.SURVEY_LC1_1A
 4039.621,17141.543,Total.SURVEY_LC1_1B
  247.652,24377.536,Total.SURVEY_LC1_1C
  0.0000,344.0837,Total.SURVEY_LC1_1D
    3.900432,13560.048536,Total.SURVEY_LC1_1E
   0.000,1736.744,Total.SURVEY_LC1_1F
   0.000,1663.055,Total.SURVEY_LC1_1G
  0.0000,754.2028,Total.SURVEY_LC1_1H
 4287.201,52392.219,Total.SURVEY_LU1_1U1
  0.0000,126.0493,Total.SURVEY_LU1_1U2
   0.00,4251.25,Total.SURVEY_LU1_1U3
   3.972311,4223.307607,Total.SURVEY_LU1_1U4
  0.0000,321.9272,Total.SURVEY_LC1_2A1
   0.000,1042.047,Total.SURVEY_LC1_2A2
 0.00000,51.63939,Total.SURVEY_LC1_2A3
    0.00,11285.24,Total.SURVEY_LC1_2B1
  0.0000,275.8634,Total.SURVEY_LC1_2B2
   0.000,3352.147,Total.SURVEY_LC1_2B3
  0.0000,946.4534,Total.SURVEY_LC1_2B4
  0.000,894.326,Total.SURVEY_LC1_2B5
  0.0000,354.3763,Total.SURVEY_LC1_2B7
 0.00000,33.13366,Total.SURVEY_LC1_2B8
4039.621,   0.000,Total.SURVEY_LC1_2Bx
   0.00,8217.07,Total.SURVEY_LC1_2C1
  33.68945,5698.72150,Total.SURVEY_LC1_2C2
  209.0346,10461.7452,Total.SURVEY_LC1_2C3
4.927878,0.000000,Total.SURVEY_LC1_2Cx
  0.0000,202.3851,Total.SURVEY_LC1_2D1
  0.0000,141.6986,Total.SURVEY_LC1_2D2
  0.0000,958.3806,Total.SURVEY_LC1_2E1
    3.900432,10153.985368,Total.SURVEY_LC1_2E2
   0.000,2447.683,Total.SURVEY_LC1_2E3
 0.00000,30.27652,Total.SURVEY_LC1_2F2
   0.000,1706.467,Total.SURVEY_LC1_2F4
   0.000,1353.154,Total.SURVEY_LC1_2G1
  0.0000,309.9016,Total.SURVEY_LC1_2G2
  0.00,726.74,Total.SURVEY_LC1_2H1
 0.00000,27.46277,Total.SURVEY_LC1_2H2
 4043.521,28990.440,Total.SURVEY_LU1_2U11
  243.6797,22738.5989,Total.SURVEY_LU1_2U12
  0.0000,476.0435,Total.SURVEY_LU1_2U13
  0.0000,180.2653,Total.SURVEY_LU1_2U14
0.000000,6.871875,Total.SURVEY_LU1_2U15
 0.00000,72.47216,Total.SURVEY_LU1_2U21
 0.00000,53.57714,Total.SURVEY_LU1_2U22
   0.000,1199.379,Total.SURVEY_LU1_2U31
 0.00000,62.39901,Total.SURVEY_LU1_2U32
 0.0000,53.1806,Total.SURVEY_LU1_2U33
 0.0000,75.2402,Total.SURVEY_LU1_2U34
 0.00000,74.03537,Total.SURVEY_LU1_2U35
