LT01.No,LT02.No,LT01.Yes,LT02.Yes,variable
No,No,Yes,Yes,flag_two
  600.0379, 3691.1354, 9129.9621,51862.8646,Total.area
   0.0000,   0.0000, 256.0335,1159.5797,Total.SURVEY_LC1_1A
  580.3522, 3459.2687, 1374.3472,15767.1954,Total.SURVEY_LC1_1B
   15.78522,  231.86675, 4832.67206,19544.86437,Total.SURVEY_LC1_1C
  0.00000,  0.00000, 96.19158,247.89216,Total.SURVEY_LC1_1D
    3.900432,    0.000000, 1828.017803,11732.030733,Total.SURVEY_LC1_1E
   0.0000,   0.0000, 421.0221,1315.7217,Total.SURVEY_LC1_1F
   0.0000,   0.0000, 243.7417,1419.3137,Total.SURVEY_LC1_1G
  0.00000,  0.00000, 77.93609,676.26672,Total.SURVEY_LC1_1H
  596.0656, 3691.1354, 7649.9936,44742.2258,Total.SURVEY_LU1_1U1
  0.00000,  0.00000, 14.93922,111.11008,Total.SURVEY_LU1_1U2
   0.0000,   0.0000, 789.1296,3462.1209,Total.SURVEY_LU1_1U3
   3.972311,   0.000000, 675.899738,3547.407869,Total.SURVEY_LU1_1U4
  0.00000,  0.00000, 73.06253,248.86471,Total.SURVEY_LC1_2A1
  0.0000,  0.0000,182.9710,859.0756,Total.SURVEY_LC1_2A2
 0.00000, 0.00000, 0.00000,51.63939,Total.SURVEY_LC1_2A3
    0.0000,    0.0000,  930.1134,10355.1292,Total.SURVEY_LC1_2B1
  0.00000,  0.00000, 24.61236,251.25101,Total.SURVEY_LC1_2B2
   0.0000,   0.0000, 194.1177,3158.0296,Total.SURVEY_LC1_2B3
  0.00000,  0.00000, 83.76475,862.68864,Total.SURVEY_LC1_2B4
  0.00000,  0.00000, 76.30946,818.01653,Total.SURVEY_LC1_2B5
  0.00000,  0.00000, 65.42961,288.94672,Total.SURVEY_LC1_2B7
 0.00000, 0.00000, 0.00000,33.13366,Total.SURVEY_LC1_2B8
 580.3522,3459.2687,   0.0000,   0.0000,Total.SURVEY_LC1_2Bx
   0.000,   0.000,1115.266,7101.804,Total.SURVEY_LC1_2C1
   5.856529,  27.832926,1712.335586,3986.385914,Total.SURVEY_LC1_2C2
   9.928694, 199.105942,2005.070388,8456.674843,Total.SURVEY_LC1_2C3
0.000000,4.927878,0.000000,0.000000,Total.SURVEY_LC1_2Cx
  0.0000,  0.0000, 59.2907,143.0944,Total.SURVEY_LC1_2D1
  0.00000,  0.00000, 36.90087,104.79775,Total.SURVEY_LC1_2D2
  0.0000,  0.0000,256.3999,701.9807,Total.SURVEY_LC1_2E1
   3.900432,   0.000000,1198.217027,8955.768340,Total.SURVEY_LC1_2E2
   0.0000,   0.0000, 373.4009,2074.2817,Total.SURVEY_LC1_2E3
 0.00000, 0.00000, 0.00000,30.27652,Total.SURVEY_LC1_2F2
   0.0000,   0.0000, 421.0221,1285.4452,Total.SURVEY_LC1_2F4
   0.0000,   0.0000, 222.7962,1130.3576,Total.SURVEY_LC1_2G1
  0.00000,  0.00000, 20.94548,288.95617,Total.SURVEY_LC1_2G2
  0.00000,  0.00000, 77.93609,648.80395,Total.SURVEY_LC1_2H1
 0.00000, 0.00000, 0.00000,27.46277,Total.SURVEY_LC1_2H2
  584.2527, 3459.2687, 2962.8268,26027.6130,Total.SURVEY_LU1_2U11
   11.81291,  231.86675, 4576.20689,18162.39198,Total.SURVEY_LU1_2U12
  0.00000,  0.00000, 64.88948,411.15404,Total.SURVEY_LU1_2U13
  0.00000,  0.00000, 43.03713,137.22816,Total.SURVEY_LU1_2U14
0.000000,0.000000,3.033267,3.838608,Total.SURVEY_LU1_2U15
 0.00000, 0.00000,14.93922,57.53294,Total.SURVEY_LU1_2U21
 0.00000, 0.00000, 0.00000,53.57714,Total.SURVEY_LU1_2U22
  0.0000,  0.0000,199.4551,999.9237,Total.SURVEY_LU1_2U31
 0.000000, 0.000000, 4.684016,57.714997,Total.SURVEY_LU1_2U32
 0.00000, 0.00000,14.01667,39.16393,Total.SURVEY_LU1_2U33
 0.00000, 0.00000,17.64256,57.59764,Total.SURVEY_LU1_2U34
 0.00000, 0.00000,48.93203,25.10334,Total.SURVEY_LU1_2U35
  0.0000,  0.0000,212.1536,989.0332,Total.SURVEY_LU1_2U36
   0.0000,   0.0000, 292.2455,1293.5841,Total.SURVEY_LU1_2U37
  0.00000,  0.00000, 91.22756,238.18138,Total.SURVEY_LU1_2U41
   3.972311,   0.000000, 584.672181,3309.226489,Total.SURVEY_LU1_2U42
  0.00000,  0.00000, 50.07369,172.43230,Total.SURVEY_LC1_3A11
 0.00000, 0.00000,22.98884,71.38775,Total.SURVEY_LC1_3A12
0.000000,0.000000,0.000000,5.044658,Total.SURVEY_LC1_3A13
  0.00000,  0.00000, 87.13642,198.33947,Total.SURVEY_LC1_3A21
  0.00000,  0.00000, 95.83455,660.73613,Total.SURVEY_LC1_3A22
 0.00000, 0.00000, 0.00000,51.63939,Total.SURVEY_LC1_3A30
   0.0000,   0.0000, 525.3751,6938.9210,Total.SURVEY_LC1_3B11
  0.0000,  0.0000,  0.0000,110.1709,Total.SURVEY_LC1_3B12
   0.00000,   0.00000,  66.51513,1509.80738,Total.SURVEY_LC1_3B13
  0.00000,  0.00000, 47.26013,403.78722,Total.SURVEY_LC1_3B14
  0.0000,  0.0000,136.1612,625.4747,Total.SURVEY_LC1_3B15
  0.00000,  0.00000, 18.84645,397.93522,Total.SURVEY_LC1_3B16
  0.00000,  0.00000, 21.15214,129.43677,Total.SURVEY_LC1_3B18
  0.0000,  0.0000,114.8033,239.5961,Total.SURVEY_LC1_3B19
 0.00000, 0.00000,24.61236,96.25863,Total.SURVEY_LC1_3B21
  0.0000,  0.0000,  0.0000,125.5235,Total.SURVEY_LC1_3B22
 0.00000, 0.00000, 0.00000,29.46889,Total.SURVEY_LC1_3B23
   0.0000,   0.0000, 182.0452,3131.9439,Total.SURVEY_LC1_3B32
0.000000,0.000000,3.793121,0.000000,Total.SURVEY_LC1_3B33
 0.000000, 0.000000, 8.279317,20.027851,Total.SURVEY_LC1_3B35
0.000000,0.000000,0.000000,6.057888,Total.SURVEY_LC1_3B37
  0.00000,  0.00000, 79.52793,840.66485,Total.SURVEY_LC1_3B41
 0.00000, 0.00000, 0.00000,17.44666,Total.SURVEY_LC1_3B43
0.000000,0.000000,4.236821,4.577128,Total.SURVEY_LC1_3B44
  0.00000,  0.00000, 21.17057,283.28212,Total.SURVEY_LC1_3B51
 0.000000, 0.000000, 8.585555,70.155331,Total.SURVEY_LC1_3B52
 0.000000, 0.000000, 4.290942,50.767692,Total.SURVEY_LC1_3B53
 0.00000, 0.00000, 0.00000,32.96728,Total.SURVEY_LC1_3B54
  0.0000,  0.0000, 42.2624,380.8441,Total.SURVEY_LC1_3B55
  0.00000,  0.00000, 37.66222,165.43089,Total.SURVEY_LC1_3B71
 0.00000, 0.00000, 3.41638,32.45825,Total.SURVEY_LC1_3B72
 0.00000, 0.00000, 0.00000,14.08213,Total.SURVEY_LC1_3B73
 0.00000, 0.00000, 3.93174,10.04008,Total.SURVEY_LC1_3B74
 0.00000, 0.00000,20.41927,66.93536,Total.SURVEY_LC1_3B75
 0.0000, 0.0000, 0.0000,15.8123,Total.SURVEY_LC1_3B83
 0.00000, 0.00000, 0.00000,17.32136,Total.SURVEY_LC1_3B84
 571.5286,3431.2856,   0.0000,   0.0000,Total.SURVEY_LC1_3Bx1
 8.823674,27.983082, 0.000000, 0.000000,Total.SURVEY_LC1_3Bx2
   0.000,   0.000,1115.266,7101.804,Total.SURVEY_LC1_3C10
   0.0000,   0.0000,  81.4193,1939.4472,Total.SURVEY_LC1_3C21
   0.000,   0.000,1626.232,1744.628,Total.SURVEY_LC1_3C22
  0.000000,  0.000000,  4.684016,302.310842,Total.SURVEY_LC1_3C23
 5.856529,27.832926, 0.000000, 0.000000,Total.SURVEY_LC1_3C2x
   0.000,   0.000,1077.078,5078.806,Total.SURVEY_LC1_3C31
   0.0000,   0.0000, 586.2953,1498.6055,Total.SURVEY_LC1_3C32
   0.0000,   0.0000, 341.6967,1879.2638,Total.SURVEY_LC1_3C33
  9.928694,199.105942,  0.000000,  0.000000,Total.SURVEY_LC1_3C3x
0.000000,4.927878,0.000000,0.000000,Total.SURVEY_LC1_3Cxx
  0.0000,  0.0000, 59.2907,143.0944,Total.SURVEY_LC1_3D10
  0.00000,  0.00000, 36.90087,104.79775,Total.SURVEY_LC1_3D20
  0.0000,  0.0000,256.3999,701.9807,Total.SURVEY_LC1_3E10
   0.000,   0.000,1198.217,8955.768,Total.SURVEY_LC1_3E20
3.900432,0.000000,0.000000,0.000000,Total.SURVEY_LC1_3E2x
   0.0000,   0.0000, 373.4009,2074.2817,Total.SURVEY_LC1_3E30
 0.00000, 0.00000, 0.00000,30.27652,Total.SURVEY_LC1_3F20
   0.0000,   0.0000, 421.0221,1285.4452,Total.SURVEY_LC1_3F40
   0.0000,   0.0000, 222.7962,1126.1708,Total.SURVEY_LC1_3G11
0.000000,0.000000,0.000000,4.186763,Total.SURVEY_LC1_3G12
  0.00000,  0.00000, 20.94548,288.95617,Total.SURVEY_LC1_3G21
  0.00000,  0.00000, 63.88404,369.16432,Total.SURVEY_LC1_3H11
  0.00000,  0.00000, 14.05205,279.63963,Total.SURVEY_LC1_3H12
 0.00000, 0.00000, 0.00000,27.46277,Total.SURVEY_LC1_3H21
  584.2527, 3433.0336, 2800.3049,25173.1585,Total.SURVEY_LU1_3U111
  0.00000,  0.00000, 97.68621,611.63162,Total.SURVEY_LU1_3U112
  0.00000, 26.23512, 64.83570,242.82289,Total.SURVEY_LU1_3U113
   11.81291,  231.86675, 4576.20689,18162.39198,Total.SURVEY_LU1_3U120
  0.00000,  0.00000, 64.88948,411.15404,Total.SURVEY_LU1_3U130
  0.00000,  0.00000, 43.03713,137.22816,Total.SURVEY_LU1_3U140
0.000000,0.000000,3.033267,3.838608,Total.SURVEY_LU1_3U150
 0.00000, 0.00000,14.93922,57.53294,Total.SURVEY_LU1_3U210
0.000000,0.000000,0.000000,4.470281,Total.SURVEY_LU1_3U221
 0.00000, 0.00000, 0.00000,16.67972,Total.SURVEY_LU1_3U223
 0.00000, 0.00000, 0.00000,12.10259,Total.SURVEY_LU1_3U224
0.000000,0.000000,0.000000,8.221959,Total.SURVEY_LU1_3U225
 0.00000, 0.00000, 0.00000,12.10259,Total.SURVEY_LU1_3U227
 0.00000, 0.00000,21.44043,35.39417,Total.SURVEY_LU1_3U311
  0.0000,  0.0000,149.0724,850.9059,Total.SURVEY_LU1_3U312
 0.000000, 0.000000, 4.171346,33.763096,Total.SURVEY_LU1_3U313
0.000000,0.000000,4.578452,7.376592,Total.SURVEY_LU1_3U314
0.000000,0.000000,0.000000,5.044658,Total.SURVEY_LU1_3U315
 0.000000, 0.000000, 7.717283,19.505046,Total.SURVEY_LU1_3U317
0.000000,0.000000,4.028266,8.221959,Total.SURVEY_LU1_3U318
 0.000000, 0.000000, 8.446932,39.712219,Total.SURVEY_LU1_3U319
 0.000000, 0.000000, 4.684016,48.817078,Total.SURVEY_LU1_3U321
0.000000,0.000000,0.000000,8.897919,Total.SURVEY_LU1_3U322
 0.00000, 0.00000,14.01667,39.16393,Total.SURVEY_LU1_3U330
 0.00000, 0.00000,17.64256,57.59764,Total.SURVEY_LU1_3U341
 0.00000, 0.00000,48.93203,25.10334,Total.SURVEY_LU1_3U350
  0.0000,  0.0000,196.1756,949.0129,Total.SURVEY_LU1_3U361
 0.00000, 0.00000,15.97802,40.02026,Total.SURVEY_LU1_3U362
   0.0000,   0.0000, 292.2455,1293.5841,Total.SURVEY_LU1_3U370
 0.000000, 0.000000, 8.211579,53.523888,Total.SURVEY_LU1_3U411
0.00000,0.00000,0.00000,6.33501,Total.SURVEY_LU1_3U412
 0.000000, 0.000000, 4.684016,34.981638,Total.SURVEY_LU1_3U414
  0.00000,  0.00000, 78.33196,143.34084,Total.SURVEY_LU1_3U415
   3.972311,   0.000000, 584.672181,3309.226489,Total.SURVEY_LU1_3U420
  600.0379, 3691.1354, 8505.5206,49202.7319,Total.settlement0
   0.0000,   0.0000, 624.4415,2660.1326,Total.settlement1
  584.2527, 3479.4965, 4546.1829,32164.8642,Total.fao_class_name0
   11.81291,  211.63892, 4432.38730,19082.24433,Total.fao_class_name1
  3.972311,  0.000000, 66.607370,257.846619,Total.fao_class_name2
  0.00000,  0.00000, 84.78454,357.90942,Total.fao_class_name3
  600.0379, 3691.1354, 8558.9884,49497.5463,Total.lue0
   0.0000,   0.0000, 570.9737,2365.3183,Total.lue1
  600.0379, 3691.1354, 8853.8299,50517.7237,Total.lud0
   0.0000,   0.0000, 276.1322,1345.1408,Total.lud1
  9.516066,256.193089, 59.300360,313.288840,SE.Total.area
 0.000000, 0.000000, 6.352364,64.482071,SE.Total.SURVEY_LC1_1A
  9.382648,253.830781, 30.475641,353.507740,SE.Total.SURVEY_LC1_1B
  1.537932, 34.710705,231.450678,405.439720,SE.Total.SURVEY_LC1_1C
 0.000000, 0.000000, 3.001648,44.109099,SE.Total.SURVEY_LC1_1D
  0.7323721,  0.0000000, 55.3873772,523.8060478,SE.Total.SURVEY_LC1_1E
  0.0000,  0.0000,212.5071,119.9078,SE.Total.SURVEY_LC1_1F
 0.00000, 0.00000, 1.39842,21.78401,SE.Total.SURVEY_LC1_1G
  0.000000,  0.000000,  1.016678,153.730967,SE.Total.SURVEY_LC1_1H
  9.516066,256.193089, 68.581080,534.510337,SE.Total.SURVEY_LU1_1U1
 0.0000000, 0.0000000, 0.8730545,20.5078237,SE.Total.SURVEY_LU1_1U2
  0.00000,  0.00000, 22.25314,108.66419,SE.Total.SURVEY_LU1_1U3
  0.00000,  0.00000, 32.07467,406.65788,SE.Total.SURVEY_LU1_1U4
 0.000000, 0.000000, 5.765756,61.347730,SE.Total.SURVEY_LC1_2A1
 0.000000, 0.000000, 8.122888,76.425004,SE.Total.SURVEY_LC1_2A2
 0.00000, 0.00000, 0.00000,22.61103,SE.Total.SURVEY_LC1_2A3
  0.00000,  0.00000, 30.13763,354.86330,SE.Total.SURVEY_LC1_2B1
 0.0000000, 0.0000000, 0.7382506,52.9097624,SE.Total.SURVEY_LC1_2B2
  0.000000,  0.000000,  4.543485,188.918551,SE.Total.SURVEY_LC1_2B3
  0.000000,  0.000000,  4.201802,108.172190,SE.Total.SURVEY_LC1_2B4
 0.000000, 0.000000, 3.360392,97.399219,SE.Total.SURVEY_LC1_2B5
 0.000000, 0.000000, 1.747255,28.152392,SE.Total.SURVEY_LC1_2B7
 0.0000, 0.0000, 0.0000,20.1659,SE.Total.SURVEY_LC1_2B8
  9.382648,253.830781,  0.000000,  0.000000,SE.Total.SURVEY_LC1_2Bx
  0.0000,  0.0000,296.6114,799.7239,SE.Total.SURVEY_LC1_2C1
  0.000000,  9.110076,459.727558,796.162919,SE.Total.SURVEY_LC1_2C2
  1.537932, 33.630911,445.267327,964.538069,SE.Total.SURVEY_LC1_2C3
0,0,0,0,SE.Total.SURVEY_LC1_2Cx
 0.000000, 0.000000, 2.910932,40.461925,SE.Total.SURVEY_LC1_2D1
 0.0000000, 0.0000000, 0.7323721,17.5723668,SE.Total.SURVEY_LC1_2D2
 0.00000, 0.00000,40.96624,59.30442,SE.Total.SURVEY_LC1_2E1
  0.7323721,  0.0000000, 42.9843090,439.2435405,SE.Total.SURVEY_LC1_2E2
  0.00000,  0.00000, 23.77786,345.63325,SE.Total.SURVEY_LC1_2E3
0.000000,0.000000,0.000000,6.228084,SE.Total.SURVEY_LC1_2F2
  0.0000,  0.0000,212.5071,119.7460,SE.Total.SURVEY_LC1_2F4
 0.000000, 0.000000, 1.685008,21.004924,SE.Total.SURVEY_LC1_2G1
 0.0000000, 0.0000000, 0.9569724,17.3417172,SE.Total.SURVEY_LC1_2G2
  0.000000,  0.000000,  1.016678,153.730967,SE.Total.SURVEY_LC1_2H1
0,0,0,0,SE.Total.SURVEY_LC1_2H2
  9.394849,253.830781,219.498965,433.429689,SE.Total.SURVEY_LU1_2U11
  1.537932, 34.710705,231.533239,477.355707,SE.Total.SURVEY_LU1_2U12
 0.000000, 0.000000, 2.564783,17.278944,SE.Total.SURVEY_LU1_2U13
0.0000000,0.0000000,0.8056968,7.5824858,SE.Total.SURVEY_LU1_2U14
0,0,0,0,SE.Total.SURVEY_LU1_2U15
 0.0000000, 0.0000000, 0.8730545,14.3208582,SE.Total.SURVEY_LU1_2U21
 0.00000, 0.00000, 0.00000,14.67937,SE.Total.SURVEY_LU1_2U22
 0.000000, 0.000000, 7.455618,91.967374,SE.Total.SURVEY_LU1_2U31
 0.00000, 0.00000, 0.00000,13.04923,SE.Total.SURVEY_LU1_2U32
 0.000000, 0.000000, 3.042685,21.519811,SE.Total.SURVEY_LU1_2U33
 0.000000, 0.000000, 3.247775,15.793689,SE.Total.SURVEY_LU1_2U34
0.000000,0.000000,4.667862,0.000000,SE.Total.SURVEY_LU1_2U35
 0.000000, 0.000000, 4.853076,49.403203,SE.Total.SURVEY_LU1_2U36
  0.00000,  0.00000, 22.69976,101.35431,SE.Total.SURVEY_LU1_2U37
 0.00000, 0.00000,21.22617,19.22699,SE.Total.SURVEY_LU1_2U41
  0.0000,  0.0000, 24.0465,406.3098,SE.Total.SURVEY_LU1_2U42
 0.000000, 0.000000, 5.257969,52.288504,SE.Total.SURVEY_LC1_3A11
 0.000000, 0.000000, 4.027293,37.776469,SE.Total.SURVEY_LC1_3A12
0.000000,0.000000,0.000000,2.657376,SE.Total.SURVEY_LC1_3A13
 0.000000, 0.000000, 7.395516,53.571395,SE.Total.SURVEY_LC1_3A21
 0.000000, 0.000000, 5.891703,79.767780,SE.Total.SURVEY_LC1_3A22
 0.00000, 0.00000, 0.00000,22.61103,SE.Total.SURVEY_LC1_3A30
  0.00000,  0.00000, 29.10162,300.05805,SE.Total.SURVEY_LC1_3B11
 0.00000, 0.00000, 0.00000,33.45796,SE.Total.SURVEY_LC1_3B12
  0.000000,  0.000000,  3.794091,140.131535,SE.Total.SURVEY_LC1_3B13
  0.000000,  0.000000,  2.417999,176.647425,SE.Total.SURVEY_LC1_3B14
 0.000000, 0.000000, 6.045237,86.674043,SE.Total.SURVEY_LC1_3B15
 0.000000, 0.000000, 3.126538,67.740243,SE.Total.SURVEY_LC1_3B16
 0.000000, 0.000000, 1.390848,39.243195,SE.Total.SURVEY_LC1_3B18
