LU0.No,LU0.Yes,variable
No,Yes,flag_two
  64.63908,2530.36092,Total.area
  0.0000,237.8033,Total.SURVEY_LC1_1A
 20.14752,507.71739,Total.SURVEY_LC1_1B
 32.40305,918.35090,Total.SURVEY_LC1_1C
 0.00000,28.26916,Total.SURVEY_LC1_1D
 12.08851,773.74811,Total.SURVEY_LC1_1E
 0.00000,32.23602,Total.SURVEY_LC1_1F
 0.00000,28.20652,Total.SURVEY_LC1_1G
0.000000,4.029503,Total.SURVEY_LC1_1H
  60.60957,2119.22634,Total.SURVEY_LU1_1U1
 0.00000,16.11801,Total.SURVEY_LU1_1U2
  4.029503,322.443761,Total.SURVEY_LU1_1U3
 0.00000,72.57281,Total.SURVEY_LU1_1U4
 0.00000,64.47205,Total.SURVEY_LC1_2A1
  0.0000,149.1542,Total.SURVEY_LC1_2A2
 0.00000,24.17702,Total.SURVEY_LC1_2A3
  0.0000,318.3307,Total.SURVEY_LC1_2B1
0.000000,8.059006,Total.SURVEY_LC1_2B2
 0.00000,20.14752,Total.SURVEY_LC1_2B3
 0.00000,12.08851,Total.SURVEY_LC1_2B4
  0.0000,124.9146,Total.SURVEY_LC1_2B5
 0.00000,12.08851,Total.SURVEY_LC1_2B7
 0.00000,12.08851,Total.SURVEY_LC1_2B8
20.14752, 0.00000,Total.SURVEY_LC1_2Bx
  0.0000,639.0834,Total.SURVEY_LC1_2C1
 20.25191,174.08289,Total.SURVEY_LC1_2C2
  8.100763,105.184646,Total.SURVEY_LC1_2C3
4.050381,0.000000,Total.SURVEY_LC1_2Cx
 0.00000,20.21015,Total.SURVEY_LC1_2D1
0.000000,8.059006,Total.SURVEY_LC1_2D2
 0.00000,96.74983,Total.SURVEY_LC1_2E1
  8.059006,648.750000,Total.SURVEY_LC1_2E2
 0.00000,28.24828,Total.SURVEY_LC1_2E3
4.029503,0.000000,Total.SURVEY_LC1_2Ex
 0.00000,32.23602,Total.SURVEY_LC1_2F4
 0.00000,12.08851,Total.SURVEY_LC1_2G1
 0.00000,16.11801,Total.SURVEY_LC1_2G2
0.000000,4.029503,Total.SURVEY_LC1_2H1
  28.20652,1245.11646,Total.SURVEY_LU1_2U11
 32.40305,870.08038,Total.SURVEY_LU1_2U12
0.000000,4.029503,Total.SURVEY_LU1_2U14
 0.00000,16.11801,Total.SURVEY_LU1_2U22
  0.0000,133.0154,Total.SURVEY_LU1_2U31
0.000000,8.059006,Total.SURVEY_LU1_2U32
 0.00000,12.10939,Total.SURVEY_LU1_2U33
0.000000,8.059006,Total.SURVEY_LU1_2U34
 0.00000,16.11801,Total.SURVEY_LU1_2U35
 0.00000,52.38354,Total.SURVEY_LU1_2U36
 4.029503,92.699450,Total.SURVEY_LU1_2U37
0.000000,4.029503,Total.SURVEY_LU1_2U41
 0.00000,68.54331,Total.SURVEY_LU1_2U42
 0.00000,48.35404,Total.SURVEY_LC1_3A11
 0.00000,16.11801,Total.SURVEY_LC1_3A12
 0.00000,52.40442,Total.SURVEY_LC1_3A21
 0.00000,96.74983,Total.SURVEY_LC1_3A22
 0.00000,24.17702,Total.SURVEY_LC1_3A30
  0.0000,124.9146,Total.SURVEY_LC1_3B11
0.000000,4.029503,Total.SURVEY_LC1_3B12
 0.00000,40.29503,Total.SURVEY_LC1_3B13
 0.00000,16.11801,Total.SURVEY_LC1_3B14
 0.00000,20.14752,Total.SURVEY_LC1_3B15
  0.0000,108.7966,Total.SURVEY_LC1_3B16
0.000000,4.029503,Total.SURVEY_LC1_3B18
0.000000,8.059006,Total.SURVEY_LC1_3B21
0.000000,4.029503,Total.SURVEY_LC1_3B31
 0.00000,16.11801,Total.SURVEY_LC1_3B32
0.000000,4.029503,Total.SURVEY_LC1_3B41
0.000000,8.059006,Total.SURVEY_LC1_3B43
0.000000,4.029503,Total.SURVEY_LC1_3B51
0.000000,4.029503,Total.SURVEY_LC1_3B52
0.000000,8.059006,Total.SURVEY_LC1_3B53
0.000000,4.029503,Total.SURVEY_LC1_3B54
  0.0000,104.7671,Total.SURVEY_LC1_3B55
0.000000,8.059006,Total.SURVEY_LC1_3B71
0.000000,4.029503,Total.SURVEY_LC1_3B75
 0.00000,12.08851,Total.SURVEY_LC1_3B82
4.029503,0.000000,Total.SURVEY_LC1_3Bx1
16.11801, 0.00000,Total.SURVEY_LC1_3Bxx
  0.0000,639.0834,Total.SURVEY_LC1_3C10
  0.000,153.831,Total.SURVEY_LC1_3C21
0.000000,4.050381,Total.SURVEY_LC1_3C22
 0.00000,16.20153,Total.SURVEY_LC1_3C23
20.25191, 0.00000,Total.SURVEY_LC1_3C2x
 0.00000,40.44118,Total.SURVEY_LC1_3C31
 0.00000,20.23103,Total.SURVEY_LC1_3C32
 0.00000,44.51244,Total.SURVEY_LC1_3C33
8.100763,0.000000,Total.SURVEY_LC1_3C3x
4.050381,0.000000,Total.SURVEY_LC1_3Cxx
 0.00000,20.21015,Total.SURVEY_LC1_3D10
0.000000,8.059006,Total.SURVEY_LC1_3D20
 0.00000,96.74983,Total.SURVEY_LC1_3E10
  0.00,648.75,Total.SURVEY_LC1_3E20
8.059006,0.000000,Total.SURVEY_LC1_3E2x
 0.00000,28.24828,Total.SURVEY_LC1_3E30
4.029503,0.000000,Total.SURVEY_LC1_3Exx
 0.00000,32.23602,Total.SURVEY_LC1_3F40
 0.00000,12.08851,Total.SURVEY_LC1_3G11
 0.00000,16.11801,Total.SURVEY_LC1_3G21
0.000000,4.029503,Total.SURVEY_LC1_3H11
  28.20652,1245.11646,Total.SURVEY_LU1_3U111
 32.40305,870.08038,Total.SURVEY_LU1_3U120
0.000000,4.029503,Total.SURVEY_LU1_3U140
0.000000,4.029503,Total.SURVEY_LU1_3U221
0.000000,4.029503,Total.SURVEY_LU1_3U223
0.000000,8.059006,Total.SURVEY_LU1_3U224
 0.00000,12.08851,Total.SURVEY_LU1_3U311
  0.0000,100.7793,Total.SURVEY_LU1_3U312
0.000000,4.029503,Total.SURVEY_LU1_3U317
 0.00000,16.11801,Total.SURVEY_LU1_3U319
0.000000,8.059006,Total.SURVEY_LU1_3U321
 0.00000,12.10939,Total.SURVEY_LU1_3U330
0.000000,8.059006,Total.SURVEY_LU1_3U341
 0.00000,16.11801,Total.SURVEY_LU1_3U350
 0.00000,28.20652,Total.SURVEY_LU1_3U361
 0.00000,24.17702,Total.SURVEY_LU1_3U362
 4.029503,92.699450,Total.SURVEY_LU1_3U370
0.000000,4.029503,Total.SURVEY_LU1_3U414
 0.00000,68.54331,Total.SURVEY_LU1_3U420
  60.60957,2203.88766,Total.settlement0
  4.029503,326.473265,Total.settlement1
0.006097833,0.494050875,Total.settl_pc
  36.28641,1636.12441,Total.fao_class_name0
 28.35267,870.01774,Total.fao_class_name1
 0.00000,12.13027,Total.fao_class_name2
 0.00000,12.08851,Total.fao_class_name3
  60.60957,2361.10092,Total.lue0
  4.029503,169.260009,Total.lue1
  64.63908,2357.02966,Total.lud0
  0.0000,173.3313,Total.lud1
0.807375,0.807375,SE.Total.area
0.0000000,0.5010509,SE.Total.SURVEY_LC1_1A
0,0,SE.Total.SURVEY_LC1_1B
0.807375,1.177876,SE.Total.SURVEY_LC1_1C
0.0000000,0.5010509,SE.Total.SURVEY_LC1_1D
0.0000000,0.5770392,SE.Total.SURVEY_LC1_1E
0,0,SE.Total.SURVEY_LC1_1F
0,0,SE.Total.SURVEY_LC1_1G
0,0,SE.Total.SURVEY_LC1_1H
0.807375,1.050594,SE.Total.SURVEY_LU1_1U1
0,0,SE.Total.SURVEY_LU1_1U2
0.0000000,0.5770392,SE.Total.SURVEY_LU1_1U3
0.0000000,0.4101815,SE.Total.SURVEY_LU1_1U4
0,0,SE.Total.SURVEY_LC1_2A1
0.0000000,0.5010509,SE.Total.SURVEY_LC1_2A2
0,0,SE.Total.SURVEY_LC1_2A3
0,0,SE.Total.SURVEY_LC1_2B1
0,0,SE.Total.SURVEY_LC1_2B2
0,0,SE.Total.SURVEY_LC1_2B3
0,0,SE.Total.SURVEY_LC1_2B4
0,0,SE.Total.SURVEY_LC1_2B5
0,0,SE.Total.SURVEY_LC1_2B7
0,0,SE.Total.SURVEY_LC1_2B8
0,0,SE.Total.SURVEY_LC1_2Bx
0.000000,1.983439,SE.Total.SURVEY_LC1_2C1
0.6434405,1.6264365,SE.Total.SURVEY_LC1_2C2
0.4101815,1.2344755,SE.Total.SURVEY_LC1_2C3
0.2908004,0.0000000,SE.Total.SURVEY_LC1_2Cx
0.0000000,0.5010509,SE.Total.SURVEY_LC1_2D1
0,0,SE.Total.SURVEY_LC1_2D2
0.0000000,0.4101815,SE.Total.SURVEY_LC1_2E1
0,0,SE.Total.SURVEY_LC1_2E2
0.0000000,0.4101815,SE.Total.SURVEY_LC1_2E3
0,0,SE.Total.SURVEY_LC1_2Ex
0,0,SE.Total.SURVEY_LC1_2F4
0,0,SE.Total.SURVEY_LC1_2G1
0,0,SE.Total.SURVEY_LC1_2G2
0,0,SE.Total.SURVEY_LC1_2H1
0,0,SE.Total.SURVEY_LU1_2U11
0.807375,1.050594,SE.Total.SURVEY_LU1_2U12
0,0,SE.Total.SURVEY_LU1_2U14
0,0,SE.Total.SURVEY_LU1_2U22
0.0000000,0.4101815,SE.Total.SURVEY_LU1_2U31
0,0,SE.Total.SURVEY_LU1_2U32
0.0000000,0.2908004,SE.Total.SURVEY_LU1_2U33
0,0,SE.Total.SURVEY_LU1_2U34
0,0,SE.Total.SURVEY_LU1_2U35
0,0,SE.Total.SURVEY_LU1_2U36
0.0000000,0.2908004,SE.Total.SURVEY_LU1_2U37
0,0,SE.Total.SURVEY_LU1_2U41
0.0000000,0.4101815,SE.Total.SURVEY_LU1_2U42
0,0,SE.Total.SURVEY_LC1_3A11
0,0,SE.Total.SURVEY_LC1_3A12
0.0000000,0.2908004,SE.Total.SURVEY_LC1_3A21
0.0000000,0.4101815,SE.Total.SURVEY_LC1_3A22
0,0,SE.Total.SURVEY_LC1_3A30
0,0,SE.Total.SURVEY_LC1_3B11
0,0,SE.Total.SURVEY_LC1_3B12
0,0,SE.Total.SURVEY_LC1_3B13
