MT0.No,MT0.Yes,variable
No,Yes,flag_two
 27.2816,288.7184,Total.area
 0.00000,81.54329,Total.SURVEY_LC1_1A
27.28160,52.32403,Total.SURVEY_LC1_1B
 0.00000,19.30792,Total.SURVEY_LC1_1C
 0.00000,64.99636,Total.SURVEY_LC1_1D
 0.00000,58.76855,Total.SURVEY_LC1_1E
0.000000,7.814447,Total.SURVEY_LC1_1F
0.000000,3.963817,Total.SURVEY_LC1_1G
27.28160,97.76641,Total.SURVEY_LU1_1U1
 0.00000,90.77939,Total.SURVEY_LU1_1U3
  0.0000,100.1726,Total.SURVEY_LU1_1U4
 0.00000,46.02648,Total.SURVEY_LC1_2A1
 0.00000,35.51681,Total.SURVEY_LC1_2A2
 0.00000,15.31156,Total.SURVEY_LC1_2B1
0.000000,3.914494,Total.SURVEY_LC1_2B4
 0.00000,15.50333,Total.SURVEY_LC1_2B5
 0.00000,17.59464,Total.SURVEY_LC1_2B8
27.2816, 0.0000,Total.SURVEY_LC1_2Bx
0.000000,7.546433,Total.SURVEY_LC1_2C1
0.000000,7.811484,Total.SURVEY_LC1_2C2
0.00,3.95,Total.SURVEY_LC1_2C3
 0.00000,21.54803,Total.SURVEY_LC1_2D1
 0.00000,43.44833,Total.SURVEY_LC1_2D2
0.000000,3.886403,Total.SURVEY_LC1_2E1
 0.00000,19.84247,Total.SURVEY_LC1_2E2
 0.00000,35.03968,Total.SURVEY_LC1_2E3
0.000000,7.814447,Total.SURVEY_LC1_2F4
0.000000,3.963817,Total.SURVEY_LC1_2G2
27.28160,97.76641,Total.SURVEY_LU1_2U11
 0.00000,24.92616,Total.SURVEY_LU1_2U31
0.00,3.95,Total.SURVEY_LU1_2U35
 0.00000,14.50872,Total.SURVEY_LU1_2U36
 0.00000,47.39451,Total.SURVEY_LU1_2U37
 0.00000,11.83215,Total.SURVEY_LU1_2U41
 0.00000,88.34045,Total.SURVEY_LU1_2U42
 0.00000,46.02648,Total.SURVEY_LC1_3A11
 0.00000,10.59065,Total.SURVEY_LC1_3A21
 0.00000,24.92616,Total.SURVEY_LC1_3A22
 0.00000,15.31156,Total.SURVEY_LC1_3B18
0.000000,3.914494,Total.SURVEY_LC1_3B43
 0.00000,15.50333,Total.SURVEY_LC1_3B54
0.00000,7.68771,Total.SURVEY_LC1_3B81
0.000000,9.906932,Total.SURVEY_LC1_3B82
27.2816, 0.0000,Total.SURVEY_LC1_3Bx1
0.000000,7.546433,Total.SURVEY_LC1_3C10
0.000000,7.811484,Total.SURVEY_LC1_3C22
0.00,3.95,Total.SURVEY_LC1_3C33
 0.00000,21.54803,Total.SURVEY_LC1_3D10
 0.00000,43.44833,Total.SURVEY_LC1_3D20
0.000000,3.886403,Total.SURVEY_LC1_3E10
 0.00000,19.84247,Total.SURVEY_LC1_3E20
 0.00000,35.03968,Total.SURVEY_LC1_3E30
0.000000,7.814447,Total.SURVEY_LC1_3F40
0.000000,3.963817,Total.SURVEY_LC1_3G21
27.28160,58.72127,Total.SURVEY_LU1_3U111
 0.00000,31.28001,Total.SURVEY_LU1_3U112
0.000000,7.765124,Total.SURVEY_LU1_3U113
 0.00000,24.92616,Total.SURVEY_LU1_3U312
0.00,3.95,Total.SURVEY_LU1_3U350
 0.00000,10.59065,Total.SURVEY_LU1_3U361
0.000000,3.918068,Total.SURVEY_LU1_3U362
 0.00000,47.39451,Total.SURVEY_LU1_3U370
0.000000,3.886403,Total.SURVEY_LU1_3U414
0.000000,7.945748,Total.SURVEY_LU1_3U415
 0.00000,88.34045,Total.SURVEY_LU1_3U420
 27.2816,191.4706,Total.settlement0
 0.00000,97.24776,Total.settlement1
0.000000,0.179407,Total.settl_pc
 27.2816,259.5991,Total.fao_class_name0
 0.00000,11.49643,Total.fao_class_name1
0.000000,9.811403,Total.fao_class_name2
0.000000,7.811484,Total.fao_class_name3
 27.2816,222.8652,Total.lue0
 0.00000,65.85323,Total.lue1
 27.2816,263.7922,Total.lud0
 0.00000,24.92616,Total.lud1
0.0000000,0.1625754,SE.Total.area
0.0000000,0.1625754,SE.Total.SURVEY_LC1_1A
0,0,SE.Total.SURVEY_LC1_1B
0,0,SE.Total.SURVEY_LC1_1C
0,0,SE.Total.SURVEY_LC1_1D
0,0,SE.Total.SURVEY_LC1_1E
0,0,SE.Total.SURVEY_LC1_1F
0,0,SE.Total.SURVEY_LC1_1G
0.000000,4.175316,SE.Total.SURVEY_LU1_1U1
0.000000,4.309338,SE.Total.SURVEY_LU1_1U3
0,0,SE.Total.SURVEY_LU1_1U4
0.000000,6.060191,SE.Total.SURVEY_LC1_2A1
0.000000,6.076553,SE.Total.SURVEY_LC1_2A2
0,0,SE.Total.SURVEY_LC1_2B1
0,0,SE.Total.SURVEY_LC1_2B4
0,0,SE.Total.SURVEY_LC1_2B5
0,0,SE.Total.SURVEY_LC1_2B8
0,0,SE.Total.SURVEY_LC1_2Bx
0,0,SE.Total.SURVEY_LC1_2C1
0,0,SE.Total.SURVEY_LC1_2C2
0,0,SE.Total.SURVEY_LC1_2C3
0,0,SE.Total.SURVEY_LC1_2D1
0,0,SE.Total.SURVEY_LC1_2D2
0,0,SE.Total.SURVEY_LC1_2E1
0,0,SE.Total.SURVEY_LC1_2E2
0,0,SE.Total.SURVEY_LC1_2E3
0,0,SE.Total.SURVEY_LC1_2F4
0,0,SE.Total.SURVEY_LC1_2G2
0.000000,4.175316,SE.Total.SURVEY_LU1_2U11
0.000000,5.516405,SE.Total.SURVEY_LU1_2U31
0,0,SE.Total.SURVEY_LU1_2U35
0.000000,4.343658,SE.Total.SURVEY_LU1_2U36
0.000000,6.109864,SE.Total.SURVEY_LU1_2U37
0,0,SE.Total.SURVEY_LU1_2U41
0,0,SE.Total.SURVEY_LU1_2U42
0.000000,6.060191,SE.Total.SURVEY_LC1_3A11
0.000000,4.343658,SE.Total.SURVEY_LC1_3A21
0.000000,5.516405,SE.Total.SURVEY_LC1_3A22
0,0,SE.Total.SURVEY_LC1_3B18
0,0,SE.Total.SURVEY_LC1_3B43
0,0,SE.Total.SURVEY_LC1_3B54
0,0,SE.Total.SURVEY_LC1_3B81
0,0,SE.Total.SURVEY_LC1_3B82
0,0,SE.Total.SURVEY_LC1_3Bx1
0,0,SE.Total.SURVEY_LC1_3C10
0,0,SE.Total.SURVEY_LC1_3C22
0,0,SE.Total.SURVEY_LC1_3C33
0,0,SE.Total.SURVEY_LC1_3D10
0,0,SE.Total.SURVEY_LC1_3D20
0,0,SE.Total.SURVEY_LC1_3E10
0,0,SE.Total.SURVEY_LC1_3E20
0,0,SE.Total.SURVEY_LC1_3E30
0,0,SE.Total.SURVEY_LC1_3F40
0,0,SE.Total.SURVEY_LC1_3G21
0.000000,4.175316,SE.Total.SURVEY_LU1_3U111
0,0,SE.Total.SURVEY_LU1_3U112
0,0,SE.Total.SURVEY_LU1_3U113
0.000000,5.516405,SE.Total.SURVEY_LU1_3U312
0,0,SE.Total.SURVEY_LU1_3U350
0.000000,4.343658,SE.Total.SURVEY_LU1_3U361
0,0,SE.Total.SURVEY_LU1_3U362
0.000000,6.109864,SE.Total.SURVEY_LU1_3U370
0,0,SE.Total.SURVEY_LU1_3U414
0,0,SE.Total.SURVEY_LU1_3U415
0,0,SE.Total.SURVEY_LU1_3U420
0,0,SE.Total.settlement0
0.0000000,0.1625754,SE.Total.settlement1
0.0000000000,0.0002999263,SE.Total.settl_pc
0.0000000,0.1625754,SE.Total.fao_class_name0
0,0,SE.Total.fao_class_name1
0,0,SE.Total.fao_class_name2
0,0,SE.Total.fao_class_name3
0.000000,5.997494,SE.Total.lue0
0.000000,6.118232,SE.Total.lue1
0.00000,5.54823,SE.Total.lud0
0.000000,5.516405,SE.Total.lud1
 27.2816,288.3998,CI.l(95%).Total.area
 0.00000,81.22465,CI.l(95%).Total.SURVEY_LC1_1A
27.28160,52.32403,CI.l(95%).Total.SURVEY_LC1_1B
 0.00000,19.30792,CI.l(95%).Total.SURVEY_LC1_1C
 0.00000,64.99636,CI.l(95%).Total.SURVEY_LC1_1D
 0.00000,58.76855,CI.l(95%).Total.SURVEY_LC1_1E
0.000000,7.814447,CI.l(95%).Total.SURVEY_LC1_1F
0.000000,3.963817,CI.l(95%).Total.SURVEY_LC1_1G
27.28160,89.58294,CI.l(95%).Total.SURVEY_LU1_1U1
 0.00000,82.33324,CI.l(95%).Total.SURVEY_LU1_1U3
  0.0000,100.1726,CI.l(95%).Total.SURVEY_LU1_1U4
 0.00000,34.14873,CI.l(95%).Total.SURVEY_LC1_2A1
 0.00000,23.60698,CI.l(95%).Total.SURVEY_LC1_2A2
 0.00000,15.31156,CI.l(95%).Total.SURVEY_LC1_2B1
0.000000,3.914494,CI.l(95%).Total.SURVEY_LC1_2B4
 0.00000,15.50333,CI.l(95%).Total.SURVEY_LC1_2B5
 0.00000,17.59464,CI.l(95%).Total.SURVEY_LC1_2B8
27.2816, 0.0000,CI.l(95%).Total.SURVEY_LC1_2Bx
0.000000,7.546433,CI.l(95%).Total.SURVEY_LC1_2C1
0.000000,7.811484,CI.l(95%).Total.SURVEY_LC1_2C2
0.00,3.95,CI.l(95%).Total.SURVEY_LC1_2C3
 0.00000,21.54803,CI.l(95%).Total.SURVEY_LC1_2D1
 0.00000,43.44833,CI.l(95%).Total.SURVEY_LC1_2D2
0.000000,3.886403,CI.l(95%).Total.SURVEY_LC1_2E1
 0.00000,19.84247,CI.l(95%).Total.SURVEY_LC1_2E2
 0.00000,35.03968,CI.l(95%).Total.SURVEY_LC1_2E3
0.000000,7.814447,CI.l(95%).Total.SURVEY_LC1_2F4
0.000000,3.963817,CI.l(95%).Total.SURVEY_LC1_2G2
27.28160,89.58294,CI.l(95%).Total.SURVEY_LU1_2U11
 0.0000,14.1142,CI.l(95%).Total.SURVEY_LU1_2U31
0.00,3.95,CI.l(95%).Total.SURVEY_LU1_2U35
0.000000,5.995305,CI.l(95%).Total.SURVEY_LU1_2U36
 0.0000,35.4194,CI.l(95%).Total.SURVEY_LU1_2U37
 0.00000,11.83215,CI.l(95%).Total.SURVEY_LU1_2U41
 0.00000,88.34045,CI.l(95%).Total.SURVEY_LU1_2U42
 0.00000,34.14873,CI.l(95%).Total.SURVEY_LC1_3A11
0.000000,2.077237,CI.l(95%).Total.SURVEY_LC1_3A21
 0.0000,14.1142,CI.l(95%).Total.SURVEY_LC1_3A22
 0.00000,15.31156,CI.l(95%).Total.SURVEY_LC1_3B18
0.000000,3.914494,CI.l(95%).Total.SURVEY_LC1_3B43
 0.00000,15.50333,CI.l(95%).Total.SURVEY_LC1_3B54
0.00000,7.68771,CI.l(95%).Total.SURVEY_LC1_3B81
0.000000,9.906932,CI.l(95%).Total.SURVEY_LC1_3B82
27.2816, 0.0000,CI.l(95%).Total.SURVEY_LC1_3Bx1
0.000000,7.546433,CI.l(95%).Total.SURVEY_LC1_3C10
0.000000,7.811484,CI.l(95%).Total.SURVEY_LC1_3C22
0.00,3.95,CI.l(95%).Total.SURVEY_LC1_3C33
 0.00000,21.54803,CI.l(95%).Total.SURVEY_LC1_3D10
 0.00000,43.44833,CI.l(95%).Total.SURVEY_LC1_3D20
0.000000,3.886403,CI.l(95%).Total.SURVEY_LC1_3E10
 0.00000,19.84247,CI.l(95%).Total.SURVEY_LC1_3E20
 0.00000,35.03968,CI.l(95%).Total.SURVEY_LC1_3E30
0.000000,7.814447,CI.l(95%).Total.SURVEY_LC1_3F40
0.000000,3.963817,CI.l(95%).Total.SURVEY_LC1_3G21
27.2816,50.5378,CI.l(95%).Total.SURVEY_LU1_3U111
 0.00000,31.28001,CI.l(95%).Total.SURVEY_LU1_3U112
0.000000,7.765124,CI.l(95%).Total.SURVEY_LU1_3U113
