No,Yes,variable
 2340.562,35050.438,Total.area
   4.36294,6084.28055,Total.SURVEY_LC1_1A
2181.781,6078.445,Total.SURVEY_LC1_1B
 138.2093,5232.8087,Total.SURVEY_LC1_1C
  0.0000,688.2214,Total.SURVEY_LC1_1D
    3.822799,12523.542385,Total.SURVEY_LC1_1E
   7.957978,1435.977831,Total.SURVEY_LC1_1F
   4.427939,2631.337308,Total.SURVEY_LC1_1G
  0.000,375.825,Total.SURVEY_LC1_1H
 2293.721,20756.635,Total.SURVEY_LU1_1U1
  0.0000,321.1212,Total.SURVEY_LU1_1U2
   42.41275,11638.60205,Total.SURVEY_LU1_1U3
   4.427939,2334.079991,Total.SURVEY_LU1_1U4
   0.000,2011.903,Total.SURVEY_LC1_2A1
   0.000,3805.009,Total.SURVEY_LC1_2A2
  0.0000,267.3691,Total.SURVEY_LC1_2A3
4.36294,0.00000,Total.SURVEY_LC1_2Ax
   0.000,2300.156,Total.SURVEY_LC1_2B1
   0.000,1712.948,Total.SURVEY_LC1_2B2
  0.0000,122.3791,Total.SURVEY_LC1_2B3
  0.0000,456.7759,Total.SURVEY_LC1_2B4
   0.000,1169.324,Total.SURVEY_LC1_2B5
  0.0000,227.5971,Total.SURVEY_LC1_2B7
 0.00000,89.26529,Total.SURVEY_LC1_2B8
2181.781,   0.000,Total.SURVEY_LC1_2Bx
   0.000,3456.011,Total.SURVEY_LC1_2C1
 69.05699,776.09483,Total.SURVEY_LC1_2C2
  69.15235,1000.70277,Total.SURVEY_LC1_2C3
  0.0000,131.0646,Total.SURVEY_LC1_2D1
  0.0000,557.1568,Total.SURVEY_LC1_2D2
  0.0000,422.8589,Total.SURVEY_LC1_2E1
    3.822799,11739.188952,Total.SURVEY_LC1_2E2
  0.0000,361.4945,Total.SURVEY_LC1_2E3
  0.0000,161.3327,Total.SURVEY_LC1_2F2
   7.957978,1274.645138,Total.SURVEY_LC1_2F4
   0.000,1609.774,Total.SURVEY_LC1_2G1
  4.427939,971.811009,Total.SURVEY_LC1_2G2
 0.0000,41.7229,Total.SURVEY_LC1_2G3
0.000000,8.028986,Total.SURVEY_LC1_2G4
  0.0000,271.0915,Total.SURVEY_LC1_2H1
  0.0000,104.7335,Total.SURVEY_LC1_2H2
 2193.561,18238.657,Total.SURVEY_LU1_2U11
 100.1595,2486.5877,Total.SURVEY_LU1_2U12
 0.00000,13.47913,Total.SURVEY_LU1_2U13
 0.00000,17.91163,Total.SURVEY_LU1_2U14
 0.00000,45.68446,Total.SURVEY_LU1_2U21
  0.0000,275.4367,Total.SURVEY_LU1_2U22
   0.000,4308.521,Total.SURVEY_LU1_2U31
  0.0000,108.5073,Total.SURVEY_LU1_2U32
  0.000,216.998,Total.SURVEY_LU1_2U33
  0.0000,820.2652,Total.SURVEY_LU1_2U34
  3.814543,442.908439,Total.SURVEY_LU1_2U35
  34.23527,2734.17409,Total.SURVEY_LU1_2U36
   4.36294,3007.22813,Total.SURVEY_LU1_2U37
 0.00000,98.58632,Total.SURVEY_LU1_2U41
