NL1.No,NL2.No,NL3.No,NL4.No,NL1.Yes,NL2.Yes,NL3.Yes,NL4.Yes,variable
No,No,No,No,Yes,Yes,Yes,Yes,flag_two
  813.2780,  384.1499,  724.7859,  418.3479, 8281.7220,10586.8501, 9309.2141, 6872.6521,Total.area
   4.36294,   0.00000,   0.00000,   0.00000, 886.10879,1428.39692,2292.79863,1476.97621,Total.SURVEY_LC1_1A
 788.3462, 287.4373, 716.8279, 389.1693,1379.8792,1978.4831,1142.9388,1577.1440,Total.SURVEY_LC1_1B
  16.14090,  92.88984,   0.00000,  29.17860, 919.92053,2001.23704, 986.73289,1324.91822,Total.SURVEY_LC1_1C
  0.0000,  0.0000,  0.0000,  0.0000,145.8878,193.1227,218.5545,130.6564,Total.SURVEY_LC1_1D
   0.000000,   3.822799,   0.000000,   0.000000,3920.050766,3613.146254,3156.049463,1834.295902,Total.SURVEY_LC1_1E
  0.000000,  0.000000,  7.957978,  0.000000,352.312344,403.738555,437.566310,242.360622,Total.SURVEY_LC1_1F
  4.427939,  0.000000,  0.000000,  0.000000,567.886525,867.904264,935.280367,260.266153,Total.SURVEY_LC1_1G
  0.00000,  0.00000,  0.00000,  0.00000,109.67603,100.82123,139.29314, 26.03463,Total.SURVEY_LC1_1H
 804.4871, 346.1001, 724.7859, 418.3479,5600.7380,6533.4025,4561.8822,4060.6124,Total.SURVEY_LU1_1U1
  0.00000,  0.00000,  0.00000,  0.00000, 49.95349, 65.47287, 99.66231,106.03252,Total.SURVEY_LU1_1U2
   4.36294,  38.04981,   0.00000,   0.00000,1915.99718,3442.78461,3964.84903,2314.97123,Total.SURVEY_LU1_1U3
  4.427939,  0.000000,  0.000000,  0.000000,715.033344,545.190146,682.820555,391.035946,Total.SURVEY_LU1_1U4
  0.0000,  0.0000,  0.0000,  0.0000,212.5057,438.0597,889.0660,472.2711,Total.SURVEY_LC1_2A1
   0.0000,   0.0000,   0.0000,   0.0000, 588.1090, 922.4416,1319.1671, 975.2913,Total.SURVEY_LC1_2A2
 0.00000, 0.00000, 0.00000, 0.00000,85.49407,67.89572,84.56554,29.41380,Total.SURVEY_LC1_2A3
4.36294,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Total.SURVEY_LC1_2Ax
  0.0000,  0.0000,  0.0000,  0.0000,540.7358,686.7555,357.3033,715.3611,Total.SURVEY_LC1_2B1
  0.0000,  0.0000,  0.0000,  0.0000,519.7623,435.4251,403.2487,354.5122,Total.SURVEY_LC1_2B2
 0.00000, 0.00000, 0.00000, 0.00000,48.42583,43.51619,11.60787,18.82925,Total.SURVEY_LC1_2B3
  0.00000,  0.00000,  0.00000,  0.00000, 28.80018,124.54527,102.23373,201.19670,Total.SURVEY_LC1_2B4
  0.0000,  0.0000,  0.0000,  0.0000,226.1469,583.4928,192.3986,167.2855,Total.SURVEY_LC1_2B5
 0.00000, 0.00000, 0.00000, 0.00000,12.12486,76.84183,76.14653,62.48390,Total.SURVEY_LC1_2B7
 0.000000, 0.000000, 0.000000, 0.000000, 3.883422,27.906506, 0.000000,57.475366,Total.SURVEY_LC1_2B8
788.3462,287.4373,716.8279,389.1693,  0.0000,  0.0000,  0.0000,  0.0000,Total.SURVEY_LC1_2Bx
   0.0000,   0.0000,   0.0000,   0.0000, 713.3571,1168.7404, 803.0332, 770.8804,Total.SURVEY_LC1_2C1
 12.26598, 45.67890,  0.00000, 11.11212, 55.54384,363.40326, 65.48487,291.66286,Total.SURVEY_LC1_2C2
