NL11.No,NL12.No,NL13.No,NL21.No,NL22.No,NL23.No,NL32.No,NL34.No,NL35.No,NL36.No,NL41.No,NL42.No,NL11.Yes,NL12.Yes,NL13.Yes,NL21.Yes,NL22.Yes,NL23.Yes,NL32.Yes,NL34.Yes,NL35.Yes,NL36.Yes,NL41.Yes,NL42.Yes,variable
No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,flag_two
 443.37211,  96.69957, 273.20628,  57.53478, 143.49613, 183.11899, 202.62076, 350.40599,  15.06217, 156.69697, 350.32038,  68.02750,1961.62789,3913.30043,2406.79372,3363.46522,4993.50387,2229.88101,3200.37924,1584.59401,1544.93783,2979.30303,4731.67962,2140.97250,Total.area
   0.00000,   4.36294,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000, 318.00425, 326.07643, 242.02811, 422.28330, 785.47530, 220.63832, 713.43947, 265.16334, 327.35900, 986.83683,1018.96351, 458.01271,Total.SURVEY_LC1_1A
443.37211, 83.39257,261.58150, 34.47995, 69.83833,183.11899,202.62076,342.44802, 15.06217,156.69697,336.21449, 52.95479,486.68867,460.07225,433.11830,569.48172,697.12523,711.87615,312.43806,594.19417, 56.76360,179.54299,998.97204,578.17193,Total.SURVEY_LC1_1B
   0.00000,   4.51612,  11.62478,  19.23204,  73.65780,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  14.10589,  15.07271, 124.09441, 288.75915, 507.06697, 444.92014,1237.64577, 318.67113, 329.10118,  99.96078, 232.76666, 324.90427, 947.49155, 377.42667,Total.SURVEY_LC1_1C
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, 19.710734, 57.500098, 68.676995, 44.728376,143.179035,  5.215318,119.303267, 21.708617, 26.810838, 50.731755, 72.884546, 57.771870,Total.SURVEY_LC1_1D
   0.000000,   0.000000,   0.000000,   3.822799,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000, 844.174290,2246.563932, 829.312544,1619.841475,1797.514136, 195.790643,1137.122083, 259.935188, 777.744307, 981.247884,1287.847160, 546.448742,Total.SURVEY_LC1_1E
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  7.957978,  0.000000,  0.000000,  0.000000,  0.000000, 43.010487,102.678369,206.623488,136.025260,135.636228,132.077067,132.030529,171.930072, 15.037102,118.568608,191.714477, 50.646145,Total.SURVEY_LC1_1F
  0.000000,  4.427939,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,110.252869,383.385073, 74.248583, 99.109624,189.420288,579.374352,422.384097,110.502479,108.456313,293.937477,187.771713, 72.494440,Total.SURVEY_LC1_1G
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,15.692180,48.265126,45.718726,27.075311, 7.507892,66.238028,34.560563,61.199362, 0.000000,43.533214,26.034629, 0.000000,Total.SURVEY_LC1_1H
 443.37211,  87.90869, 273.20628,  53.72024, 109.26086, 183.11899, 202.62076, 350.40599,  15.06217, 156.69697, 350.32038,  68.02750,1344.59732,2679.54771,1576.59300,2394.80796,3024.08117,1114.51333,1496.09255, 882.88029, 936.77354,1246.13582,2794.50547,1266.10696,Total.SURVEY_LU1_1U1
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,16.19958,19.07454,14.67937,10.58994,36.69001,18.19292,23.58336,24.36945,10.51968,41.18982,77.46394,28.56858,Total.SURVEY_LU1_1U2
   0.000000,   4.362940,   0.000000,   3.814543,  34.235271,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000, 527.711031, 909.143049, 479.143100, 809.166858,1678.693049, 954.924707,1453.440811, 476.736950, 575.211972,1459.459295,1589.562448, 725.408777,Total.SURVEY_LU1_1U3
  0.000000,  4.427939,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, 73.119956,305.535135,336.378253,148.900453,254.039644,142.250049,227.262515,200.607305, 22.432641,232.518094,270.147764,120.888183,Total.SURVEY_LU1_1U4
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 59.50866, 95.13388, 57.86317,124.49571,261.12108, 52.44286,269.91986, 40.71576, 82.77324,495.65716,332.11973,140.15141,Total.SURVEY_LC1_2A1
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,197.8464,217.7887,172.4739,286.2353,488.2994,147.9069,420.5037,200.6295,244.5858,453.4481,661.2079,314.0833,Total.SURVEY_LC1_2A2
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,60.649166,13.153819,11.691081,11.552336,36.054787,20.288594,23.015900,23.818103, 0.000000,37.731541,25.635829, 3.777974,Total.SURVEY_LC1_2A3
0.00000,4.36294,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Total.SURVEY_LC1_2Ax
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,176.53572,253.87827,110.32176,183.94269,340.13719,162.67558, 82.53735,195.04030, 22.44445, 57.28123,480.61377,234.74730,Total.SURVEY_LC1_2B1
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,251.24368,100.90774,167.61088, 19.14908, 80.87034,335.40566, 60.26413,262.79149,  0.00000, 80.19310,222.63767,131.87450,Total.SURVEY_LC1_2B2
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 7.847851, 0.000000,40.577978,26.898451,11.535532, 5.082209, 0.000000, 3.978989, 0.000000, 7.628877,15.096505, 3.732744,Total.SURVEY_LC1_2B3
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  3.903466,  0.000000, 24.896714,  3.822799,  3.831664,116.890803, 74.829509, 15.915957,  0.000000, 11.488261, 99.648136,101.548567,Total.SURVEY_LC1_2B4
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 47.15796,100.92330, 78.06563,324.18047,177.78793, 81.52437, 90.36283, 63.84383, 22.88927, 15.30270,110.71825, 56.56727,Total.SURVEY_LC1_2B5
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 4.362940, 7.761916, 7.645599,58.898702,10.297527, 4.444230,52.623595,11.429888, 7.648817,24.282858,38.201039,Total.SURVEY_LC1_2B7
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.883422, 3.842636,24.063870, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,45.974853,11.500514,Total.SURVEY_LC1_2B8
443.37211, 83.39257,261.58150, 34.47995, 69.83833,183.11899,202.62076,342.44802, 15.06217,156.69697,336.21449, 52.95479,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,Total.SURVEY_LC1_2Bx
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,106.58437,253.71221,353.06047,276.75069,598.88586,293.10388,268.59181, 88.12921,126.69700,319.61518,531.33011,239.55028,Total.SURVEY_LC1_2C1
  0.000000,  4.516120,  7.749856, 11.443630, 34.235271,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, 11.112118,  3.969581,  8.777650, 42.796611, 49.989790,308.291219,  5.122249,  8.726323,  3.950429, 52.808122,  0.000000,228.245612, 63.417246,Total.SURVEY_LC1_2C2
  0.000000,  0.000000,  3.874928,  7.788408, 39.422531,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, 14.105892,  3.960588, 13.540454, 26.269294,111.209887,118.179661,330.468694, 20.444995, 51.783039,  7.881139, 53.261546,  5.289090,187.915830, 74.459138,Total.SURVEY_LC1_2C3
