PL2.No,PL4.No,PL5.No,PL6.No,PL7.No,PL8.No,PL9.No,PL2.Yes,PL4.Yes,PL5.Yes,PL6.Yes,PL7.Yes,PL8.Yes,PL9.Yes,variable
No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,flag_two
  907.1079,11541.4572, 6008.4650,10995.5293,  913.6563, 4242.6051, 3129.3637,26608.8921,54715.5428,23350.5350,49157.4707,29014.3437,58913.3949,32429.6363,Total.area
   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,1847.224,2319.825,1073.830,1828.875,1199.830,2252.336,1653.064,Total.SURVEY_LC1_1A
  899.1091,11303.1815, 5912.5153,10953.8239,  913.6563, 4229.4198, 3116.7434, 4221.0130,11383.4437, 6395.8268,10078.8917,10354.9222,14353.7728, 8701.4174,Total.SURVEY_LC1_1B
    7.998766,  238.275674,   95.949651,   41.705451,    0.000000,   13.185361,   12.620303,11969.828296,25343.437797, 9896.893542,21638.606072,10123.944273,23429.423392,11431.708177,Total.SURVEY_LC1_1C
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,296.6461,294.8451,117.7286,534.3618,239.5021,323.0177,279.6011,Total.SURVEY_LC1_1D
    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000, 7057.272,10936.360, 4524.004,10929.451, 5807.127,14900.537, 8454.029,Total.SURVEY_LC1_1E
   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000, 768.8252,2180.1876, 981.5745,1423.3136, 911.1152,2406.5746,1423.8339,Total.SURVEY_LC1_1F
   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000, 373.0368,1397.6813, 259.5883,2069.0058, 213.2937, 628.9499, 323.2977,Total.SURVEY_LC1_1G
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 75.04626,859.76211,101.08870,654.96568,164.60882,618.78383,162.68497,Total.SURVEY_LC1_1H
  890.0684,11501.8249, 6004.5006,10991.0502,  909.8667, 4242.6051, 3129.3637,19900.8297,45188.9909,19355.4065,39846.5755,24323.8881,49615.3717,26349.0493,Total.SURVEY_LU1_1U1
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,123.80769, 86.18852, 40.11800, 41.22134, 60.31004, 95.06238, 87.93770,Total.SURVEY_LU1_1U2
   0.000000,  26.519086,   3.964426,   4.479180,   0.000000,   0.000000,   0.000000,4110.235137,5864.736025,2352.228076,5211.870240,2508.587905,4521.955425,3475.360604,Total.SURVEY_LU1_1U3
  17.039454,  13.113151,   0.000000,   0.000000,   3.789548,   0.000000,   0.000000,2474.019524,3575.627387,1602.782468,4057.803549,2121.557708,4681.005376,2517.288660,Total.SURVEY_LU1_1U4
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,545.3542,710.9798,387.6265,690.0162,354.3009,589.2058,595.6988,Total.SURVEY_LC1_2A1
   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,1179.2340,1490.2564, 637.5952,1094.8586, 793.9371,1596.8947, 931.5917,Total.SURVEY_LC1_2A2
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,122.63576,118.58925, 48.60848, 43.99967, 51.59204, 66.23514,125.77362,Total.SURVEY_LC1_2A3
   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,2875.731,8513.695,4331.714,6944.143,7243.773,9687.686,6262.367,Total.SURVEY_LC1_2B1
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,220.6325,759.5562,178.6728,524.8283,572.0533,425.9583,301.5418,Total.SURVEY_LC1_2B2
   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000, 422.4892,1222.1169,1475.2512,1547.5111, 817.0525,2216.6394, 550.3512,Total.SURVEY_LC1_2B3
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,216.40101,278.32613, 65.60578,273.68621,515.81595,406.04754,284.69238,Total.SURVEY_LC1_2B4
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,140.3091,438.9957,246.1395,690.3925,444.4163,631.5424,466.9668,Total.SURVEY_LC1_2B5
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,293.16042,120.28652, 84.03043, 84.07243,747.19749,887.12336,835.49809,Total.SURVEY_LC1_2B7
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,52.29006,50.46739,14.41351,14.25788,14.61398,98.77564, 0.00000,Total.SURVEY_LC1_2B8
  899.1091,11303.1815, 5912.5153,10953.8239,  913.6563, 4229.4198, 3116.7434,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,Total.SURVEY_LC1_2Bx
   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,5816.218,6804.844,4081.744,7576.839,3875.567,9861.969,3689.933,Total.SURVEY_LC1_2C1
    3.951987,  183.681889,   50.617079,   41.705451,    0.000000,    0.000000,   12.620303, 3009.163950,13575.048009, 4100.160820, 9922.997198, 4058.191191, 7646.570754, 4886.896914,Total.SURVEY_LC1_2C2
   4.046779,  54.593785,  45.332572,   0.000000,   0.000000,  13.185361,   0.000000,3144.446438,4963.545445,1714.988974,4138.770186,2190.186490,5920.883825,2854.878381,Total.SURVEY_LC1_2C3
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,131.82315, 58.75441, 45.08780,168.95129, 80.63683, 72.00243, 92.32549,Total.SURVEY_LC1_2D1
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,164.82300,236.09068, 72.64079,365.41053,158.86523,251.01525,187.27562,Total.SURVEY_LC1_2D2
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,823.2672,349.5865,219.1328,339.5819,508.8186,252.5433,378.0757,Total.SURVEY_LC1_2E1
    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000, 5634.469, 9701.201, 3648.119, 9397.851, 4718.753,13357.125, 7703.277,Total.SURVEY_LC1_2E2
   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000, 599.5358, 885.5727, 656.7526,1192.0187, 579.5558,1290.8683, 372.6759,Total.SURVEY_LC1_2E3
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,21.99274, 0.00000, 0.00000, 0.00000, 9.26597, 0.00000, 0.00000,Total.SURVEY_LC1_2F1
