PL21.No,PL22.No,PL41.No,PL42.No,PL43.No,PL51.No,PL52.No,PL61.No,PL62.No,PL63.No,PL71.No,PL72.No,PL81.No,PL82.No,PL84.No,PL91.No,PL92.No,PL21.Yes,PL22.Yes,PL41.Yes,PL42.Yes,PL43.Yes,PL51.Yes,PL52.Yes,PL61.Yes,PL62.Yes,PL63.Yes,PL71.Yes,PL72.Yes,PL81.Yes,PL82.Yes,PL84.Yes,PL91.Yes,PL92.Yes,variable
No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,flag_two
  309.1806,  597.9273, 6189.3674, 3701.6878, 1650.4019, 3825.0485, 2183.4165, 4883.1098, 3943.6350, 2168.7846,  682.7601,  230.8961, 2582.5806,  618.9549, 1041.0696,  225.8103, 2903.5535,14873.8194,11735.0727,23636.6326,18741.3122,12337.5981,16121.9515, 7228.5835,13088.8902,20067.3650,16001.2154,17536.2399,11478.1039,22540.4194,17227.0451,19145.9304, 5878.1897,26551.4465,Total.area
   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000, 759.7604,1087.4635,1258.1409, 514.2230, 547.4616, 800.9173, 272.9129, 578.1698, 531.6316, 719.0732, 818.5300, 381.3001, 745.9541, 992.6636, 513.7179, 580.4047,1072.6594,Total.SURVEY_LC1_1A
 309.1806, 589.9285,6088.9814,3597.2789,1616.9212,3729.0988,2183.4165,4879.0639,3914.1004,2160.6596, 682.7601, 230.8961,2582.5806, 605.7695,1041.0696, 225.8103,2890.9332,2235.4260,1985.5870,7521.6048,2670.9058,1190.9330,3800.4619,2595.3649,4053.6306,2524.2016,3501.0595,6949.3678,3405.5544,7265.3727,2382.0332,4706.3669, 720.6775,7980.7399,Total.SURVEY_LC1_1B
   0.000000,   7.998766, 100.385992, 104.408942,  33.480740,  95.949651,   0.000000,   4.045859,  29.534572,   8.125020,   0.000000,   0.000000,   0.000000,  13.185361,   0.000000,   0.000000,  12.620303,6578.016360,5391.811936,8701.535151,9785.296210,6856.606436,7011.172342,2885.721200,5270.747635,9117.724559,7250.133877,5726.480546,4397.463727,7405.640833,8840.109349,7183.673209,2579.406393,8852.301784,Total.SURVEY_LC1_1C
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,215.89104, 80.75511, 89.28183,167.43478, 38.12847,101.76922, 15.95937, 34.05642,311.95141,188.35399,142.15720, 97.34486,132.55431,115.62869, 74.83468, 91.20297,188.39814,Total.SURVEY_LC1_1D
   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,4389.663,2667.609,4431.839,3727.441,2777.079,3428.776,1095.229,2169.667,5540.633,3219.151,3314.486,2492.641,4843.453,4278.101,5778.983,1604.252,6849.777,Total.SURVEY_LC1_1E
   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000, 496.1399, 272.6853, 992.0375, 656.9707, 531.1794, 752.6696, 228.9048, 409.2833, 539.1631, 474.8673, 356.7681, 554.3471,1737.5392, 397.1782, 271.8572, 187.3194,1236.5145,Total.SURVEY_LC1_1F
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000, 160.91930, 212.11748, 485.13439, 680.02962, 232.51725, 142.11329, 117.47498, 445.99835,1091.38992, 531.61750, 123.35287,  89.94086, 215.62752, 178.04828, 235.27406,  94.99112, 228.30654,Total.SURVEY_LC1_1G
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 38.00294, 37.04332,157.05902,539.01054,163.69256, 84.07197, 17.01673,127.33715,410.66954,116.95899,105.09731, 59.51152,194.27772, 43.28269,381.22342, 19.93594,142.74903,Total.SURVEY_LC1_1H
  296.6449,  593.4235, 6181.1952, 3670.2278, 1650.4019, 3821.0841, 2183.4165, 4878.6306, 3943.6350, 2168.7846,  682.7601,  227.1066, 2582.5806,  618.9549, 1041.0696,  225.8103, 2903.5535,11578.6452, 8322.1845,19870.8724,14823.3408,10494.7778,13048.9275, 6306.4789,10352.2543,16267.2109,13227.1103,14587.4081, 9736.4800,19668.3151,13269.7563,16677.3003, 3530.2429,22818.8064,Total.SURVEY_LU1_1U1
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,65.07844,58.72925,63.57005,12.12338,10.49508,13.92732,26.19068,11.96171,11.80321,17.45642,13.58725,46.72279,24.49254,56.50232,14.06752,29.86780,58.06990,Total.SURVEY_LU1_1U2
   0.000000,   0.000000,   4.086093,  22.432993,   0.000000,   3.964426,   0.000000,   4.479180,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,1950.864802,2159.370335,2676.264780,2101.729626,1086.741618,1661.654544, 690.573531,1619.859710,1881.853872,1710.156658,1626.809383, 881.778523,1667.241815,1909.734943, 944.978667,1348.351755,2127.008850,Total.SURVEY_LU1_1U3
  12.535713,   4.503741,   4.086093,   9.027057,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   3.789548,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,1279.230923,1194.788601,1025.925372,1804.118381, 745.583634,1397.442130, 205.340338,1104.814475,1906.497042,1046.492032,1308.435172, 813.122535,1180.369954,1991.051577,1509.583844, 969.727315,1547.561345,Total.SURVEY_LU1_1U4
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,213.92435,331.42985,486.04603,129.18482, 95.74895,286.41283,101.21370,235.91185,162.74105,291.36334,214.68170,139.61922,266.06507,208.36147,114.77927,191.79880,403.89997,Total.SURVEY_LC1_2A1
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,480.9183,698.3157,690.2388,375.8220,424.1956,465.8960,171.6992,323.8999,368.8905,402.0682,569.4536,224.4835,444.2036,763.7776,388.9136,378.4670,553.1247,Total.SURVEY_LC1_2A2
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, 64.917781, 57.717982, 81.856088,  9.216164, 27.517002, 48.608482,  0.000000, 18.358008,  0.000000, 25.641664, 34.394643, 17.197399, 35.685471, 20.524562, 10.025112, 10.138919,115.634703,Total.SURVEY_LC1_2A3
   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,1427.9940,1447.7368,5917.7603,1755.9453, 839.9893,2472.3229,1859.3907,3028.8665,1722.0595,2193.2173,5074.7405,2169.0322,4051.8849,1682.4595,3953.3418, 496.1093,5766.2578,Total.SURVEY_LC1_2B1
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,162.96796, 57.66452,555.09476,166.04307, 38.41836,113.53244, 65.14034,295.80669, 64.08587,164.93570,375.58703,196.46624,244.23703,145.06974, 36.65158, 64.47577,237.06604,Total.SURVEY_LC1_2B2
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000, 174.66571, 247.82351, 513.69043, 549.13738, 159.28909, 941.42910, 533.82211, 454.75542, 427.51730, 665.23838, 464.73016, 352.32236,1708.15371, 250.19806, 258.28766,  33.06985, 517.28137,Total.SURVEY_LC1_2B3
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,116.77676, 99.62426,172.08933, 46.79689, 59.43991, 43.15405, 22.45173, 60.48776, 69.04572,144.15273,355.59028,160.22567,281.55659, 59.33541, 65.15554, 17.79438,266.89800,Total.SURVEY_LC1_2B4
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000, 69.17013, 71.13898,257.54488, 96.45302, 84.99779,140.13296,106.00649,175.34217,207.34229,307.70803,280.95389,163.46238,229.19569, 64.50865,337.83808, 36.98633,429.98048,Total.SURVEY_LC1_2B5
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,239.640509, 53.519907, 83.597255, 32.053233,  4.636033, 75.476931,  8.553502, 38.372093, 19.893069, 25.807272,387.409876,359.787613,680.466618,156.078232, 50.578510, 72.241861,763.256232,Total.SURVEY_LC1_2B7
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,44.210993, 8.079068,21.827896,24.476924, 4.162568,14.413513, 0.000000, 0.000000,14.257877, 0.000000,10.356030, 4.257945,69.878204,24.383627, 4.513806, 0.000000, 0.000000,Total.SURVEY_LC1_2B8
 309.1806, 589.9285,6088.9814,3597.2789,1616.9212,3729.0988,2183.4165,4879.0639,3914.1004,2160.6596, 682.7601, 230.8961,2582.5806, 605.7695,1041.0696, 225.8103,2890.9332,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,Total.SURVEY_LC1_2Bx
   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,4121.275,1694.943,2500.031,2973.930,1330.884,3068.583,1013.161,1763.849,4003.474,1809.516,2379.437,1496.129,2920.443,4960.558,1980.968,1282.648,2407.284,Total.SURVEY_LC1_2C1
   0.000000,   3.951987,  75.907137,  78.073266,  29.701486,  50.617079,   0.000000,   4.045859,  29.534572,   8.125020,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,  12.620303, 865.101533,2144.062417,4782.663887,4539.001627,4253.382495,3038.781727,1061.379093,2994.137728,3282.704096,3646.155373,2328.917189,1729.274002,2473.059954,2187.255750,2986.255049, 643.203644,4243.693270,Total.SURVEY_LC1_2C2
