PT0.No,PT0.Yes,variable
No,Yes,flag_two
 6307.288,82795.712,Total.area
  72.09577,5714.91330,Total.SURVEY_LC1_1A
 2259.379,12188.144,Total.SURVEY_LC1_1B
 2534.629,28949.516,Total.SURVEY_LC1_1C
  645.1307,15208.0068,Total.SURVEY_LC1_1D
  725.3976,14522.4212,Total.SURVEY_LC1_1E
  37.05781,4681.28569,Total.SURVEY_LC1_1F
  33.59915,1329.62740,Total.SURVEY_LC1_1G
  0.0000,201.7967,Total.SURVEY_LC1_1H
 5498.218,57099.863,Total.SURVEY_LU1_1U1
  0.0000,445.2488,Total.SURVEY_LU1_1U2
  90.53469,6214.80182,Total.SURVEY_LU1_1U3
  718.5355,19035.7978,Total.SURVEY_LU1_1U4
  40.19372,1585.69464,Total.SURVEY_LC1_2A1
  25.87536,3938.57717,Total.SURVEY_LC1_2A2
  0.0000,190.6415,Total.SURVEY_LC1_2A3
6.026691,0.000000,Total.SURVEY_LC1_2Ax
   0.000,2015.017,Total.SURVEY_LC1_2B1
  0.0000,138.2042,Total.SURVEY_LC1_2B2
 0.00000,19.85009,Total.SURVEY_LC1_2B3
  0.0000,383.9008,Total.SURVEY_LC1_2B4
  0.00,921.43,Total.SURVEY_LC1_2B5
   0.000,2065.736,Total.SURVEY_LC1_2B7
   0.000,6644.006,Total.SURVEY_LC1_2B8
2259.379,   0.000,Total.SURVEY_LC1_2Bx
 1532.753,21071.737,Total.SURVEY_LC1_2C1
 220.2567,5489.3846,Total.SURVEY_LC1_2C2
  23.32406,2388.39431,Total.SURVEY_LC1_2C3
758.2947,  0.0000,Total.SURVEY_LC1_2Cx
 185.2648,5876.5727,Total.SURVEY_LC1_2D1
 310.5349,9331.4341,Total.SURVEY_LC1_2D2
149.331,  0.000,Total.SURVEY_LC1_2Dx
 246.6604,3072.1414,Total.SURVEY_LC1_2E1
 443.6938,7851.6997,Total.SURVEY_LC1_2E2
  22.62124,3598.58014,Total.SURVEY_LC1_2E3
12.42219, 0.00000,Total.SURVEY_LC1_2Ex
  27.85268,1223.44126,Total.SURVEY_LC1_2F1
  0.0000,112.3916,Total.SURVEY_LC1_2F2
   9.205125,3345.452859,Total.SURVEY_LC1_2F4
  4.452538,701.875233,Total.SURVEY_LC1_2G1
 20.41628,591.34649,Total.SURVEY_LC1_2G2
 0.0000,27.9611,Total.SURVEY_LC1_2G3
0.00000,8.44457,Total.SURVEY_LC1_2G4
8.73034,0.00000,Total.SURVEY_LC1_2Gx
 0.000,42.062,Total.SURVEY_LC1_2H1
  0.0000,159.7347,Total.SURVEY_LC1_2H2
 3052.136,25116.678,Total.SURVEY_LU1_2U11
 2432.295,31871.710,Total.SURVEY_LU1_2U12
 0.00000,34.65377,Total.SURVEY_LU1_2U13
13.78712,76.82053,Total.SURVEY_LU1_2U14
  0.0000,102.3256,Total.SURVEY_LU1_2U21
  0.0000,342.9233,Total.SURVEY_LU1_2U22
   4.689674,3235.455724,Total.SURVEY_LU1_2U31
10.45569,57.66884,Total.SURVEY_LU1_2U32
  0.0000,100.5093,Total.SURVEY_LU1_2U33
 0.00000,84.62718,Total.SURVEY_LU1_2U34
  9.121913,369.824878,Total.SURVEY_LU1_2U35
  8.837008,305.576026,Total.SURVEY_LU1_2U36
  57.43041,2061.13990,Total.SURVEY_LU1_2U37
  48.68996,2850.00880,Total.SURVEY_LU1_2U41
  669.8455,16185.7890,Total.SURVEY_LU1_2U42
   0.000,1454.085,Total.SURVEY_LC1_3A11
 0.00000,62.98108,Total.SURVEY_LC1_3A12
 0.00000,68.62821,Total.SURVEY_LC1_3A13
40.19372, 0.00000,Total.SURVEY_LC1_3A1x
   0.000,1232.447,Total.SURVEY_LC1_3A21
   0.00,2706.13,Total.SURVEY_LC1_3A22
25.87536, 0.00000,Total.SURVEY_LC1_3A2x
  0.0000,190.6415,Total.SURVEY_LC1_3A30
6.026691,0.000000,Total.SURVEY_LC1_3Axx
  0.0000,154.0445,Total.SURVEY_LC1_3B11
 0.00000,55.20273,Total.SURVEY_LC1_3B12
 0.00000,72.73947,Total.SURVEY_LC1_3B13
  0.0000,147.8996,Total.SURVEY_LC1_3B14
  0.0000,484.1541,Total.SURVEY_LC1_3B15
  0.0000,967.6994,Total.SURVEY_LC1_3B16
 0.00000,91.05797,Total.SURVEY_LC1_3B17
 0.00000,35.74722,Total.SURVEY_LC1_3B18
0.000000,6.472007,Total.SURVEY_LC1_3B19
 0.00000,57.70935,Total.SURVEY_LC1_3B21
 0.00000,80.49485,Total.SURVEY_LC1_3B23
 0.00000,19.85009,Total.SURVEY_LC1_3B31
 0.00000,10.50136,Total.SURVEY_LC1_3B41
  0.0000,109.1013,Total.SURVEY_LC1_3B42
  0.0000,255.7393,Total.SURVEY_LC1_3B43
0.000000,8.558806,Total.SURVEY_LC1_3B44
  0.0000,292.3223,Total.SURVEY_LC1_3B53
 0.00000,54.99607,Total.SURVEY_LC1_3B54
  0.0000,574.1117,Total.SURVEY_LC1_3B55
  0.0000,149.7263,Total.SURVEY_LC1_3B71
  0.000,194.319,Total.SURVEY_LC1_3B72
 0.0000,34.8733,Total.SURVEY_LC1_3B73
  0.0000,927.4212,Total.SURVEY_LC1_3B74
  0.0000,439.8626,Total.SURVEY_LC1_3B75
  0.0000,292.9364,Total.SURVEY_LC1_3B76
 0.00000,26.59746,Total.SURVEY_LC1_3B77
   0.00,4572.55,Total.SURVEY_LC1_3B81
   0.000,1918.931,Total.SURVEY_LC1_3B82
0.000000,4.331957,Total.SURVEY_LC1_3B83
  0.0000,148.1926,Total.SURVEY_LC1_3B84
1288.506,   0.000,Total.SURVEY_LC1_3Bx1
939.5498,  0.0000,Total.SURVEY_LC1_3Bx2
31.32244, 0.00000,Total.SURVEY_LC1_3Bxx
    0.00,21071.74,Total.SURVEY_LC1_3C10
1532.753,   0.000,Total.SURVEY_LC1_3C1x
 0.00000,20.64403,Total.SURVEY_LC1_3C21
   0.000,5327.732,Total.SURVEY_LC1_3C22
  0.0000,141.0083,Total.SURVEY_LC1_3C23
220.2567,  0.0000,Total.SURVEY_LC1_3C2x
 0.00000,14.40079,Total.SURVEY_LC1_3C31
   0.000,1512.054,Total.SURVEY_LC1_3C32
  0.0000,861.9395,Total.SURVEY_LC1_3C33
23.32406, 0.00000,Total.SURVEY_LC1_3C3x
758.2947,  0.0000,Total.SURVEY_LC1_3Cxx
   0.000,5876.573,Total.SURVEY_LC1_3D10
185.2648,  0.0000,Total.SURVEY_LC1_3D1x
   0.000,9331.434,Total.SURVEY_LC1_3D20
310.5349,  0.0000,Total.SURVEY_LC1_3D2x
149.331,  0.000,Total.SURVEY_LC1_3Dxx
   0.000,3072.141,Total.SURVEY_LC1_3E10
246.6604,  0.0000,Total.SURVEY_LC1_3E1x
   0.0,7851.7,Total.SURVEY_LC1_3E20
443.6938,  0.0000,Total.SURVEY_LC1_3E2x
   0.00,3598.58,Total.SURVEY_LC1_3E30
22.62124, 0.00000,Total.SURVEY_LC1_3E3x
12.42219, 0.00000,Total.SURVEY_LC1_3Exx
   0.000,1223.441,Total.SURVEY_LC1_3F10
27.85268, 0.00000,Total.SURVEY_LC1_3F1x
  0.0000,112.3916,Total.SURVEY_LC1_3F20
   0.000,3345.453,Total.SURVEY_LC1_3F40
9.205125,0.000000,Total.SURVEY_LC1_3F4x
4.452538,0.000000,Total.SURVEY_LC1_3G10
  0.000,688.198,Total.SURVEY_LC1_3G11
 0.00000,13.67722,Total.SURVEY_LC1_3G12
  0.0000,591.3465,Total.SURVEY_LC1_3G21
20.41628, 0.00000,Total.SURVEY_LC1_3G2x
 0.0000,27.9611,Total.SURVEY_LC1_3G30
0.00000,8.44457,Total.SURVEY_LC1_3G40
8.73034,0.00000,Total.SURVEY_LC1_3Gxx
 0.000,42.062,Total.SURVEY_LC1_3H11
 0.0000,72.0182,Total.SURVEY_LC1_3H21
