PT11.No,PT15.No,PT19.No,PT1A.No,PT1B.No,PT1C.No,PT1D.No,PT11.Yes,PT15.Yes,PT19.Yes,PT1A.Yes,PT1B.Yes,PT1C.Yes,PT1D.Yes,variable
No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,flag_two
  444.8810,  423.0382, 1446.8932,  211.4097,  131.6824, 3014.8181,  634.5655,20842.1190, 4573.9618,21827.1068, 1178.5903, 1493.3176,24314.1819, 8566.4345,Total.area
  15.670770,   4.461299,   8.958816,   8.095125,   0.000000,  34.909761,   0.000000,1732.572433, 305.558205,1515.198105, 257.525395, 275.710869, 768.581334, 859.766955,Total.SURVEY_LC1_1A
 218.11998, 113.42504, 310.85665, 106.84362,  76.17663,1076.66148, 357.29510,3850.64793, 644.99107,2625.22332, 127.84553, 172.90113,2986.77506,1779.76041,Total.SURVEY_LC1_1B
   80.83636,  247.95947,  389.70356,   79.63851,   27.92520, 1478.60981,  229.95594, 5596.60896,  853.23970, 7911.85921,  157.24403,  488.73496,10409.78864, 3532.04065,Total.SURVEY_LC1_1C
  58.974821,  39.779321, 451.833145,   4.267405,   9.668211,  69.162594,  11.445154,5320.626334,1816.879795,5187.400944, 196.482121,  97.389894,1942.527745, 646.699954,Total.SURVEY_LC1_1D
  60.26550,  17.41308, 230.35026,  12.56506,  17.91239, 351.02194,  35.86935,2765.59792, 535.00259,3075.98958, 325.85794, 300.87089,6415.45331,1103.64896,Total.SURVEY_LC1_1E
   6.619737,   0.000000,  30.438072,   0.000000,   0.000000,   0.000000,   0.000000,1281.612882, 262.850484,1213.165064,  78.926188, 102.930715,1221.881097, 519.919263,Total.SURVEY_LC1_1F
  4.393884,  0.000000, 24.752732,  0.000000,  0.000000,  4.452538,  0.000000,276.273375, 98.611910,209.908369, 19.891977, 40.589025,564.480654,119.872087,Total.SURVEY_LC1_1G
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,18.179118,56.828033,88.362181,14.817100,14.190084, 4.694029, 4.726180,Total.SURVEY_LC1_1H
  369.0036,  305.6919, 1041.6657,  179.3194,  114.7491, 2895.2649,  592.5236,11752.1329, 2356.6272,14536.9138,  507.4566,  949.1439,20746.2719, 6251.3171,Total.SURVEY_LU1_1U1
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,187.48875,  0.00000,108.89816,  0.00000, 17.53971, 30.65847,100.66376,Total.SURVEY_LU1_1U2
  10.226955,   0.000000,   8.958816,  21.565675,   0.000000,  34.909761,  14.873485,1969.716254, 355.976490,1521.834751, 360.678118, 320.114293, 756.751501, 929.730412,Total.SURVEY_LU1_1U3
  65.65053, 117.34626, 396.26874,  10.52466,  16.93330,  84.64351,  27.16849,6932.78108,1861.35813,5659.46009, 310.45557, 206.51971,2780.50005,1284.72321,Total.SURVEY_LU1_1U4
