No,Yes,variable
 67786.26,170611.74,Total.area
   0.000,6772.584,Total.SURVEY_LC1_1A
43726.63,32818.82,Total.SURVEY_LC1_1B
24045.86,59697.86,Total.SURVEY_LC1_1C
   4.019692,6581.318889,Total.SURVEY_LC1_1D
    5.519323,50482.887816,Total.SURVEY_LC1_1E
   4.236936,7349.707314,Total.SURVEY_LC1_1F
   0.000,3627.179,Total.SURVEY_LC1_1G
   0.000,3281.377,Total.SURVEY_LC1_1H
 67750.19,147964.21,Total.SURVEY_LU1_1U1
  0.0000,314.4296,Total.SURVEY_LU1_1U2
   8.09015,9606.72794,Total.SURVEY_LU1_1U3
   27.98151,12726.37205,Total.SURVEY_LU1_1U4
   0.000,2184.219,Total.SURVEY_LC1_2A1
   0.000,4334.798,Total.SURVEY_LC1_2A2
  0.0000,253.5674,Total.SURVEY_LC1_2A3
    0.00,19117.36,Total.SURVEY_LC1_2B1
  0.0000,369.6465,Total.SURVEY_LC1_2B2
   0.000,7496.458,Total.SURVEY_LC1_2B3
  0.0000,335.4242,Total.SURVEY_LC1_2B4
   0.000,3123.416,Total.SURVEY_LC1_2B5
   0.000,1639.171,Total.SURVEY_LC1_2B7
  0.000,737.343,Total.SURVEY_LC1_2B8
43726.63,    0.00,Total.SURVEY_LC1_2Bx
   15.14567,49436.56509,Total.SURVEY_LC1_2C1
6383.685,6300.404,Total.SURVEY_LC1_2C2
17647.024, 3960.892,Total.SURVEY_LC1_2C3
   4.019692,3392.516980,Total.SURVEY_LC1_2D1
   0.000,3188.802,Total.SURVEY_LC1_2D2
    0.00,10139.28,Total.SURVEY_LC1_2E1
    0.00,35156.08,Total.SURVEY_LC1_2E2
   5.519323,5187.527217,Total.SURVEY_LC1_2E3
  0.0000,309.9705,Total.SURVEY_LC1_2F1
 0.00000,84.79405,Total.SURVEY_LC1_2F2
0.000000,7.996292,Total.SURVEY_LC1_2F3
   4.236936,6946.946438,Total.SURVEY_LC1_2F4
   0.000,1818.853,Total.SURVEY_LC1_2G1
   0.000,1808.326,Total.SURVEY_LC1_2G2
   0.000,3281.377,Total.SURVEY_LC1_2H1
43711.13,86427.34,Total.SURVEY_LU1_2U11
24029.16,59565.00,Total.SURVEY_LU1_2U12
   0.00,1695.85,Total.SURVEY_LU1_2U13
  9.904207,260.845225,Total.SURVEY_LU1_2U14
 0.00000,15.16919,Total.SURVEY_LU1_2U15
  0.0000,176.8459,Total.SURVEY_LU1_2U21
  0.0000,137.5837,Total.SURVEY_LU1_2U22
   0.000,4396.504,Total.SURVEY_LU1_2U31
  0.0000,129.2222,Total.SURVEY_LU1_2U32
  0.0000,119.2011,Total.SURVEY_LU1_2U33
