RO11.No,RO12.No,RO21.No,RO22.No,RO31.No,RO32.No,RO41.No,RO42.No,RO11.Yes,RO12.Yes,RO21.Yes,RO22.Yes,RO31.Yes,RO32.Yes,RO41.Yes,RO42.Yes,variable
No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,flag_two
 7082.1205, 6220.4428, 9299.6220,15532.7968,12718.7802,  281.8255, 8956.5729, 7694.1034,27077.8795,27871.5572,27553.3780,20241.2032,21748.2198, 1522.1745,20249.4271,24347.8966,Total.area
   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000, 926.2999, 879.4053,1000.6769, 916.3230,1184.8024, 302.2012, 781.5105, 781.3651,Total.SURVEY_LC1_1A
 2980.6852, 1505.3899, 4127.8456,12105.4003,11398.9867,  277.7091, 6473.8312, 4856.7853, 4050.7785, 3168.2404, 7551.8442, 5043.1980, 5633.4022,  436.6804, 3770.1526, 3164.5231,Total.SURVEY_LC1_1B
 4101.435284, 4715.052921, 5171.776433, 3421.877210, 1315.556643,    4.116418, 2478.721937, 2837.318182, 9825.620721,12220.875143, 8408.758146, 2806.798370, 6421.369443,  272.894481, 7967.776830,11773.768162,Total.SURVEY_LC1_1C
   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   4.019692,   0.000000,1492.412720,1025.554670,1065.185913, 461.721148, 573.284410,  42.144577, 981.876211, 939.139240,Total.SURVEY_LC1_1D
    0.000000,    0.000000,    0.000000,    5.519323,    0.000000,    0.000000,    0.000000,    0.000000, 9994.293836,10202.829674, 8508.752847, 5216.425121, 5556.674420,  276.961693, 5328.731984, 5398.218241,Total.SURVEY_LC1_1E
   0.000000,   0.000000,   0.000000,   0.000000,   4.236936,   0.000000,   0.000000,   0.000000, 558.422934, 141.340494, 477.087072,1681.272848,1676.545664, 119.494636, 695.764541,1999.779125,Total.SURVEY_LC1_1F
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000, 155.00932, 154.78359, 330.66194,1674.55786, 516.52709,  39.79897, 584.41925, 171.42141,Total.SURVEY_LC1_1G
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  75.04156,  78.52794, 210.41093,2440.90679, 185.61413,  31.99857, 139.19515, 119.68217,Total.SURVEY_LC1_1H
 7078.6149, 6211.9582, 9299.6220,15527.2775,12714.5433,  281.8255, 8956.5729, 7679.7782,23980.1729,25270.6969,24926.6949,14896.5758,18941.0924, 1036.3329,17065.0905,21847.5500,Total.SURVEY_LU1_1U1
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,34.006112,31.194686,25.050597,32.873605,83.695524, 4.189903,90.716658,12.702490,Total.SURVEY_LU1_1U2
   0.000000,   3.857292,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   4.232858,1339.916583,1132.137057,1307.608590,1544.161908,1575.666732, 371.007820,1297.756874,1038.472372,Total.SURVEY_LU1_1U3
   3.505551,   4.627307,   0.000000,   5.519323,   4.236936,   0.000000,   0.000000,  10.092397,1723.783922,1437.528597,1294.023836,3767.591850,1147.765147, 110.643881,1795.863086,1449.171735,Total.SURVEY_LU1_1U4
  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,302.71318,297.36710,285.52815,263.29689,360.28019, 84.61093,339.94581,250.47658,Total.SURVEY_LC1_2A1
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,537.3820,552.9140,694.1188,624.3273,797.1163,209.2105,409.5839,510.1454,Total.SURVEY_LC1_2A2
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,86.204717,29.124212,21.029990,28.698823,27.405949, 8.379807,31.980792,20.743148,Total.SURVEY_LC1_2A3
   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,2350.7675,1919.0532,4355.8093,2847.2177,3335.4384, 201.3676,1982.2575,2125.4489,Total.SURVEY_LC1_2B1
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000, 24.261773,138.238846,159.845300, 13.252789, 25.482947,  0.000000,  0.000000,  8.564888,Total.SURVEY_LC1_2B2
   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000, 682.1707, 326.5907,2109.6189,1214.5415,1571.2256, 167.7003, 855.0763, 569.5345,Total.SURVEY_LC1_2B3
