No,Yes,variable
 31820.17,415599.74,Total.area
   0.000,8274.987,Total.SURVEY_LC1_1A
 2237.055,14395.230,Total.SURVEY_LC1_1B
 29466.3,246892.6,Total.SURVEY_LC1_1C
   64.49376,34945.89862,Total.SURVEY_LC1_1D
   44.10567,25707.94993,Total.SURVEY_LC1_1E
    4.149324,19273.021211,Total.SURVEY_LC1_1F
    4.067057,39721.012048,Total.SURVEY_LC1_1G
    0.00,26389.04,Total.SURVEY_LC1_1H
 24457.44,259300.54,Total.SURVEY_LU1_1U1
   0.000,1829.244,Total.SURVEY_LU1_1U2
 1019.111,51085.105,Total.SURVEY_LU1_1U3
  6343.614,103384.853,Total.SURVEY_LU1_1U4
   0.000,1607.266,Total.SURVEY_LC1_2A1
   0.000,5852.908,Total.SURVEY_LC1_2A2
  0.0000,814.8134,Total.SURVEY_LC1_2A3
   0.000,8204.983,Total.SURVEY_LC1_2B1
  0.000,514.981,Total.SURVEY_LC1_2B2
   0.000,1090.168,Total.SURVEY_LC1_2B3
  0.0000,505.7823,Total.SURVEY_LC1_2B4
   0.000,3920.164,Total.SURVEY_LC1_2B5
  0.0000,112.1184,Total.SURVEY_LC1_2B7
 0.000,47.032,Total.SURVEY_LC1_2B8
2237.055,   0.000,Total.SURVEY_LC1_2Bx
    0.00,25016.96,Total.SURVEY_LC1_2C1
 13559.98,143495.38,Total.SURVEY_LC1_2C2
15632.21,78380.27,Total.SURVEY_LC1_2C3
274.104,  0.000,Total.SURVEY_LC1_2Cx
   0.000,7997.108,Total.SURVEY_LC1_2D1
    9.887058,26948.790640,Total.SURVEY_LC1_2D2
54.6067, 0.0000,Total.SURVEY_LC1_2Dx
  15.54129,4424.00870,Total.SURVEY_LC1_2E1
   16.53217,16290.24855,Total.SURVEY_LC1_2E2
   0.000,4993.693,Total.SURVEY_LC1_2E3
12.03221, 0.00000,Total.SURVEY_LC1_2Ex
   0.000,7007.225,Total.SURVEY_LC1_2F1
