SE1.No,SE2.No,SE3.No,SE1.Yes,SE2.Yes,SE3.Yes,variable
No,No,No,Yes,Yes,Yes,flag_two
  2516.242,  2336.007, 26967.918, 47790.758, 82344.903,285464.082,Total.area
   0.000,   0.000,   0.000,1670.231,3230.440,3374.316,Total.SURVEY_LC1_1A
 799.6812, 963.9112, 473.4622,3985.5952,8992.0996,1417.5348,Total.SURVEY_LC1_1B
  1684.829,  1347.372, 26434.095, 27951.089, 46241.001,172700.515,Total.SURVEY_LC1_1C
    0.000000,    4.132987,   60.360768, 1003.637053, 1738.297877,32203.963687,Total.SURVEY_LC1_1D
   27.58244,   16.52324,    0.00000, 5944.62140,11448.83972, 8314.48881,Total.SURVEY_LC1_1E
    4.149324,    0.000000,    0.000000, 1118.187940,  917.663240,17237.170031,Total.SURVEY_LC1_1F
    0.000000,    4.067057,    0.000000, 5208.731912, 8344.838105,26167.442032,Total.SURVEY_LC1_1G
    0.000,    0.000,    0.000,  908.665, 1431.724,24048.652,Total.SURVEY_LC1_1H
  2370.280,  2229.236, 19857.924, 36145.627, 61812.478,161342.438,Total.SURVEY_LU1_1U1
   0.00000,   0.00000,   0.00000,  43.38196, 181.03722,1604.82484,Total.SURVEY_LU1_1U2
   36.92550,   19.46028,  962.72515, 7273.70479,13468.68820,30342.71156,Total.SURVEY_LU1_1U3
  109.03567,   87.31023, 6147.26825, 4328.04461, 6882.70000,92174.10825,Total.SURVEY_LU1_1U4
  0.0000,  0.0000,  0.0000,458.2361,734.1087,414.9209,Total.SURVEY_LC1_2A1
   0.000,   0.000,   0.000,1068.639,2285.091,2499.177,Total.SURVEY_LC1_2A2
  0.0000,  0.0000,  0.0000,143.3557,211.2398,460.2180,Total.SURVEY_LC1_2A3
   0.0000,   0.0000,   0.0000,2551.4096,5100.2594, 553.3139,Total.SURVEY_LC1_2B1
  0.00000,  0.00000,  0.00000, 17.15355,470.54646, 27.28100,Total.SURVEY_LC1_2B2
  0.00000,  0.00000,  0.00000,307.02781,757.26067, 25.87987,Total.SURVEY_LC1_2B3
  0.000000,  0.000000,  0.000000,176.747074,320.389452,  8.645815,Total.SURVEY_LC1_2B4
   0.0000,   0.0000,   0.0000, 882.0462,2243.9031, 794.2151,Total.SURVEY_LC1_2B5
 0.000000, 0.000000, 0.000000,24.762158,79.157246, 8.199002,Total.SURVEY_LC1_2B7
 0.00000, 0.00000, 0.00000,26.44875,20.58325, 0.00000,Total.SURVEY_LC1_2B8
799.6812,963.9112,473.4622,  0.0000,  0.0000,  0.0000,Total.SURVEY_LC1_2Bx
    0.000,    0.000,    0.000, 4192.169, 8351.042,12473.745,Total.SURVEY_LC1_2C1
   755.2161,   418.7498, 12386.0113, 15977.0896, 23734.8018,103783.4881,Total.SURVEY_LC1_2C2
  925.4135,  900.9580,13805.8428, 7781.8301,14155.1574,56443.2815,Total.SURVEY_LC1_2C3
  4.199141, 27.664231,242.240603,  0.000000,  0.000000,  0.000000,Total.SURVEY_LC1_2Cx
   0.0000,   0.0000,   0.0000, 633.4200, 836.7751,6526.9129,Total.SURVEY_LC1_2D1
    0.000000,    4.132987,    5.754071,  370.217075,  901.522753,25677.050812,Total.SURVEY_LC1_2D2
 0.0000, 0.0000,54.6067, 0.0000, 0.0000, 0.0000,Total.SURVEY_LC1_2Dx
  11.400908,   4.140385,   0.000000, 934.315747,2519.185290, 970.507661,Total.SURVEY_LC1_2E1
   4.149324,  12.382851,   0.000000,3874.116647,7532.327613,4883.804293,Total.SURVEY_LC1_2E2
   0.000,   0.000,   0.000,1136.189,1397.327,2460.177,Total.SURVEY_LC1_2E3
12.03221, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,Total.SURVEY_LC1_2Ex
   0.00000,   0.00000,   0.00000,  76.76467, 213.62127,6716.83946,Total.SURVEY_LC1_2F1
  0.00000,  0.00000,  0.00000, 31.14503, 44.92341,179.99347,Total.SURVEY_LC1_2F2
   4.149324,   0.000000,   0.000000, 161.655327, 108.721915,9157.352032,Total.SURVEY_LC1_2F3
   0.0000,   0.0000,   0.0000, 848.6229, 550.3967,1182.9851,Total.SURVEY_LC1_2F4
    0.000,    0.000,    0.000, 5109.900, 8148.029,23587.122,Total.SURVEY_LC1_2G1
   0.000000,   4.067057,   0.000000,  82.339517, 172.077046,1951.386404,Total.SURVEY_LC1_2G2
 0.000000, 0.000000, 0.000000,16.492465,24.731837, 8.027643,Total.SURVEY_LC1_2G4
  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,620.9063,Total.SURVEY_LC1_2G5
    0.0000,    0.0000,    0.0000,  904.4659, 1423.5851,24044.6794,Total.SURVEY_LC1_2H1
0.000000,0.000000,0.000000,4.199141,8.138386,3.972573,Total.SURVEY_LC1_2H2
  819.3807,  980.3611,  473.4622, 8094.4828,17115.3350, 4736.9342,Total.SURVEY_LU1_2U11
  1550.900,  1248.875, 19384.462, 27130.135, 44548.452,156207.481,Total.SURVEY_LU1_2U12
  0.00000,  0.00000,  0.00000,845.25071, 53.80559,137.57140,Total.SURVEY_LU1_2U13
  0.00000,  0.00000,  0.00000, 75.75816, 94.88483,192.22435,Total.SURVEY_LU1_2U14
 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,68.2269,Total.SURVEY_LU1_2U15
   0.00000,   0.00000,   0.00000,  23.10458,  26.15958,1541.28459,Total.SURVEY_LU1_2U21
  0.00000,  0.00000,  0.00000, 20.27739,154.87764, 63.54025,Total.SURVEY_LU1_2U22
  12.03221,   0.00000,   0.00000,2323.24682,5866.45316,6662.09986,Total.SURVEY_LU1_2U31
 0.000000, 0.000000, 0.000000,45.645780,26.895747, 8.018729,Total.SURVEY_LU1_2U32
 0.000000, 0.000000, 0.000000,45.595014,63.962802, 4.280899,Total.SURVEY_LU1_2U33
  0.0000,  0.0000,  0.0000,101.9280,120.5441,108.6355,Total.SURVEY_LU1_2U34
  20.69415,  15.38233, 704.87926, 253.56606, 567.02995,5718.45468,Total.SURVEY_LU1_2U35
    0.0000,    0.0000,  257.8459, 2840.9187, 4883.7018,16252.6626,Total.SURVEY_LU1_2U36
   4.199141,   4.077953,   0.000000,1662.804485,1940.100567,1588.559195,Total.SURVEY_LU1_2U37
  0.00000,  0.00000,  0.00000, 21.08615, 42.13097,126.63372,Total.SURVEY_LU1_2U41
  109.03567,   87.31023, 6147.26825, 4306.95846, 6840.56903,92047.47453,Total.SURVEY_LU1_2U42
  0.0000,  0.0000,  0.0000,400.9299,701.9987,394.5502,Total.SURVEY_LC1_3A11
 0.00000, 0.00000, 0.00000,57.30623,20.10938,20.37064,Total.SURVEY_LC1_3A12
 0.00000, 0.00000, 0.00000, 0.00000,12.00071, 0.00000,Total.SURVEY_LC1_3A13
  0.0000,  0.0000,  0.0000,340.2215,761.0984,386.0142,Total.SURVEY_LC1_3A21
   0.0000,   0.0000,   0.0000, 728.4178,1523.9928,2113.1631,Total.SURVEY_LC1_3A22
  0.0000,  0.0000,  0.0000,143.3557,211.2398,460.2180,Total.SURVEY_LC1_3A30
   0.0000,   0.0000,   0.0000,1694.5441,2188.5303, 160.9154,Total.SURVEY_LC1_3B11
 0.000000, 0.000000, 0.000000, 8.508493,93.600164,12.004774,Total.SURVEY_LC1_3B12
   0.000,   0.000,   0.000, 383.243,1591.282, 215.196,Total.SURVEY_LC1_3B13
  0.0000,  0.0000,  0.0000,155.9900,116.3274, 11.4528,Total.SURVEY_LC1_3B14
  0.0000,  0.0000,  0.0000,269.9295,716.1133,149.9056,Total.SURVEY_LC1_3B15
  0.000000,  0.000000,  0.000000,  4.076046,263.094052,  3.839372,Total.SURVEY_LC1_3B16
  0.00000,  0.00000,  0.00000, 35.11859,131.31180,  0.00000,Total.SURVEY_LC1_3B18
  0.00000,  0.00000,  0.00000, 17.15355,160.53347, 27.28100,Total.SURVEY_LC1_3B21
  0.0000,  0.0000,  0.0000,  0.0000,262.6335,  0.0000,Total.SURVEY_LC1_3B22
 0.0000, 0.0000, 0.0000, 0.0000,47.3795, 0.0000,Total.SURVEY_LC1_3B23
  0.00000,  0.00000,  0.00000,268.75881,745.54369, 25.87987,Total.SURVEY_LC1_3B32
 0.00000, 0.00000, 0.00000,38.26901,11.71698, 0.00000,Total.SURVEY_LC1_3B35
  0.000000,  0.000000,  0.000000,176.747074,256.817478,  8.645815,Total.SURVEY_LC1_3B41
 0.00000, 0.00000, 0.00000, 0.00000,37.71343, 0.00000,Total.SURVEY_LC1_3B43
0.000000,0.000000,0.000000,0.000000,3.940046,0.000000,Total.SURVEY_LC1_3B44
 0.0000, 0.0000, 0.0000, 0.0000,21.9185, 0.0000,Total.SURVEY_LC1_3B45
  0.00000,  0.00000,  0.00000,196.83971,141.49001, 40.70176,Total.SURVEY_LC1_3B51
 0.00000, 0.00000, 0.00000,21.11545,14.53409, 0.00000,Total.SURVEY_LC1_3B52
  0.00000,  0.00000,  0.00000, 76.56621,270.07271,292.98709,Total.SURVEY_LC1_3B53
 0.000000, 0.000000, 0.000000,25.685069,20.820220, 3.848526,Total.SURVEY_LC1_3B54
   0.0000,   0.0000,   0.0000, 561.8398,1796.9860, 456.6778,Total.SURVEY_LC1_3B55
 0.00000, 0.00000, 0.00000,20.61239,75.02368, 0.00000,Total.SURVEY_LC1_3B71
0.000000,0.000000,0.000000,4.149773,0.000000,0.000000,Total.SURVEY_LC1_3B73
0.000000,0.000000,0.000000,0.000000,4.133563,8.199002,Total.SURVEY_LC1_3B75
 0.00000, 0.00000, 0.00000,26.44875,20.58325, 0.00000,Total.SURVEY_LC1_3B84
795.7193,963.9112,468.2837,  0.0000,  0.0000,  0.0000,Total.SURVEY_LC1_3Bx1
0.000000,0.000000,5.178507,0.000000,0.000000,0.000000,Total.SURVEY_LC1_3Bx2
3.961899,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_3Bxx
    0.000,    0.000,    0.000, 4192.169, 8351.042,12473.745,Total.SURVEY_LC1_3C10
    0.000,    0.000,    0.000, 6069.394,12587.537,32358.100,Total.SURVEY_LC1_3C21
    0.000,    0.000,    0.000, 7901.862, 8882.267,63906.309,Total.SURVEY_LC1_3C22
   0.000,   0.000,   0.000,2005.834,2264.997,7519.079,Total.SURVEY_LC1_3C23
  755.2161,  418.7498,12386.0113,    0.0000,    0.0000,    0.0000,Total.SURVEY_LC1_3C2x
    0.000,    0.000,    0.000, 4337.835, 9020.321,25187.231,Total.SURVEY_LC1_3C31
    0.000,    0.000,    0.000, 2172.484, 3273.697,21916.084,Total.SURVEY_LC1_3C32
   0.000,   0.000,   0.000,1271.511,1861.140,9339.966,Total.SURVEY_LC1_3C33
  925.4135,  900.9580,13805.8428,    0.0000,    0.0000,    0.0000,Total.SURVEY_LC1_3C3x
  4.199141, 27.664231,242.240603,  0.000000,  0.000000,  0.000000,Total.SURVEY_LC1_3Cxx
   0.0000,   0.0000,   0.0000, 633.4200, 836.7751,6526.9129,Total.SURVEY_LC1_3D10
    0.0000,    0.0000,    0.0000,  370.2171,  901.5228,25677.0508,Total.SURVEY_LC1_3D20
0.000000,4.132987,5.754071,0.000000,0.000000,0.000000,Total.SURVEY_LC1_3D2x
 0.0000, 0.0000,54.6067, 0.0000, 0.0000, 0.0000,Total.SURVEY_LC1_3Dxx
