SE11.No,SE12.No,SE21.No,SE22.No,SE23.No,SE31.No,SE32.No,SE33.No,SE11.Yes,SE12.Yes,SE21.Yes,SE22.Yes,SE23.Yes,SE31.Yes,SE32.Yes,SE33.Yes,variable
No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,flag_two
   216.5431,  2299.6985,  1445.5128,   150.7414,   739.7523,  6713.4192,  6578.7184, 13675.7800,  6936.4569, 40854.3015, 34429.3969, 14190.2586, 33725.2477, 64926.5808, 70130.2816,150407.2200,Total.area
   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000, 583.6051,1086.6260,1055.2898, 781.7892,1393.3607,1377.9213, 793.1874,1203.2074,Total.SURVEY_LC1_1A
  43.91984, 755.76132, 285.61147,  98.38527, 579.91450, 275.54564, 152.83619,  45.08036, 412.84627,3572.74895,1805.11517,3663.28014,3523.70427, 741.13766, 303.42829, 372.96879,Total.SURVEY_LC1_1B
  172.62330, 1512.20537, 1147.52586,   52.35615,  147.48999, 6437.87351, 6376.62947,13619.59167, 3983.68033,23967.40844,22807.42258, 6112.28224,17321.29658,44378.55046,44458.22226,83863.74234,Total.SURVEY_LC1_1C
    0.000000,    0.000000,    4.132987,    0.000000,    0.000000,    0.000000,   49.252781,   11.107988,   95.121873,  908.515179,  889.857949,  242.629241,  605.810687, 3307.173830, 8519.730953,20377.058904,Total.SURVEY_LC1_1D
   0.000000,  27.582438,   8.242466,   0.000000,   8.280770,   0.000000,   0.000000,   0.000000, 981.685014,4962.936388,4186.944132,2641.057798,4620.837790,3302.988680,2111.101909,2900.398218,Total.SURVEY_LC1_1E
    0.000000,    4.149324,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,  177.046325,  941.141615,  333.763524,  187.203006,  396.696710, 1098.524872, 2654.309187,13484.335972,Total.SURVEY_LC1_1F
    0.000000,    0.000000,    0.000000,    0.000000,    4.067057,    0.000000,    0.000000,    0.000000,  607.608744, 4601.123168, 2632.265249,  449.320782, 5263.252074, 7817.278256, 5899.089506,12451.074269,Total.SURVEY_LC1_1G
    0.00000,    0.00000,    0.00000,    0.00000,    0.00000,    0.00000,    0.00000,    0.00000,   94.86319,  813.80185,  718.73844,  112.69613,  600.28893, 2903.00579, 5391.21203,15754.43412,Total.SURVEY_LC1_1H
  182.4070, 2187.8734, 1351.0386,  150.7414,  727.4560, 6179.9054, 5632.9709, 8045.0479, 4629.9652,31515.6619,27237.9335,11519.3627,23055.1816,46509.9091,43744.1723,71088.3563,Total.SURVEY_LU1_1U1
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  43.38196,  14.60110,  98.27553,  68.16059,  53.85972, 463.80271,1087.16242,Total.SURVEY_LU1_1U2
   12.894231,   24.031268,   15.382328,    0.000000,    4.077953,   36.665652,   76.590726,  849.468769, 1570.003000, 5703.701787, 3829.936161, 1782.150540, 7856.601497, 9353.007188, 5901.020280,15088.684087,Total.SURVEY_LU1_1U3
