SI03.No,SI04.No,SI03.Yes,SI04.Yes,variable
No,No,Yes,Yes,flag_two
  523.4417,  351.9690,11909.5583, 7488.0310,Total.area
  0.0000,  0.0000,460.8761,322.0834,Total.SURVEY_LC1_1A
 116.64149,  25.70918,1361.57994, 376.94380,Total.SURVEY_LC1_1B
 406.8002, 322.3683,6974.1187,4760.8705,Total.SURVEY_LC1_1C
  0.0000,  0.0000,172.7592,316.8945,Total.SURVEY_LC1_1D
   0.000000,   3.891527,2666.262810,1489.935598,Total.SURVEY_LC1_1E
  0.0000,  0.0000,144.9090,153.6876,Total.SURVEY_LC1_1F
  0.00000,  0.00000,125.01050, 55.19669,Total.SURVEY_LC1_1G
 0.000000, 0.000000, 4.041989,12.418912,Total.SURVEY_LC1_1H
  514.1137,  304.7445,10638.9472, 5852.2328,Total.SURVEY_LU1_1U1
 0.000000, 0.000000,11.762150, 7.309313,Total.SURVEY_LU1_1U2
  4.731654,  8.394203,794.442653,506.793876,Total.SURVEY_LU1_1U3
   4.596369,  38.830261, 464.406342,1121.694979,Total.SURVEY_LU1_1U4
  0.00000,  0.00000,122.99277, 93.16245,Total.SURVEY_LC1_2A1
  0.0000,  0.0000,313.9538,200.1853,Total.SURVEY_LC1_2A2
 0.00000, 0.00000,23.92955,28.73570,Total.SURVEY_LC1_2A3
  0.00000,  0.00000,834.61619, 78.29123,Total.SURVEY_LC1_2B1
 0.000000, 0.000000, 9.464617,16.052184,Total.SURVEY_LC1_2B2
 0.00000, 0.00000,49.77231,18.62075,Total.SURVEY_LC1_2B3
 0.00000, 0.00000,69.28821,15.94788,Total.SURVEY_LC1_2B4
  0.00000,  0.00000,134.93430, 62.57731,Total.SURVEY_LC1_2B5
  0.00000,  0.00000,193.75273, 99.74826,Total.SURVEY_LC1_2B7
 0.00000, 0.00000,69.75159,85.70618,Total.SURVEY_LC1_2B8
116.64149, 25.70918,  0.00000,  0.00000,Total.SURVEY_LC1_2Bx
   0.000,   0.000,3467.180,2539.167,Total.SURVEY_LC1_2C1
103.2329,163.5690,979.3643,607.1346,Total.SURVEY_LC1_2C2
 303.5673, 158.7992,2527.5747,1614.5687,Total.SURVEY_LC1_2C3
  0.0000,  0.0000,111.2506,172.8589,Total.SURVEY_LC1_2D1
  0.00000,  0.00000, 61.50866,144.03557,Total.SURVEY_LC1_2D2
  0.0000,  0.0000,362.1387,257.9534,Total.SURVEY_LC1_2E1
   0.000,   0.000,2197.189,1204.730,Total.SURVEY_LC1_2E2
  0.00000,  0.00000,106.93536, 27.25211,Total.SURVEY_LC1_2E3
0.000000,3.891527,0.000000,0.000000,Total.SURVEY_LC1_2Ex
  0.000000,  0.000000,  7.874104,122.834872,Total.SURVEY_LC1_2F1
  0.00000,  0.00000,137.03494, 30.85275,Total.SURVEY_LC1_2F4
 0.00000, 0.00000,41.45839,16.55871,Total.SURVEY_LC1_2G1
 0.00000, 0.00000,83.55212,38.63799,Total.SURVEY_LC1_2G2
0.000000,0.000000,4.041989,0.000000,Total.SURVEY_LC1_2H1
 0.00000, 0.00000, 0.00000,12.41891,Total.SURVEY_LC1_2H2
 116.64149,  25.70918,3818.31614,1593.91937,Total.SURVEY_LU1_2U11
 397.4722, 279.0353,6791.4590,4237.2576,Total.SURVEY_LU1_2U12
 0.000000, 0.000000,20.368229, 4.435205,Total.SURVEY_LU1_2U13
 0.000000, 0.000000, 4.072174,16.620666,Total.SURVEY_LU1_2U14
0.000000,0.000000,4.731654,0.000000,Total.SURVEY_LU1_2U15
 0.000000, 0.000000,11.762150, 7.309313,Total.SURVEY_LU1_2U22
  0.0000,  0.0000,294.3722,201.6506,Total.SURVEY_LU1_2U31
 0.000000, 0.000000, 7.872664,20.859327,Total.SURVEY_LU1_2U32
0.000000,0.000000,0.000000,5.102597,Total.SURVEY_LU1_2U33
0.000000,3.891527,7.841433,9.715180,Total.SURVEY_LU1_2U34
 4.731654, 0.000000,53.640580, 4.247032,Total.SURVEY_LU1_2U35
  0.000000,  4.502675,121.917278, 83.586952,Total.SURVEY_LU1_2U36
  0.0000,  0.0000,308.7985,181.6322,Total.SURVEY_LU1_2U37
0.000000,0.000000,8.343909,3.899520,Total.SURVEY_LU1_2U41
