SK01.No,SK02.No,SK03.No,SK04.No,SK01.Yes,SK02.Yes,SK03.Yes,SK04.Yes,variable
No,No,No,No,Yes,Yes,Yes,Yes,flag_two
  184.8242, 2564.7297,  266.9675,  705.0920, 1868.1758,12427.2703,15996.0325,15021.9080,Total.area
  0.0000,  0.0000,  0.0000,  0.0000,135.5219,579.6236,340.9791,435.6715,Total.SURVEY_LC1_1A
 180.4330,2547.1695, 266.9675, 693.5841, 467.2991,4266.3913,1557.8700,2201.4791,Total.SURVEY_LC1_1B
   4.391229,   5.065707,   0.000000,   0.000000, 861.718648,4600.322944,9396.620000,7644.169602,Total.SURVEY_LC1_1C
  0.000000,  7.850465,  0.000000,  3.442578, 41.897055,364.136783,733.480318,963.797087,Total.SURVEY_LC1_1D
   0.000000,   0.000000,   0.000000,   8.065226, 240.873233,1605.312755,3625.811241,3294.101930,Total.SURVEY_LC1_1E
  0.000000,  4.644078,  0.000000,  0.000000, 48.341886,729.973692,224.449267,343.749597,Total.SURVEY_LC1_1F
  0.00000,  0.00000,  0.00000,  0.00000, 48.33102,236.13358,112.69648,114.42532,Total.SURVEY_LC1_1G
 0.000000, 0.000000, 0.000000, 0.000000,24.192923,45.375541, 4.126062,24.513910,Total.SURVEY_LC1_1H
  180.5033, 2556.8793,  258.4969,  689.6010, 1300.9262,10289.1658,13742.4648,12661.7591,Total.SURVEY_LU1_1U1
  0.00000,  0.00000,  0.00000,  0.00000, 12.11380,100.09679, 38.23745, 50.87936,Total.SURVEY_LU1_1U2
   0.0000,   0.0000,   0.0000,   0.0000, 376.3885,1151.2152, 712.8600, 759.6232,Total.SURVEY_LU1_1U3
   4.320921,   7.850465,   8.470652,  15.490913, 178.747254, 886.792511,1502.470191,1549.646342,Total.SURVEY_LU1_1U4
  0.00000,  0.00000,  0.00000,  0.00000, 28.28254,196.53109,127.86587,152.52481,Total.SURVEY_LC1_2A1
  0.00000,  0.00000,  0.00000,  0.00000, 95.06619,336.98025,182.35894,269.45082,Total.SURVEY_LC1_2A2
 0.00000, 0.00000, 0.00000, 0.00000,12.17314,46.11229,30.75426,13.69586,Total.SURVEY_LC1_2A3
   0.0000,   0.0000,   0.0000,   0.0000, 304.0008,2666.7199, 909.5112,1111.2290,Total.SURVEY_LC1_2B1
  0.000000,  0.000000,  0.000000,  0.000000,  4.024007,118.921620, 15.941420,  0.000000,Total.SURVEY_LC1_2B2
   0.00000,   0.00000,   0.00000,   0.00000,  83.73143,1002.54323, 223.64414, 682.20526,Total.SURVEY_LC1_2B3
 0.00000, 0.00000, 0.00000, 0.00000, 7.84595,64.53138,32.47828,29.97703,Total.SURVEY_LC1_2B4
  0.00000,  0.00000,  0.00000,  0.00000, 31.78543,252.94693,296.65013,264.48873,Total.SURVEY_LC1_2B5
  0.000000,  0.000000,  0.000000,  0.000000,  7.976733, 95.628998, 73.470238,107.032426,Total.SURVEY_LC1_2B7
 0.000000, 0.000000, 0.000000, 0.000000,27.934744,65.099300, 6.174591, 6.546661,Total.SURVEY_LC1_2B8
 180.4330,2547.1695, 266.9675, 693.5841,   0.0000,   0.0000,   0.0000,   0.0000,Total.SURVEY_LC1_2Bx
   4.391229,   0.000000,   0.000000,   0.000000, 606.376140,3655.795266,4236.855288,5336.290627,Total.SURVEY_LC1_2C1
   0.0000,   0.0000,   0.0000,   0.0000, 195.6824, 783.8234,2361.4664,1356.7852,Total.SURVEY_LC1_2C2
   0.000000,   5.065707,   0.000000,   0.000000,  59.660066, 160.704319,2798.298327, 951.093811,Total.SURVEY_LC1_2C3
  0.000000,  3.754786,  0.000000,  0.000000, 13.378849,296.231371,297.099425,641.973282,Total.SURVEY_LC1_2D1
  0.000000,  4.095678,  0.000000,  3.442578, 28.518206, 67.905412,436.380893,321.823805,Total.SURVEY_LC1_2D2
  0.00000,  0.00000,  0.00000,  0.00000, 35.12232,189.78504,409.28156,260.76784,Total.SURVEY_LC1_2E1
   0.0000,   0.0000,   0.0000,   0.0000, 157.6454,1129.6651,2489.5433,2563.0777,Total.SURVEY_LC1_2E2
  0.00000,  0.00000,  0.00000,  0.00000, 48.10548,285.86263,726.98636,470.25642,Total.SURVEY_LC1_2E3
0.000000,0.000000,0.000000,8.065226,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_2Ex
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.653409,40.405573,93.261741,Total.SURVEY_LC1_2F1
0.000000,0.000000,0.000000,0.000000,3.592064,0.000000,0.000000,0.000000,Total.SURVEY_LC1_2F2
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.004452,4.659386,Total.SURVEY_LC1_2F3
  0.000000,  4.644078,  0.000000,  0.000000, 44.749822,726.320283,180.039242,245.828470,Total.SURVEY_LC1_2F4
 0.00000, 0.00000, 0.00000, 0.00000,19.92365,77.69416,73.19687,55.83291,Total.SURVEY_LC1_2G1
  0.00000,  0.00000,  0.00000,  0.00000, 28.40737,158.43943, 39.49961, 58.59240,Total.SURVEY_LC1_2G2
 0.000000, 0.000000, 0.000000, 0.000000,24.192923,45.375541, 4.126062,24.513910,Total.SURVEY_LC1_2H1
 176.1121,2551.8136, 258.4969, 689.6010, 602.1124,5879.5930,4321.0393,5150.8390,Total.SURVEY_LU1_2U11
   4.391229,   5.065707,   0.000000,   0.000000, 690.697369,4329.274538,9391.620297,7479.748889,Total.SURVEY_LU1_2U12
 0.000000, 0.000000, 0.000000, 0.000000, 4.058196,40.788900, 8.306030,13.235615,Total.SURVEY_LU1_2U13
 0.000000, 0.000000, 0.000000, 0.000000, 4.058196,35.828702,17.787269,17.935587,Total.SURVEY_LU1_2U14
0.000000,0.000000,0.000000,0.000000,0.000000,3.680616,3.711919,0.000000,Total.SURVEY_LU1_2U15
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,44.44599,30.68869,10.06844,Total.SURVEY_LU1_2U21
 0.000000, 0.000000, 0.000000, 0.000000,12.113801,55.650797, 7.548759,40.810926,Total.SURVEY_LU1_2U22
  0.0000,  0.0000,  0.0000,  0.0000,139.5521,470.8611,188.7756,253.5494,Total.SURVEY_LU1_2U31
 0.000000, 0.000000, 0.000000, 0.000000, 3.690863,32.951362,38.212916,38.412975,Total.SURVEY_LU1_2U32
 0.000000, 0.000000, 0.000000, 0.000000, 8.415236,16.954890, 8.246165, 8.819382,Total.SURVEY_LU1_2U33
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,13.87144,16.05866,25.71940,Total.SURVEY_LU1_2U34
 0.00000, 0.00000, 0.00000, 0.00000,88.07311,35.82637,74.07070,33.53058,Total.SURVEY_LU1_2U35
 0.00000, 0.00000, 0.00000, 0.00000,56.03180,63.68857,80.88029,86.01030,Total.SURVEY_LU1_2U36
  0.00000,  0.00000,  0.00000,  0.00000, 80.62547,517.06148,306.61564,313.58121,Total.SURVEY_LU1_2U37
  4.320921,  3.754786,  8.470652,  3.983109, 21.831787,152.718077,107.909004, 99.545889,Total.SURVEY_LU1_2U41
   0.000000,   4.095678,   0.000000,  11.507804, 156.915466, 734.074433,1394.561187,1450.100453,Total.SURVEY_LU1_2U42
  0.00000,  0.00000,  0.00000,  0.00000, 28.28254,196.53109,106.36576,147.78865,Total.SURVEY_LC1_3A11
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,21.500112, 4.736155,Total.SURVEY_LC1_3A12
 0.00000, 0.00000, 0.00000, 0.00000,25.20709,95.90512,58.94469,63.85133,Total.SURVEY_LC1_3A21
  0.00000,  0.00000,  0.00000,  0.00000, 69.85911,241.07513,123.41425,205.59949,Total.SURVEY_LC1_3A22
 0.00000, 0.00000, 0.00000, 0.00000,12.17314,46.11229,30.75426,13.69586,Total.SURVEY_LC1_3A30
   0.0000,   0.0000,   0.0000,   0.0000, 144.3827,1051.7305, 399.4901, 520.4018,Total.SURVEY_LC1_3B11
  0.000000,  0.000000,  0.000000,  0.000000,  8.048013,121.772056, 54.969974, 20.626459,Total.SURVEY_LC1_3B12
  0.00000,  0.00000,  0.00000,  0.00000, 31.45739,368.75435, 90.26119,164.52978,Total.SURVEY_LC1_3B13
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,29.71394,38.21370,10.63063,Total.SURVEY_LC1_3B14
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,26.43655,14.13978,52.39833,Total.SURVEY_LC1_3B15
   0.0000,   0.0000,   0.0000,   0.0000, 116.0888,1011.5186, 276.3104, 301.4984,Total.SURVEY_LC1_3B16
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,26.10019,30.82834,20.68527,Total.SURVEY_LC1_3B18
 0.000000, 0.000000, 0.000000, 0.000000, 4.024007,30.693746, 5.297735,20.458358,Total.SURVEY_LC1_3B19
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,19.770065, 5.227068, 0.000000,Total.SURVEY_LC1_3B21
 0.000000, 0.000000, 0.000000, 0.000000, 4.024007,82.894123, 0.000000, 0.000000,Total.SURVEY_LC1_3B22
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,16.25743,10.71435, 0.00000,Total.SURVEY_LC1_3B23
  0.00000,  0.00000,  0.00000,  0.00000, 31.78668,383.83591, 28.60946, 46.59547,Total.SURVEY_LC1_3B31
  0.00000,  0.00000,  0.00000,  0.00000, 39.87273,509.90226,109.00861,273.57492,Total.SURVEY_LC1_3B32
  0.000000,  0.000000,  0.000000,  0.000000,  4.024007, 83.306495, 74.900402,347.596137,Total.SURVEY_LC1_3B33
 0.000000, 0.000000, 0.000000, 0.000000, 8.048013,25.498555, 0.000000, 6.647521,Total.SURVEY_LC1_3B35
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,11.125666, 7.791218,Total.SURVEY_LC1_3B37
 0.00000, 0.00000, 0.00000, 0.00000, 7.84595,55.05541,26.65035,14.66283,Total.SURVEY_LC1_3B41
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 9.475972, 5.827931,15.314194,Total.SURVEY_LC1_3B43
 0.000000, 0.000000, 0.000000, 0.000000, 4.024007,18.449167,32.263595,48.529099,Total.SURVEY_LC1_3B51
  0.00000,  0.00000,  0.00000,  0.00000, 15.36136,155.81203, 96.35833, 54.12964,Total.SURVEY_LC1_3B52
  0.000000,  0.000000,  0.000000,  0.000000,  4.188026, 40.123288, 88.680116,109.699475,Total.SURVEY_LC1_3B53
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,14.76413, 0.00000,14.06254,Total.SURVEY_LC1_3B54
 0.000000, 0.000000, 0.000000, 0.000000, 8.212032,23.798311,79.348086,38.067966,Total.SURVEY_LC1_3B55
 0.00000, 0.00000, 0.00000, 0.00000, 4.15479,56.45977,49.86684,51.41629,Total.SURVEY_LC1_3B71
0.000000,0.000000,0.000000,0.000000,0.000000,5.833266,0.000000,5.297651,Total.SURVEY_LC1_3B72
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 8.250522,11.406624,Total.SURVEY_LC1_3B73
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 4.921378, 5.297735,11.147002,Total.SURVEY_LC1_3B74
 0.000000, 0.000000, 0.000000, 0.000000, 3.821943,28.414588,10.055137,27.764856,Total.SURVEY_LC1_3B75
 0.000000, 0.000000, 0.000000, 0.000000,24.480134,51.509183, 3.171101, 6.546661,Total.SURVEY_LC1_3B82
 0.00000, 0.00000, 0.00000, 0.00000, 3.45461,13.59012, 0.00000, 0.00000,Total.SURVEY_LC1_3B83
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.00349,0.00000,Total.SURVEY_LC1_3B84
 135.8415,2423.0001, 218.4613, 619.5506,   0.0000,   0.0000,   0.0000,   0.0000,Total.SURVEY_LC1_3Bx1
 44.59156,118.64845, 43.26342, 67.38604,  0.00000,  0.00000,  0.00000,  0.00000,Total.SURVEY_LC1_3Bx2
0.000000,5.520924,5.242823,6.647521,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_3Bxx
   0.0000,   0.0000,   0.0000,   0.0000, 606.3761,3655.7953,4236.8553,5336.2906,Total.SURVEY_LC1_3C10
4.391229,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_3C1x
   0.00000,   0.00000,   0.00000,   0.00000,  11.25581, 431.20937,2322.43091, 949.28008,Total.SURVEY_LC1_3C21
  0.00000,  0.00000,  0.00000,  0.00000,176.10029,348.37567, 28.53789,387.73227,Total.SURVEY_LC1_3C22
 0.000000, 0.000000, 0.000000, 0.000000, 8.326344, 4.238320,10.497582,19.772820,Total.SURVEY_LC1_3C23
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  51.58804,2128.92302, 415.06502,Total.SURVEY_LC1_3C31
  0.00000,  0.00000,  0.00000,  0.00000, 36.06728, 51.60109,329.70407, 46.67024,Total.SURVEY_LC1_3C32
  0.00000,  0.00000,  0.00000,  0.00000, 23.59279, 57.51519,339.67124,489.35855,Total.SURVEY_LC1_3C33
0.000000,5.065707,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_3C3x
  0.00000,  0.00000,  0.00000,  0.00000, 13.37885,296.23137,297.09942,641.97328,Total.SURVEY_LC1_3D10
0.000000,3.754786,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_3D1x
  0.00000,  0.00000,  0.00000,  0.00000, 28.51821, 67.90541,436.38089,321.82380,Total.SURVEY_LC1_3D20
0.000000,4.095678,0.000000,3.442578,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_3D2x
  0.00000,  0.00000,  0.00000,  0.00000, 35.12232,189.78504,409.28156,260.76784,Total.SURVEY_LC1_3E10
   0.0000,   0.0000,   0.0000,   0.0000, 157.6454,1129.6651,2489.5433,2563.0777,Total.SURVEY_LC1_3E20
  0.00000,  0.00000,  0.00000,  0.00000, 48.10548,285.86263,726.98636,470.25642,Total.SURVEY_LC1_3E30
0.000000,0.000000,0.000000,8.065226,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_3Exx
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.653409,40.405573,93.261741,Total.SURVEY_LC1_3F10
0.000000,0.000000,0.000000,0.000000,3.592064,0.000000,0.000000,0.000000,Total.SURVEY_LC1_3F20
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.004452,4.659386,Total.SURVEY_LC1_3F30
  0.00000,  0.00000,  0.00000,  0.00000, 44.74982,726.32028,180.03924,245.82847,Total.SURVEY_LC1_3F40
0.000000,4.644078,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Total.SURVEY_LC1_3F4x
 0.00000, 0.00000, 0.00000, 0.00000,19.92365,77.69416,73.19687,55.83291,Total.SURVEY_LC1_3G11
  0.00000,  0.00000,  0.00000,  0.00000, 28.40737,158.43943, 39.49961, 58.59240,Total.SURVEY_LC1_3G21
 0.000000, 0.000000, 0.000000, 0.000000,24.192923,45.375541, 4.126062,24.513910,Total.SURVEY_LC1_3H11
 155.9871,2417.9995, 197.9522, 595.1349, 585.9569,5743.5014,4204.4235,4918.1561,Total.SURVEY_LU1_3U111
  0.000000, 42.388091,  0.000000,  0.000000,  4.024007, 55.232346, 71.672337,124.810373,Total.SURVEY_LU1_3U112
 20.12502, 91.42593, 60.54471, 94.46611, 12.13152, 80.85920, 44.94349,107.87260,Total.SURVEY_LU1_3U113
   4.391229,   5.065707,   0.000000,   0.000000, 690.697369,4329.274538,9391.620297,7479.748889,Total.SURVEY_LU1_3U120
 0.000000, 0.000000, 0.000000, 0.000000, 4.058196,40.788900, 8.306030,13.235615,Total.SURVEY_LU1_3U130
 0.000000, 0.000000, 0.000000, 0.000000, 4.058196,35.828702,17.787269,17.935587,Total.SURVEY_LU1_3U140
0.000000,0.000000,0.000000,0.000000,0.000000,3.680616,3.711919,0.000000,Total.SURVEY_LU1_3U150
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,44.44599,30.68869,10.06844,Total.SURVEY_LU1_3U210
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,24.25633, 0.00000, 0.00000,Total.SURVEY_LU1_3U221
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,15.585534, 0.000000, 3.983109,Total.SURVEY_LU1_3U222
 0.00000, 0.00000, 0.00000, 0.00000, 4.15479, 0.00000, 0.00000,13.45542,Total.SURVEY_LU1_3U223
0.000000,0.000000,0.000000,0.000000,4.163172,0.000000,0.000000,0.000000,Total.SURVEY_LU1_3U224
0.000000,0.000000,0.000000,0.000000,3.795839,0.000000,3.544307,5.205130,Total.SURVEY_LU1_3U225
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,15.808935, 0.000000, 9.475136,Total.SURVEY_LU1_3U226
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.004452,8.692132,Total.SURVEY_LU1_3U227
 0.000000, 0.000000, 0.000000, 0.000000,12.531982,47.164931,23.510967, 7.772033,Total.SURVEY_LU1_3U311
  0.00000,  0.00000,  0.00000,  0.00000, 74.02228,244.74540,115.68528,187.79963,Total.SURVEY_LU1_3U312
 0.00000, 0.00000, 0.00000, 0.00000,24.34918,83.75453, 0.00000, 0.00000,Total.SURVEY_LU1_3U313
0.000000,0.000000,0.000000,0.000000,3.985962,3.680616,6.326141,0.000000,Total.SURVEY_LU1_3U314
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.967035,Total.SURVEY_LU1_3U315
 0.000000, 0.000000, 0.000000, 0.000000, 8.326344,33.377949,11.805770,25.634674,Total.SURVEY_LU1_3U317
 0.000000, 0.000000, 0.000000, 0.000000, 8.149134,50.004796, 0.000000, 8.586522,Total.SURVEY_LU1_3U318
 0.000000, 0.000000, 0.000000, 0.000000, 8.187179, 8.132877,31.447453,16.789478,Total.SURVEY_LU1_3U319
 0.000000, 0.000000, 0.000000, 0.000000, 3.690863,13.030734,38.212916,34.248871,Total.SURVEY_LU1_3U321
 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,19.920628, 0.000000, 4.164104,Total.SURVEY_LU1_3U322
 0.000000, 0.000000, 0.000000, 0.000000, 8.415236,16.954890, 8.246165, 8.819382,Total.SURVEY_LU1_3U330
 0.00000, 0.00000, 0.00000, 0.00000, 0.00000,13.87144,16.05866,25.71940,Total.SURVEY_LU1_3U341
 0.00000, 0.00000, 0.00000, 0.00000,88.07311,35.82637,74.07070,33.53058,Total.SURVEY_LU1_3U350
 0.00000, 0.00000, 0.00000, 0.00000,39.84022,49.43228,24.32927,54.02550,Total.SURVEY_LU1_3U361
 0.00000, 0.00000, 0.00000, 0.00000,16.19158,14.25629,56.55102,31.98479,Total.SURVEY_LU1_3U362
  0.00000,  0.00000,  0.00000,  0.00000, 80.62547,517.06148,306.61564,313.58121,Total.SURVEY_LU1_3U370
